source,target,weight
engels,amerika,10
engels,bier,1
engels,boek,1
engels,boeken,1
engels,computer,1
engels,druk,1
engels,film,5
engels,flauw,1
engels,gemakkelijk,1
engels,handig,1
engels,land,1
engels,leren,1
engels,les,2
engels,lezen,1
engels,mensen,1
engels,moeilijk,3
engels,mooi,4
engels,muziek,3
engels,nuttig,1
engels,reis,1
engels,reizen,2
engels,school,6
engels,spreken,1
engels,stom,1
engels,studie,1
engels,taal,59
engels,televisie,3
engels,tv,8
engels,vakantie,1
engels,voetbal,1
engels,vreemd,3
engels,vrienden,1
engels,wereld,4
engels,x,2
aandacht,belangrijk,6
aandacht,computer,1
aandacht,controle,1
aandacht,denken,2
aandacht,fijn,1
aandacht,geven,3
aandacht,hoofd,1
aandacht,interessant,5
aandacht,kijken,4
aandacht,kind,1
aandacht,kinderen,4
aandacht,klas,2
aandacht,lawaai,1
aandacht,leren,1
aandacht,les,3
aandacht,leuk,2
aandacht,lezen,3
aandacht,liefde,6
aandacht,luisteren,19
aandacht,man,1
aandacht,mensen,1
aandacht,moe,1
aandacht,moeilijk,1
aandacht,mooi,1
aandacht,nadenken,1
aandacht,nodig,1
aandacht,open,1
aandacht,persoon,1
aandacht,pijn,1
aandacht,positief,2
aandacht,probleem,1
aandacht,recht,1
aandacht,roepen,1
aandacht,school,6
aandacht,sociaal,1
aandacht,stil,3
aandacht,stilte,2
aandacht,tijd,1
aandacht,tv,1
aandacht,vermoeiend,1
aandacht,voorzichtig,1
aandacht,warmte,1
aandacht,werk,3
aandacht,woorden,1
aandacht,x,11
aangenaam,aandacht,2
aangenaam,avond,1
aangenaam,blij,1
aangenaam,eten,1
aangenaam,fietsen,1
aangenaam,fijn,16
aangenaam,geluk,3
aangenaam,gelukkig,1
aangenaam,genieten,1
aangenaam,gesprek,1
aangenaam,gevoel,2
aangenaam,gezellig,21
aangenaam,gezelligheid,1
aangenaam,goed,3
aangenaam,heerlijk,1
aangenaam,hobby,1
aangenaam,interessant,1
aangenaam,jong,1
aangenaam,kennis,1
aangenaam,kledij,1
aangenaam,lachen,2
aangenaam,lekker,4
aangenaam,leuk,33
aangenaam,leven,1
aangenaam,lief,12
aangenaam,liefde,3
aangenaam,mensen,3
aangenaam,mooi,5
aangenaam,muziek,1
aangenaam,plezant,10
aangenaam,plezier,1
aangenaam,positief,1
aangenaam,prettig,13
aangenaam,relatie,1
aangenaam,rust,1
aangenaam,rustig,3
aangenaam,sfeer,2
aangenaam,stil,1
aangenaam,stom,1
aangenaam,strand,1
aangenaam,tof,9
aangenaam,vreugde,1
aangenaam,vriend,1
aangenaam,vriendelijk,4
aangenaam,vrienden,4
aangenaam,vrij,1
aangenaam,vrolijk,2
aangenaam,warm,21
aangenaam,warmte,7
aangenaam,x,4
aangenaam,zacht,5
aangenaam,zomer,1
aangenaam,zon,3
aarde,afrika,1
aarde,berg,1
aarde,blauw,10
aarde,bloemen,3
aarde,bos,2
aarde,bruin,13
aarde,dieren,1
aarde,gras,2
aarde,groen,3
aarde,grond,27
aarde,groot,6
aarde,hard,1
aarde,land,2
aarde,leven,3
aarde,lucht,6
aarde,mens,1
aarde,mensen,3
aarde,mooi,1
aarde,natuur,2
aarde,plant,1
aarde,reizen,1
aarde,rond,28
aarde,rood,1
aarde,ruimte,2
aarde,steen,1
aarde,tuin,2
aarde,vies,1
aarde,vuil,4
aarde,vuur,4
aarde,warm,1
aarde,water,14
aarde,wereld,15
aarde,werk,1
aarde,wind,3
aarde,x,5
aarde,zand,13
aarde,zee,4
aarde,zon,5
aarde,zwaar,1
aarde,zwart,2
actie,bal,1
actie,beweging,12
actie,bloed,1
actie,dansen,1
actie,doen,25
actie,energie,2
actie,film,16
actie,geld,1
actie,gevaar,1
actie,gevecht,1
actie,geweld,5
actie,goedkoop,1
actie,kort,1
actie,lopen,1
actie,lui,2
actie,moe,1
actie,muziek,1
actie,nodig,1
actie,noodzakelijk,1
actie,oorlog,1
actie,politie,1
actie,politiek,1
actie,positief,1
actie,reclame,1
actie,snel,2
actie,snelheid,2
actie,spanning,1
actie,spel,1
actie,spelen,1
actie,sport,5
actie,sterk,1
actie,stress,2
actie,tof,1
actie,tv,1
actie,vuur,1
actie,wedstrijd,1
actie,werk,1
actie,werken,6
actie,x,9
actie,zoeken,1
afrika,amerika,3
afrika,arm,13
afrika,armoede,13
afrika,bos,1
afrika,bruin,5
afrika,cultuur,2
afrika,dansen,1
afrika,dieren,4
afrika,dood,1
afrika,droog,4
afrika,drukte,1
afrika,geel,1
afrika,groot,1
afrika,honger,8
afrika,kinderen,1
afrika,land,3
afrika,mooi,5
afrika,muziek,1
afrika,natuur,3
afrika,oorlog,1
afrika,ouderwets,1
afrika,regen,2
afrika,reis,3
afrika,reizen,3
afrika,toekomst,1
afrika,vakantie,2
afrika,ver,5
afrika,vreemd,1
afrika,vuil,1
afrika,warm,30
afrika,warmte,2
afrika,x,3
afrika,ziek,2
afrika,zon,2
afrika,zwart,22
afstand,amerika,1
afstand,auto,13
afstand,beeld,1
afstand,deur,1
afstand,einde,1
afstand,familie,1
afstand,fiets,4
afstand,fietsen,2
afstand,groot,1
afstand,klein,1
afstand,kort,2
afstand,lang,7
afstand,lopen,4
afstand,muur,1
afstand,reis,4
afstand,reizen,5
afstand,respect,1
afstand,ruimte,4
afstand,rust,1
afstand,snelheid,1
afstand,sport,1
afstand,stad,1
afstand,tijd,3
afstand,trein,3
afstand,vakantie,2
afstand,veilig,1
afstand,ver,60
afstand,verdriet,1
afstand,vliegtuig,2
afstand,vogel,1
afstand,vrijheid,1
afstand,weg,12
afstand,wereld,1
afstand,werken,1
afstand,wiskunde,1
afstand,x,4
agressie,angst,3
agressie,auto,1
agressie,bang,3
agressie,bescherming,1
agressie,blauw,1
agressie,bloed,2
agressie,boos,9
agressie,dom,1
agressie,dood,1
agressie,eng,1
agressie,film,2
agressie,fout,1
agressie,gedrag,1
agressie,gemeen,1
agressie,gevaar,1
agressie,gevaarlijk,2
agressie,gevecht,1
agressie,geweld,26
agressie,jeugd,1
agressie,jongeren,2
agressie,karakter,1
agressie,kwaad,20
agressie,liefde,1
agressie,man,1
agressie,moeder,1
agressie,negatief,2
agressie,onnodig,1
agressie,oorlog,4
agressie,pijn,9
agressie,politie,2
agressie,respect,1
agressie,roepen,5
agressie,ruzie,7
agressie,slaan,18
agressie,straat,2
agressie,stress,1
agressie,vechten,16
agressie,veel,1
agressie,verkeer,10
agressie,voetbal,3
agressie,werk,1
agressie,woede,21
agressie,x,3
agressie,zwart,1
alleen,anders,1
alleen,angst,1
alleen,arm,1
alleen,bang,1
alleen,bank,1
alleen,belangrijk,1
alleen,bos,1
alleen,eenzaam,57
alleen,fijn,1
alleen,geluk,1
alleen,gemakkelijk,1
alleen,genieten,2
alleen,gezellig,1
alleen,ik,1
alleen,koud,2
alleen,leeg,1
alleen,lezen,1
alleen,nadenken,2
alleen,nodig,1
alleen,onaangenaam,1
alleen,ongelukkig,2
alleen,ontspannen,1
alleen,ontspanning,1
alleen,reis,1
alleen,reizen,1
alleen,rust,14
alleen,rustig,4
alleen,samen,1
alleen,slapen,1
alleen,sterk,1
alleen,stil,4
alleen,stilte,4
alleen,thuis,3
alleen,tijd,2
alleen,triest,6
