node_index,node,feature_kappa,feature_entropy_norm,feature_c_ent,feature_valence,feature_poincare_x,feature_poincare_y,feature_log_degree,feature_eta_local
0,age,0.333333,0.0,0.666666,0.195,0.36810797,0.24607928,-1.0,-0.8172378
1,air,0.25,0.0,0.5,0.4275,-0.35697904,0.5072579,-1.0,-0.8172378
2,airplane,0.2,0.7973265,0.081069395,0.0625,-0.34962234,0.50293416,-0.45952368,0.048113532
3,alcohol,0.0416666,0.9298662,0.0058444743,-0.2225,-0.51502573,0.6413521,0.25494713,0.2211838
4,alien,0.333333,0.0,0.666666,-0.1375,-0.66282886,-0.26426992,-1.0,-0.8172378
5,all,0.333333,0.0,0.666666,0.0,-0.12787981,-0.39051217,-1.0,-0.8172378
6,alone,-0.125,0.8159221,-0.04601948,-0.2875,-0.1999247,-0.5038365,-0.45952368,-0.72108763
7,amazing,0.25,0.0,0.5,0.68,-0.3814995,0.49584514,-1.0,-0.8172378
8,america,-0.25,0.99998176,-9.107732e-06,0.0,-0.6658503,-0.4413653,-0.45952368,-0.72108763
9,anger,-0.32222232,0.8670209,-0.08569767,-0.625,-0.13996594,-0.45156568,-0.14336532,-0.75233644
10,angry,-0.0833335,0.38404697,-0.10265905,-0.6175,-0.13994671,-0.42433083,-0.45952368,-0.72108763
11,animal,-0.29382733,0.95591056,-0.025909362,0.515,-0.73663956,0.26734614,0.71326935,-0.8338525
12,animals,0.0833335,0.99750257,0.0004162431,0.0,-0.73866475,0.2616271,-0.45952368,-0.72108763
13,apple,-0.1438094,0.84354514,-0.044999354,0.405,-0.2157409,-0.75463814,0.25494713,-0.39417714
14,area,-0.361111,0.7678044,-0.16769679,0.14,-0.5534233,-0.30487207,-0.14336532,-0.75233644
15,arm,0.333333,0.0,0.666666,0.11,-0.52619773,-0.18840903,-1.0,-0.8172378
16,army,0.4166665,0.80265814,0.16445148,-0.0875,-0.48625118,-0.09547869,-0.45952368,0.048113532
17,art,0.08333366,0.6498478,0.05835893,0.4625,-0.41629282,-0.5632865,-0.14336532,-0.298027
18,away,-0.18611133,0.9962464,-0.0013971699,0.0,-0.7025798,-0.09420546,-0.14336532,-0.75233644
19,baby,-0.166667,0.96832937,-0.0105569,0.4175,-0.021951294,-0.49046114,-0.45952368,-0.72108763
20,bad,-0.3366668,0.7144955,-0.19223978,-0.44,0.42639178,-0.4684713,0.25494713,-0.64416754
21,bag,-0.266667,0.9754489,-0.013093944,0.0125,0.049625974,0.13633227,-0.14336532,-0.75233644
22,ball,-0.5185187,0.9172137,-0.08585252,0.285,-0.5435633,-0.2956219,0.71326935,-0.92107993
23,band,-0.12152775,0.80375636,-0.047698103,0.36,-0.11635734,0.76367587,0.080952615,-0.14018692
24,bang,-0.23958325,0.933706,-0.031765882,0.025,-0.15475512,0.8100562,0.080952615,-0.5057113
25,bank,0.111111,0.0,0.222222,0.25,0.5534547,-0.080302194,-1.0,-0.8172378
26,baseball,-0.074074,0.9876197,-0.0018341142,0.1975,-0.6688077,-0.44200563,-0.14336532,-0.298027
27,beach,-0.2708335,0.954434,-0.024681596,0.5525,0.31080806,0.64752764,-0.45952368,-0.72108763
28,beautiful,0.1785715,0.6661254,0.11924097,0.6525,0.45560575,-0.6284695,-0.45952368,0.048113532
29,bed,-0.2083335,0.5602019,-0.18324937,0.54,-0.6084253,-0.10109279,-0.45952368,-0.72108763
