trajectory_id,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49,step_50,step_51,step_52,step_53,step_54,step_55,step_56,step_57,step_58,step_59,step_60,step_61,step_62,step_63
0,220,353,396,259,88,259,68,232,216,310,216,310,216,310,216,310,216,232,216,310,216,310,216,310,216,310,30,206,55,206,55,206,152,2,152,297,152,55,206,55,206,30,206,55,152,34,359,262,179,262,322,372,322,372,371,22,161,159,299,161,22,299,162,299
1,57,431,213,431,249,45,249,45,249,296,195,138,195,199,281,87,315,426,315,9,186,237,186,237,189,50,189,237,186,9,239,10,239,10,239,10,239,10,239,9,186,237,186,9,315,87,315,9,315,9,186,9,239,10,239,10,239,9,239,96,239,96,239,9
2,104,230,105,230,53,340,266,340,53,230,104,36,104,230,105,420,243,420,105,230,104,270,105,270,104,270,105,230,191,250,238,92,68,115,68,259,396,353,346,385,346,233,346,233,346,353,33,24,236,271,360,262,359,262,179,262,360,262,304,262,207,179,207,179
3,41,253,49,253,49,187,123,187,181,101,217,101,181,285,181,285,181,285,181,187,185,400,258,193,410,116,410,117,410,116,136,357,85,200,85,198,85,357,424,252,95,252,95,11,197,95,252,95,11,68,115,68,115,302,115,68,232,68,259,88,208,88,259,88
4,4,362,323,29,323,39,323,39,162,39,428,39,428,403,428,404,177,175,177,175,177,175,177,404,177,298,403,298,177,264,404,428,404,264,404,428,184,393,202,393,49,354,218,354,49,253,41,253,49,393,253,41,253,41,253,41,253,41,253,49,187,185,400,258
5,353,396,353,220,33,24,33,353,259,396,259,396,353,220,33,220,353,396,353,346,233,395,233,346,233,346,385,346,233,346,385,56,199,260,140,364,140,311,140,311,140,260,199,195,189,237,231,237,186,237,186,237,138,237,186,237,231,237,186,9,239,96,239,96
6,427,142,427,241,240,227,240,227,429,227,47,367,14,362,4,362,14,362,14,296,249,45,249,431,213,431,299,207,299,162,299,207,23,262,360,262,23,262,304,262,207,179,207,23,178,291,178,23,178,23,178,291,178,23,262,179,262,322,262,23,178,23,262,304
7,234,145,234,416,335,133,335,234,416,335,133,272,355,151,164,151,307,28,307,102,383,269,215,269,173,20,434,20,131,20,48,20,434,318,434,20,173,20,98,309,211,309,98,211,309,211,309,211,309,211,309,211,309,211,97,211,97,98,20,173,20,48,20,173
8,144,261,144,261,330,261,330,261,330,261,330,261,144,261,330,261,330,261,144,261,144,261,144,261,330,261,144,261,144,261,330,261,144,261,330,261,330,261,330,261,330,261,330,261,330,261,330,261,144,261,144,261,144,261,144,261,330,261,330,261,144,261,330,261
9,431,249,45,249,45,249,57,431,213,431,299,207,179,207,23,322,372,322,184,428,184,125,184,379,44,379,44,379,409,86,331,387,331,86,409,86,331,409,379,332,218,306,377,378,241,240,227,240,227,47,367,47,227,240,241,427,142,427,241,240,241,427,241,427
10,300,65,364,65,300,222,94,223,114,223,222,94,222,223,222,94,222,300,222,94,222,300,222,94,223,94,223,222,94,222,223,222,94,222,94,223,222,223,222,223,94,223,94,222,223,94,222,300,222,94,222,223,114,248,120,3,426,168,118,417,423,85,201,85
11,312,60,288,414,288,237,189,237,186,9,239,96,239,9,239,9,239,9,239,96,239,9,186,9,239,9,239,96,239,10,239,9,315,37,315,37,315,37,315,38,177,175,177,87,435,93,435,382,415,190,415,382,256,369,256,369,256,382,53,230,53,382,368,230
12,277,36,104,270,105,270,104,270,104,75,59,295,59,75,104,36,424,357,85,198,85,200,417,40,417,314,417,147,356,78,63,78,356,147,356,147,190,85,200,417,314,419,85,190,85,190,147,417,118,126,59,126,153,126,59,126,118,168,54,168,100,386,84,118
13,295,59,35,66,35,59,295,13,177,404,177,175,177,175,177,38,327,99,221,160,350,160,350,160,350,380,203,380,122,380,122,203,380,203,122,203,122,380,122,380,203,380,122,380,122,380,122,203,122,203,122,380,122,203,122,380,203,380,354,53,230,53,368,382
