trajectory_id,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49,step_50,step_51,step_52,step_53,step_54,step_55,step_56,step_57,step_58,step_59,step_60,step_61,step_62,step_63
0,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80,112,80
1,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,71,332,379,44,379,44,379,44,379,44,379,44,379,44,379,44,379,44,379,44,379,44,379,44,379,44,379,44,379
2,138,195,199,195,199,195,138,237,288,414,288,414,143,414,288,414,288,237,186,237,189,237,186,237,189,237,186,237,231,237,186,237,186,237,231,237,189,50,189,237,186,237,189,50,205,153,126,153,247,153,90,153,126,153,90,153,90,153,89,153,126,153,90,153
3,94,222,223,114,223,222,223,114,248,119,248,114,248,114,248,114,248,114,248,114,248,114,248,114,248,114,248,114,248,114,248,114,248,188,173,20,173,20,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167,48,167
4,383,381,383,381,383,64,383,381,383,381,383,64,383,381,383,381,383,381,383,64,383,269,215,269,215,269,215,269,215,269,215,269,215,269,215,269,215,269,215,269,215,269,215,269,215,269,215,269,215,269,215,269,173,20,173,20,173,20,173,20,173,20,131,20
5,234,335,234,335,234,335,234,335,234,335,234,335,234,335,132,335,234,335,234,335,234,335,234,335,133,169,133,169,133,169,133,134,272,134,133,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335
6,49,253,49,253,41,253,41,253,49,253,41,253,49,253,41,253,49,253,49,253,49,393,202,393,202,393,49,253,49,253,49,253,49,253,41,253,49,354,49,253,49,253,49,253,49,253,49,253,49,393,202,393,49,253,49,253,41,253,49,253,49,253,41,253
7,416,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234,335,234
8,96,239,10,239,10,239,10,239,10,239,10,239,10,239,96,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,96,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,10,239,96,239,10,239,96,239,10,239
9,329,51,329,201,85,198,190,198,415,198,85,200,85,198,337,198,337,198,337,198,147,356,78,356,147,190,198,85,198,147,356,78,356,78,356,78,356,147,198,147,190,85,198,337,198,337,198,85,201,85,198,190,147,198,108,198,337,198,337,198,337,198,415,382
