trajectory_id,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49,step_50,step_51,step_52,step_53,step_54,step_55,step_56,step_57,step_58,step_59,step_60,step_61,step_62,step_63
0,124,324,124,432,124,432,288,432,242,432,288,237,243,425,243,425,243,425,257,237,186,237,189,50,378,418,378,241,46,431,184,250,191,250,209,83,82,83,82,83,82,83,82,83,117,83,342,283,342,83,342,283,342,283,83,283,83,82,83,209,83,209,83,209
1,293,384,413,384,293,384,363,384,363,390,375,43,32,43,32,171,77,171,32,316,171,77,316,171,316,77,308,77,308,77,171,212,171,77,308,77,316,77,316,32,43,375,43,32,316,32,43,32,43,375,390,347,395,270,395,270,104,36,104,75,64,383,75,383
2,17,294,61,294,61,144,61,144,61,294,61,144,261,330,261,144,61,294,17,282,17,282,294,282,17,281,87,281,87,177,298,177,404,428,404,177,403,371,372,322,262,304,262,360,262,250,262,179,262,322,184,393,202,393,202,393,49,187,123,187,134,187,400,187
3,260,170,226,170,226,170,226,170,18,326,194,22,371,403,177,404,177,87,38,177,38,124,324,367,79,319,146,319,79,319,420,424,420,243,425,257,237,186,237,231,237,138,195,199,56,385,33,176,173,269,307,269,307,151,164,151,307,102,383,381,365,198,415,361
4,254,172,250,172,250,184,428,184,431,249,45,249,431,213,431,46,431,213,431,184,244,184,244,274,279,273,279,273,279,273,227,47,367,79,324,79,324,367,14,296,249,45,249,431,184,379,184,372,322,372,371,372,184,125,184,393,253,393,49,253,393,49,354,53
5,172,255,57,249,296,14,362,323,29,323,362,4,362,14,362,4,362,323,29,323,39,428,184,379,409,331,409,331,86,409,379,184,393,49,354,53,368,53,340,53,382,368,53,382,368,230,191,230,53,382,198,85,357,136,357,424,36,104,75,104,270,369,256,382
6,371,372,184,250,209,83,342,83,209,83,209,250,340,250,340,266,340,266,340,250,191,250,209,83,209,250,191,421,141,224,397,224,115,224,141,224,397,348,397,352,397,224,397,352,270,369,270,352,29,323,362,14,296,195,189,237,186,237,288,237,231,237,336,290
7,211,98,20,173,176,33,141,220,353,33,176,220,33,24,33,353,33,353,346,233,395,233,346,385,56,385,193,258,193,410,116,410,116,410,193,410,349,410,116,410,193,385,193,410,117,410,349,219,349,219,363,384,363,390,347,390,375,390,363,384,413,384,363,384
8,249,431,299,162,159,286,386,84,118,252,424,166,424,388,424,357,314,417,118,31,3,121,118,84,386,84,118,84,118,417,81,417,168,118,386,100,386,100,84,100,118,100,118,100,168,100,118,3,118,386,286,159,299,207,23,207,262,360,262,304,262,360,271,236
9,125,184,379,44,379,44,379,184,428,404,177,38,315,426,31,426,3,121,31,121,3,121,31,3,120,3,426,168,100,386,286,159,350,160,221,183,327,38,177,87,315,87,315,426,3,31,3,426,3,120,248,120,3,118,121,3,426,168,417,118,252,95,252,424
10,128,52,128,52,128,52,153,365,153,295,13,177,255,25,255,58,374,119,248,120,248,188,173,188,173,269,215,269,173,188,248,188,248,114,223,222,94,222,94,222,223,114,248,188,173,188,248,120,3,426,70,259,88,208,88,208,88,259,70,259,88,259,396,353
11,212,171,32,171,77,308,77,316,32,171,32,43,32,171,316,171,316,32,316,32,43,375,43,375,390,375,390,375,43,375,390,363,384,413,326,194,326,140,260,199,195,189,237,138,237,186,237,231,328,231,328,109,328,231,328,109,328,109,328,231,237,189,50,189
12,98,211,97,98,211,98,391,370,391,98,97,98,20,48,20,131,20,173,188,248,188,173,20,48,167,48,73,19,99,221,99,221,99,221,183,221,160,221,183,35,66,161,39,323,39,428,404,428,404,177,87,435,93,435,93,435,382,415,85,357,136,357,136,116
13,398,5,398,156,6,156,398,156,398,156,398,214,398,214,398,156,398,156,398,5,398,214,398,214,398,156,6,156,6,327,99,327,6,327,99,327,99,221,99,221,160,350,160,350,160,221,99,19,73,437,73,19,73,437,278,437,278,266,340,266,278,266,340,53
14,38,327,99,221,99,19,99,221,183,35,66,161,366,155,161,155,366,26,366,155,366,161,22,324,124,111,124,111,124,111,124,324,367,14,362,4,362,323,39,428,404,428,403,76,403,371,372,322,184,428,404,177,38,315,9,239,10,239,96,239,10,246,325,246
15,270,105,230,368,230,104,36,277,165,277,165,277,36,277,36,277,165,65,165,277,36,277,165,65,300,65,165,277,36,277,36,277,165,277,165,277,165,65,300,222,223,222,94,222,223,114,223,94,222,223,94,222,94,222,223,114,223,222,223,222,94,223,114,248
16,372,371,372,184,125,184,244,274,244,274,244,274,244,274,279,408,279,273,279,274,244,274,244,184,431,184,244,184,393,49,354,380,354,380,350,380,350,160,350,159,183,159,183,159,183,159,162,39,428,403,76,403,371,22,276,109,328,231,328,231,237,288,432,288
17,422,332,379,332,71,332,379,44,379,44,379,332,422,276,422,276,22,394,18,170,373,412,395,412,395,270,395,347,389,347,389,407,389,407,389,407,389,407,389,407,389,347,389,407,389,347,395,347,389,407,389,407,389,407,389,407,389,347,390,347,389,347,390,347
18,365,229,106,229,106,113,63,348,204,113,204,348,63,348,63,113,106,414,432,288,237,243,237,336,290,336,237,288,60,288,432,242,432,124,432,288,237,138,237,186,237,189,50,378,418,378,418,378,377,378,50,189,237,231,328,231,237,138,237,186,237,186,9,186
19,82,83,209,83,117,83,82,83,283,342,83,283,342,83,117,410,349,373,130,106,63,348,113,63,113,106,130,106,63,113,348,63,113,106,63,348,63,106,113,348,113,63,348,204,348,113,348,113,348,204,348,397,352,397,348,204,113,63,348,113,63,106,229,365
20,259,68,92,68,115,11,107,11,139,12,115,11,339,11,107,11,339,11,339,11,68,115,224,397,224,397,348,397,224,141,33,176,33,24,271,236,271,360,236,271,236,24,33,353,396,353,33,24,236,24,271,236,271,360,271,360,262,322,262,304,262,250,191,421
21,163,401,62,401,62,401,163,21,163,401,163,21,163,401,163,21,386,286,11,115,68,115,11,197,95,252,424,166,424,36,424,42,424,357,424,252,424,36,104,230,129,306,150,306,377,306,150,164,151,164,150,306,218,306,150,306,377,378,50,205,50,205,50,189
22,336,290,336,142,336,142,167,48,73,19,73,437,73,48,167,28,167,307,269,383,64,383,64,383,269,173,269,173,188,173,188,248,120,248,188,248,119,248,114,248,120,3,121,118,84,386,118,3,118,168,54,149,54,168,118,100,168,100,168,417,168,100,168,426
23,402,297,1,297,2,297,152,297,2,152,2,297,1,297,402,297,1,297,1,297,402,297,1,297,402,297,152,2,297,402,297,2,152,55,152,34,359,262,322,184,322,23,207,262,360,236,262,236,24,271,24,271,360,271,360,262,360,262,179,207,179,262,179,262
24,84,100,168,54,168,426,3,121,118,417,148,417,423,417,423,85,419,314,357,85,423,314,419,85,419,85,357,136,116,228,406,196,406,228,116,228,406,196,406,196,405,38,327,6,327,38,405,38,133,335,132,335,416,234,145,235,145,234,416,335,132,169,132,169
25,351,358,351,358,351,358,351,358,184,244,274,244,274,279,408,279,274,279,274,244,274,279,273,227,429,227,273,279,408,279,273,227,47,227,47,367,324,22,394,22,324,22,194,22,299,431,249,57,255,317,303,317,255,177,411,153,411,153,90,153,110,126,59,126
26,382,27,382,230,368,230,191,250,262,359,262,23,178,291,292,291,174,301,174,291,178,23,262,304,262,23,322,372,371,22,276,422,276,109,328,231,328,231,237,189,195,8,195,138,195,124,432,288,60,312,334,312,334,312,334,312,60,288,60,288,414,106,229,365
27,295,59,295,153,365,229,365,153,361,153,247,329,201,85,415,85,357,85,200,85,190,198,337,198,108,198,85,200,417,148,74,305,74,305,74,148,74,148,417,147,190,415,382,415,85,200,417,423,417,200,85,357,136,116,410,116,410,349,373,170,373,412,395,412
28,119,248,119,374,344,58,255,69,255,287,255,317,255,317,255,317,255,172,255,25,255,177,175,177,255,345,255,69,255,172,255,177,298,177,175,177,404,177,404,177,411,153,205,50,205,50,189,237,138,195,296,195,189,237,336,237,231,328,109,328,231,237,189,50
29,280,13,295,13,158,280,158,280,13,403,76,403,76,403,177,13,280,13,177,264,403,428,39,428,403,298,403,428,403,298,403,264,403,428,184,379,44,379,44,379,184,428,404,177,264,403,298,403,13,158,411,11,68,259,396,353,220,353,220,353,346,233,395,412
30,32,316,32,316,32,171,32,43,32,171,77,316,171,316,171,316,32,171,316,77,308,77,308,77,171,77,316,171,212,171,32,171,32,43,375,390,363,390,363,384,413,326,140,364,140,326,140,364,65,364,65,165,277,165,277,165,65,165,277,36,104,230,105,270
31,434,137,228,137,434,137,135,137,228,116,136,357,424,388,424,388,424,357,85,198,190,415,382,435,382,27,210,417,320,417,320,417,81,168,417,81,417,40,417,40,341,40,417,147,198,382,256,369,256,369,270,352,397,224,141,392,141,392,141,421,141,224,141,33
32,70,259,68,232,68,11,139,199,260,199,139,199,56,199,56,199,281,87,181,87,435,382,256,369,256,369,270,395,270,104,36,424,42,424,42,424,388,424,166,424,36,424,166,424,36,424,166,424,166,424,166,424,420,105,420,105,230,191,250,262,207,262,23,207
33,299,161,366,155,366,161,67,199,67,161,299,431,184,358,184,431,46,241,240,227,240,227,429,227,240,227,429,227,429,227,429,227,240,241,378,50,205,50,189,237,231,328,109,276,109,328,109,328,109,276,109,276,109,328,109,276,422,332,422,276,109,328,109,328
34,301,174,301,174,291,292,291,178,23,262,236,360,271,236,360,236,271,236,24,33,220,176,7,176,7,176,33,385,56,199,56,199,323,29,352,397,224,397,224,115,68,115,224,397,348,397,224,397,352,29,323,362,14,362,4,362,14,367,324,124,324,124,38,405
35,184,428,403,76,403,177,403,298,403,428,403,177,175,177,264,177,404,264,404,177,255,58,374,58,344,374,119,374,58,374,344,58,255,25,255,69,255,58,374,58,255,58,255,69,255,57,431,299,207,23,262,360,271,360,262,250,172,255,57,431,299,207,23,262
36,206,152,297,1,297,2,152,297,402,297,2,152,2,297,2,152,34,359,34,152,297,152,206,152,55,206,152,34,359,262,23,262,250,340,250,238,92,284,267,268,267,268,284,399,284,267,268,284,268,284,267,268,267,268,284,92,284,92,238,250,340,250,262,207
37,327,99,221,99,19,99,19,73,437,278,0,278,0,278,0,278,266,278,266,340,250,340,250,340,266,340,53,354,49,253,393,253,41,253,393,202,393,184,393,184,372,371,22,161,22,194,326,313,326,140,326,194,326,140,311,140,364,140,326,313,326,140,364,140
38,270,369,270,369,256,382,27,382,198,147,417,210,417,40,417,148,417,81,417,210,417,81,417,148,74,148,74,305,74,305,74,148,74,148,74,305,74,305,74,305,74,148,417,118,126,110,153,52,153,205,50,378,241,292,436,292,291,178,23,262,236,360,271,360
39,105,230,382,230,382,27,210,27,210,417,81,417,200,417,200,85,415,382,368,230,382,27,210,27,210,27,382,435,382,27,382,368,230,129,306,150,306,218,354,218,332,218,306,377,306,218,354,218,354,218,306,218,332,218,306,218,354,380,203,122,203,122,380,122
40,51,329,247,329,51,329,126,118,126,59,295,13,177,13,295,153,52,153,126,110,153,90,153,205,153,365,381,64,381,383,75,383,64,383,102,167,307,102,307,167,157,167,48,167,427,142,167,307,102,167,28,167,427,241,292,291,292,436,245,263,245,192,245,436
41,28,307,28,307,151,355,272,134,187,181,101,217,101,217,101,181,187,400,258,193,258,400,185,400,185,187,134,272,123,187,400,258,193,385,346,233,346,233,395,270,104,270,105,420,424,42,424,252,424,420,105,270,369,256,382,435,382,230,104,36,104,270,369,270
42,349,373,170,373,170,18,170,373,130,373,412,373,130,106,113,204,113,106,63,106,113,348,113,348,204,113,63,113,204,113,106,113,348,63,348,397,348,397,348,397,348,113,348,397,224,397,352,397,224,141,224,397,224,141,33,353,346,233,395,270,104,36,104,75
43,216,232,216,232,68,259,88,259,70,426,315,38,315,426,315,9,186,237,288,432,288,414,288,60,312,60,312,334,312,60,312,60,312,60,288,237,257,425,243,425,427,167,142,167,102,167,48,73,19,73,437,73,437,278,266,278,437,278,0,278,437,73,437,278
44,305,74,148,74,305,74,305,74,148,74,305,74,148,417,147,356,78,356,147,190,85,419,85,190,85,190,198,361,198,147,198,415,190,198,85,415,382,198,382,368,53,354,380,354,53,382,368,382,198,365,153,361,415,85,419,314,417,118,100,84,386,84,386,286
45,242,432,288,237,243,420,105,270,352,397,224,141,421,141,220,33,385,346,385,56,199,67,199,80,199,56,385,193,410,116,228,137,135,137,228,137,405,38,315,87,181,187,185,187,185,187,49,187,181,87,177,411,158,411,177,13,295,59,295,153,89,153,126,118
46,123,272,355,151,355,151,307,102,167,142,336,290,336,237,189,195,8,195,124,38,405,196,406,196,406,228,406,196,405,137,228,406,228,406,228,137,135,137,135,137,434,20,98,211,98,309,211,309,211,98,211,309,211,97,211,98,97,98,391,98,309,98,20,434
47,276,22,132,169,132,335,416,234,145,235,145,235,145,234,335,133,38,315,87,177,403,371,22,132,22,132,169,132,22,371,372,184,244,184,322,262,179,262,179,207,179,207,299,431,249,57,249,296,195,199,80,199,67,199,139,11,139,199,281,199,56,385,56,199
