trajectory_id,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49,step_50,step_51,step_52,step_53,step_54,step_55,step_56,step_57,step_58,step_59,step_60,step_61,step_62,step_63
0,242,432,242,432,242,432,124,432,124,432,242,432,124,432,242,432,124,432,242,432,242,432,242,432,242,432,242,432,242,432,242,432,242,432,242,432,242,432,242,432,242,432,242,432,242,432,124,432,414,143,414,143,414,288,414,143,414,288,414,143,414,143,414,143
1,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245,436,245
2,26,366,155,366,155,366,155,366,155,366,155,366,155,366,155,161,299,162,159,162,299,162,299,161,299,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431,213,431
3,349,373,349,373,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,373,170,226,170,226,170,373,349,373,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,226,170,226
4,262,359,262,359,262,359,262,23,262,23,262,23,262,23,262,23,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372
5,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282,17,282
6,114,248,114,248,114,248,114,248,114,248,114,248,119,248,114,248,114,248,114,248,114,248,114,248,114,248,114,248,114,248,119,248,114,248,114,248,114,248,114,248,114,248,114,248,119,248,114,248,114,248,114,248,114,248,119,248,114,248,114,248,114,248,114,248
7,386,100,386,84,386,100,386,84,386,84,386,84,386,100,386,84,386,84,386,84,386,84,386,84,386,84,386,84,386,84,386,84,386,100,386,84,386,84,386,84,386,100,386,84,386,84,386,100,386,84,386,84,386,84,386,84,386,84,386,100,386,84,386,100
8,105,270,105,270,105,270,105,270,105,270,104,270,105,270,105,270,105,270,105,270,105,270,105,270,105,270,104,230,104,36,424,36,424,36,424,36,424,36,424,36,424,36,424,36,424,388,424,36,424,36,424,388,424,36,424,36,424,36,424,36,424,36,424,36
9,371,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372,322,372
