node,degree,strength,entropy,entropy_norm,kappa,C_ent,valence_centered,arousal_raw,dominance_raw,x,y,radius,embedding_engine,n_local,local_edges,mean_degree_local,eta_local_raw,node_index,log_degree_raw,feature_kappa,feature_entropy_norm,feature_c_ent,feature_valence,feature_poincare_x,feature_poincare_y,feature_log_degree,feature_eta_local
age,1,0.22,-0.0,0.0,0.333333,0.333333,0.195,3.71,4.67,0.368107984838651,0.24607928189848505,0.44278493818291353,gensim_poincare,2,1,1.0,0.5,0,0.0,0.333333,0.0,0.666666,0.195,0.36810797,0.24607928,-1.0,-0.8172378
air,1,0.15,-0.0,0.0,0.25,0.25,0.4275,3.25,5.72,-0.3569790433612051,0.5072578511530126,0.6202778127222132,gensim_poincare,2,1,1.0,0.5,1,0.0,0.25,0.0,0.5,0.4275,-0.35697904,0.5072579,-1.0,-0.8172378
airplane,2,0.29000000000000004,0.5526646224944002,0.7973265101474423,0.2,0.04053469797051155,0.0625,5.62,4.12,-0.3496223311382377,0.5029341509045824,0.6125181912210026,gensim_poincare,3,3,2.0,1.3333333333333333,2,0.6931471805599453,0.2,0.7973265,0.081069395,0.0625,-0.34962234,0.50293416,-0.45952368,0.048113532
alcohol,5,0.7726262626262628,1.4965619090429463,0.9298661958196068,0.041666600000000005,0.0029222371652627703,-0.2224999999999999,5.17,4.0,-0.5150257301922926,0.6413521122296407,0.8225472841250683,gensim_poincare,6,9,3.0,1.5,3,1.6094379124341003,0.0416666,0.9298662,0.0058444743,-0.2225,-0.51502573,0.6413521,0.25494713,0.2211838
alien,1,0.121212121212121,-0.0,0.0,0.333333,0.333333,-0.1374999999999999,4.86,3.56,-0.6628288508503368,-0.26426993222204626,0.7135689753599318,gensim_poincare,2,1,1.0,0.5,4,0.0,0.333333,0.0,0.666666,-0.1375,-0.66282886,-0.26426992,-1.0,-0.8172378
all,1,0.13122448979591841,-0.0,0.0,0.333333,0.333333,0.0,5.0,5.0,-0.12787980886613606,-0.39051218131031423,0.4109172778886028,gensim_poincare,2,1,1.0,0.5,5,0.0,0.333333,0.0,0.666666,0.0,-0.12787981,-0.39051217,-1.0,-0.8172378
alone,2,0.363061224489796,0.5655540916715308,0.8159220834089798,-0.125,-0.02300973957387753,-0.2875,4.0,4.5,-0.19992471180333599,-0.5038365389861337,0.5420527173690514,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,6,0.6931471805599453,-0.125,0.8159221,-0.04601948,-0.2875,-0.1999247,-0.5038365,-0.45952368,-0.72108763
amazing,1,0.0606060606060606,-0.0,0.0,0.25,0.25,0.6799999999999999,6.05,6.83,-0.38149950374502967,0.49584512448789264,0.6256230964695259,gensim_poincare,2,1,1.0,0.5,7,0.0,0.25,0.0,0.5,0.68,-0.3814995,0.49584514,-1.0,-0.8172378
america,2,0.1206060606060606,0.6931345545630174,0.9999817845368459,-0.25,-4.553865788514688e-06,0.0,5.0,5.0,-0.6658502916857152,-0.4413653071279285,0.7988491379942039,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,8,0.6931471805599453,-0.25,0.99998176,-9.107732e-06,0.0,-0.6658503,-0.4413653,-0.45952368,-0.72108763
anger,3,0.3761224489795915,0.9525198074331345,0.8670208928646803,-0.32222233333333333,-0.042848838185726025,-0.625,5.93,5.14,-0.13996593848841116,-0.4515656944923404,0.4727600240918128,gensim_poincare,4,3,1.5,0.5625,9,1.0986122886681098,-0.32222232,0.8670209,-0.08569767,-0.625,-0.13996594,-0.45156568,-0.14336532,-0.75233644
