source,target,weight,relation
bn:21705811n,bn:01961238n,1.0,SOUNDTRACK_RELEASE
bn:21705811n,bn:02580280n,1.0,TEST_TAKEN
bn:21705811n,bn:01591943n,1.0,DERIVATIVE_WORK
bn:21705811n,bn:01613055n,1.0,VOICE_ACTOR
bn:21705811n,bn:02789522n,1.0,VOICE_ACTOR
bn:21705811n,bn:03884906n,1.0,VOICE_ACTOR
bn:21705811n,bn:17235524n,1.0,VOICE_ACTOR
bn:21705811n,bn:00681403n,1.0,DISTRIBUTION_FORMAT
bn:21705811n,bn:00081164n,1.0,ASPECT_RATIO
bn:21705811n,bn:26584521n,1.0,FILM_EDITOR
bn:01537133n,bn:01340591n,1.0,DIRECTOR
bn:01537133n,bn:00005267n,1.0,SEMANTICALLY_RELATED
bn:01537133n,bn:00005255n,1.0,COUNTRY_OF_ORIGIN
bn:01537133n,bn:18425192n,1.0,WIBI_HYPERNYM
bn:01537133n,bn:03835611n,1.0,CAST_MEMBER
bn:01537133n,bn:14379267n,1.0,CAST_MEMBER
bn:01537133n,bn:00034471n,1.0,INSTANCE_OF
bn:01537133n,bn:00078018n,1.0,SEMANTICALLY_RELATED
bn:23738066n,bn:00005255n,1.0,SEMANTICALLY_RELATED
bn:23738066n,bn:00037743n,1.0,SEMANTICALLY_RELATED
bn:23738066n,bn:00054416n,1.0,SEMANTICALLY_RELATED
bn:23738066n,bn:00056443n,1.0,SEMANTICALLY_RELATED
bn:23738066n,bn:00704238n,1.0,SEMANTICALLY_RELATED
bn:23738066n,bn:00789872n,1.0,SEMANTICALLY_RELATED
bn:23738066n,bn:01864019n,1.0,SEMANTICALLY_RELATED
bn:23738066n,bn:02190471n,1.0,SEMANTICALLY_RELATED
bn:23738066n,bn:02283597n,1.0,SEMANTICALLY_RELATED
bn:23738066n,bn:02763202n,1.0,SEMANTICALLY_RELATED
bn:16077119n,bn:15959201n,1.0,LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY
bn:16077119n,bn:00075752n,1.0,SEMANTICALLY_RELATED
bn:16077119n,bn:00042729n,1.0,INSTANCE_OF
bn:16077119n,bn:00170628n,1.0,SEMANTICALLY_RELATED
bn:16077119n,bn:00182833n,1.0,SEMANTICALLY_RELATED
bn:16077119n,bn:00299314n,1.0,SEMANTICALLY_RELATED
bn:16077119n,bn:01669841n,1.0,SEMANTICALLY_RELATED
bn:16077119n,bn:03057158n,1.0,SEMANTICALLY_RELATED
bn:16077119n,bn:03258127n,1.0,SEMANTICALLY_RELATED
bn:03337182n,bn:00001781n,1.0,SEMANTICALLY_RELATED
bn:03337182n,bn:00002370n,1.0,SEMANTICALLY_RELATED
bn:03337182n,bn:00002711n,1.0,SEMANTICALLY_RELATED
bn:03337182n,bn:00004705n,1.0,SEMANTICALLY_RELATED
bn:03337182n,bn:00005258n,1.0,SEMANTICALLY_RELATED
bn:03337182n,bn:00005267n,1.0,SEMANTICALLY_RELATED
bn:03337182n,bn:00005851n,1.0,SEMANTICALLY_RELATED
bn:03337182n,bn:00006263n,1.0,SEMANTICALLY_RELATED
bn:03337182n,bn:00006460n,1.0,SEMANTICALLY_RELATED
bn:03337182n,bn:00009241n,1.0,SEMANTICALLY_RELATED
bn:16626849n,bn:03700879n,1.0,SIGNIFICANT_EVENT
bn:16626849n,bn:00002381n,1.0,CAPITAL
bn:16626849n,bn:15505418n,1.0,SHARES_BORDER_WITH
bn:16626849n,bn:16626464n,1.0,SHARES_BORDER_WITH
bn:16626849n,bn:16627224n,1.0,SHARES_BORDER_WITH
bn:16626849n,bn:16627298n,1.0,SHARES_BORDER_WITH
bn:16626849n,bn:16627360n,1.0,SHARES_BORDER_WITH
bn:16626849n,bn:00049179n,1.0,COUNTRY
bn:16626849n,bn:16626939n,1.0,INSTANCE_OF
bn:23838668n,bn:00681403n,1.0,DISTRIBUTION_FORMAT
bn:23838668n,bn:23829238n,1.0,DIRECTOR_OF_PHOTOGRAPHY
bn:23838668n,bn:23834901n,1.0,DIRECTOR
bn:23838668n,bn:00073092n,1.0,SEMANTICALLY_RELATED
bn:23838668n,bn:24813731n,1.0,PARTICIPANT_IN
bn:23838668n,bn:00031605n,1.0,SEMANTICALLY_RELATED
bn:23838668n,bn:18425192n,1.0,GENRE
bn:23838668n,bn:00034471n,1.0,INSTANCE_OF
bn:00007371n,bn:00004003n,1.0,HYPONYM_oewn~
bn:00007371n,bn:00082942v,1.0,DERIVATION_oewn+
bn:00007371n,bn:00097823a,1.0,DERIVATION_oewn+
bn:00007371n,bn:00054065n,1.0,HYPERNYM_oewn@
bn:00007371n,bn:16788182n,1.0,DEPICTED_BY
bn:00007371n,bn:00600206n,1.0,HISTORY_OF_TOPIC
bn:00007371n,bn:16417478n,1.0,ON_FOCUS_LIST_OF_WIKIMEDIA_PROJECT
bn:00007371n,bn:00002150n,1.0,HAS_QUALITY
bn:00007371n,bn:00007366n,1.0,HAS_QUALITY
bn:00007371n,bn:00998935n,1.0,HAS_QUALITY
bn:24344304n,bn:00681403n,1.0,DISTRIBUTION_FORMAT
bn:24344304n,bn:02760106n,1.0,DISTRIBUTED_BY
bn:24344304n,bn:00011933n,1.0,NARRATIVE_LOCATION
bn:24344304n,bn:03146953n,1.0,DIRECTOR
bn:24344304n,bn:00044177n,1.0,ORIGINAL_LANGUAGE_OF_FILM_OR_TV_SHOW
bn:24344304n,bn:00010203n,1.0,COUNTRY_OF_ORIGIN
bn:24344304n,bn:03184586n,1.0,GENRE
bn:24344304n,bn:02547350n,1.0,CAST_MEMBER
bn:24344304n,bn:03397203n,1.0,CAST_MEMBER
bn:22325199n,bn:00061012n,1.0,SEMANTICALLY_RELATED
bn:22325199n,bn:21820470n,1.0,SEMANTICALLY_RELATED
bn:00051054n,bn:00001674n,1.0,HYPONYM_oewn~
bn:00051054n,bn:00010549n,1.0,HYPONYM_oewn~
bn:00051054n,bn:00059477n,1.0,HYPERNYM_oewn@
bn:00051054n,bn:00381179n,1.0,HISTORY_OF_TOPIC
bn:00051054n,bn:00010543n,1.0,STUDIED_BY
bn:00051054n,bn:16417478n,1.0,ON_FOCUS_LIST_OF_WIKIMEDIA_PROJECT
bn:00051054n,bn:00001267n,1.0,HAS_QUALITY
bn:00051054n,bn:00010523n,1.0,HAS_QUALITY
bn:00051054n,bn:00012995n,1.0,HAS_QUALITY
bn:00051054n,bn:00051065n,1.0,HAS_QUALITY
bn:23400599n,bn:14436720n,1.0,INSTANCE_OF
bn:23400599n,bn:00002370n,1.0,SEMANTICALLY_RELATED
bn:23400599n,bn:00005267n,1.0,SEMANTICALLY_RELATED
bn:23400599n,bn:00007546n,1.0,SEMANTICALLY_RELATED
bn:23400599n,bn:00009716n,1.0,SEMANTICALLY_RELATED
bn:23400599n,bn:00032768n,1.0,SEMANTICALLY_RELATED
bn:23400599n,bn:00033707n,1.0,SEMANTICALLY_RELATED
bn:23400599n,bn:00047447n,1.0,SEMANTICALLY_RELATED
bn:23400599n,bn:00050469n,1.0,SEMANTICALLY_RELATED
bn:23400599n,bn:00051054n,1.0,SEMANTICALLY_RELATED
bn:14729455n,bn:15157988n,1.0,LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY
bn:14729455n,bn:00047447n,1.0,SEMANTICALLY_RELATED
bn:14729455n,bn:00042729n,1.0,INSTANCE_OF
bn:14729455n,bn:00015498n,1.0,SEMANTICALLY_RELATED
bn:14729455n,bn:00025456n,1.0,SEMANTICALLY_RELATED
bn:14729455n,bn:00033707n,1.0,SEMANTICALLY_RELATED
bn:14729455n,bn:00077302n,1.0,SEMANTICALLY_RELATED
bn:14729455n,bn:00294807n,1.0,SEMANTICALLY_RELATED
bn:14729455n,bn:00294811n,1.0,SEMANTICALLY_RELATED
bn:00958248n,bn:00958267n,1.0,DIFFERENT_FROM
bn:00958248n,bn:01280186n,1.0,LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY
bn:00958248n,bn:00002362n,1.0,SEMANTICALLY_RELATED
bn:00958248n,bn:00019319n,1.0,INSTANCE_OF
bn:00958248n,bn:00005267n,1.0,SEMANTICALLY_RELATED
bn:00958248n,bn:00007938n,1.0,SEMANTICALLY_RELATED
bn:00958248n,bn:00075215n,1.0,SEMANTICALLY_RELATED
bn:00958248n,bn:00078057n,1.0,SEMANTICALLY_RELATED
bn:00958248n,bn:00141413n,1.0,SEMANTICALLY_RELATED
bn:16720943n,bn:03204943n,1.0,LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY
bn:16720943n,bn:16842643n,1.0,LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY
bn:16720943n,bn:00047447n,1.0,SEMANTICALLY_RELATED
bn:16720943n,bn:00042729n,1.0,INSTANCE_OF
bn:16720943n,bn:00015498n,1.0,SEMANTICALLY_RELATED
bn:16720943n,bn:00025456n,1.0,SEMANTICALLY_RELATED
bn:16720943n,bn:00033707n,1.0,SEMANTICALLY_RELATED
