source,target,weight,relation
bn:16345302n,bn:17470038n,1.0,SOUNDTRACK_RELEASE
bn:16345302n,bn:02580280n,1.0,TEST_TAKEN
bn:16345302n,bn:03773401n,1.0,AFTER_A_WORK_BY
bn:16345302n,bn:00815878n,1.0,BASED_ON
bn:16345302n,bn:00053580n,1.0,VOICE_ACTOR
bn:16345302n,bn:00531278n,1.0,VOICE_ACTOR
bn:16345302n,bn:00855968n,1.0,VOICE_ACTOR
bn:16345302n,bn:01388499n,1.0,VOICE_ACTOR
bn:16345302n,bn:01403252n,1.0,VOICE_ACTOR
bn:16345302n,bn:01989579n,1.0,VOICE_ACTOR
bn:02416890n,bn:04305086n,1.0,DIFFERENT_FROM
bn:02416890n,bn:02513686n,1.0,LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY
bn:02416890n,bn:00040352n,1.0,SEMANTICALLY_RELATED
bn:02416890n,bn:00070724n,1.0,INSTANCE_OF
bn:02416890n,bn:00077773n,1.0,WIBI_HYPERNYM
bn:02416890n,bn:00000764n,1.0,SEMANTICALLY_RELATED
bn:02416890n,bn:00025456n,1.0,SEMANTICALLY_RELATED
bn:02416890n,bn:00040810n,1.0,SEMANTICALLY_RELATED
bn:02416890n,bn:00049484n,1.0,SEMANTICALLY_RELATED
bn:00077773n,bn:00000178n,1.0,INSTANCES_HYPONYM_oewn~i
bn:00077773n,bn:00000282n,1.0,INSTANCES_HYPONYM_oewn~i
bn:00077773n,bn:00000283n,1.0,INSTANCES_HYPONYM_oewn~i
bn:00077773n,bn:00000284n,1.0,INSTANCES_HYPONYM_oewn~i
bn:00077773n,bn:00000285n,1.0,INSTANCES_HYPONYM_oewn~i
bn:00077773n,bn:00000316n,1.0,INSTANCES_HYPONYM_oewn~i
bn:00077773n,bn:00000533n,1.0,INSTANCES_HYPONYM_oewn~i
bn:00077773n,bn:00000687n,1.0,INSTANCES_HYPONYM_oewn~i
bn:00077773n,bn:00001012n,1.0,INSTANCES_HYPONYM_oewn~i
bn:00077773n,bn:00001145n,1.0,INSTANCES_HYPONYM_oewn~i
bn:05951079n,bn:00059480n,1.0,INSTANCE_OF
