source,target,weight
上课,认真,4.0
上课,老师,45.0
上课,同学,3.0
上课,书本,2.0
上课,考试,2.0
上课,烦,3.0
上课,作业,11.0
上课,时间,3.0
上课,睡觉,2.0
上课,学习,19.0
上课,学生,12.0
上课,手机,1.0
上课,学校,7.0
上课,痛苦,3.0
上课,实验,3.0
上课,知识,4.0
上课,精神,1.0
上课,无聊,3.0
上课,累,1.0
上课,#Missing,3.0
上课,书,2.0
下雨,恋爱,1.0
下雨,童年,1.0
下雨,冷,5.0
下雨,音乐,2.0
下雨,烦,3.0
下雨,爱情,1.0
下雨,烦躁,3.0
下雨,美好,2.0
下雨,浪漫,2.0
下雨,阳光,2.0
不好,烦躁,3.0
不好,拒绝,9.0
不好,人,3.0
不好,伤心,2.0
不好,心情,3.0
不好,什么,6.0
不好,考试,1.0
不好,好,24.0
不好,难过,3.0
不好,自杀,1.0
不好,吃,3.0
不好,不好,5.0
不好,学习,3.0
不好,工作,2.0
不好,人生,1.0
不好,麻烦,1.0
不好,事情,8.0
不好,坏人,1.0
不好,啊,2.0
不好,老师,1.0
不好,我,3.0
不好,你,2.0
不好,结婚,1.0
不好,烦,1.0
不好,死亡,2.0
不好,#Missing,33.0
专业,聪明,2.0
专业,语文,1.0
专业,科学,3.0
专业,知识,3.0
专业,厉害,9.0
专业,历史,3.0
专业,笔,1.0
专业,护士,3.0
专业,环境,3.0
专业,考试,5.0
专业,英语,3.0
专业,建筑,1.0
专业,数学,2.0
专业,化学,1.0
专业,眼镜,5.0
专业,思考,1.0
专业,好,2.0
专业,认真,1.0
专业,小说,2.0
专业,公司,1.0
专业,骗子,2.0
专业,学习,8.0
专业,工作,1.0
专业,大学,15.0
专业,优秀,3.0
专业,问题,1.0
专业,想法,2.0
专业,#Missing,33.0
世界,发展,2.0
世界,环境,1.0
世界,地球,41.0
世界,战争,5.0
世界,大,15.0
世界,复杂,2.0
世界,宇宙,12.0
世界,美国,2.0
世界,中国,1.0
世界,历史,3.0
世界,旅游,3.0
世界,国家,4.0
世界,物理,2.0
世界,美食,1.0
世界,黑暗,2.0
世界,语言,3.0
世界,家,3.0
世界,梦想,3.0
世界,旅行,2.0
世界,交流,3.0
世界,合作,2.0
世界,危险,1.0
世界,痛,3.0
世界,思考,2.0
世界,爱,1.0
世界,美丽,3.0
世界,自然,1.0
世界,#Missing,18.0
世界,山,3.0
世界,天空,2.0
东西,什么,3.0
东西,物品,22.0
东西,方向,17.0
东西,吃饭,3.0
东西,事情,3.0
东西,吃的,9.0
东西,垃圾,1.0
东西,好看,2.0
东西,食物,3.0
东西,火锅,2.0
东西,多,3.0
东西,没有,1.0
东西,地铁,3.0
东西,好吃,2.0
东西,电影,2.0
东西,世界,1.0
东西,太阳,1.0
东西,工具,1.0
东西,人,1.0
严肃,生气,3.0
严肃,难过,2.0
严肃,认真,29.0
严肃,可怕,3.0
严肃,老师,17.0
严肃,紧张,7.0
严肃,温柔,3.0
严肃,警察,4.0
严肃,法庭,3.0
严肃,妈妈,1.0
严肃,会议,2.0
严肃,军人,6.0
严肃,a9a16bdb296080515ecbde436016b3ca,2.0
严肃,无聊,1.0
严肃,严肃,24.0
严肃,尴尬,3.0
严肃,复杂,1.0
严肃,眼镜,2.0
严肃,安静,3.0
严肃,灾难,2.0
严肃,爸爸,4.0
严肃,害怕,5.0
严肃,冷漠,1.0
严肃,脸,3.0
严肃,男人,2.0
严肃,法官,1.0
中国,温暖,2.0
中国,红色,18.0
中国,母亲,2.0
中国,国家,12.0
中国,人,4.0
中国,红,5.0
中国,大,1.0
中国,爱,3.0
中国,伟大,7.0
中国,人民,6.0
中国,历史,1.0
中国,日本,4.0
中国,土地,3.0
中国,美食,2.0
中国,优秀,3.0
中国,北京,1.0
中国,#Missing,27.0
中国,梦想,3.0
中国,美国,2.0
乐器,音乐,6.0
乐器,钢琴,76.0
乐器,手,1.0
乐器,困难,2.0
乐器,艺术,3.0
乐器,动漫,1.0
乐器,#Missing,24.0
书,书本,5.0
书,考试,2.0
书,情绪,1.0
书,小说,4.0
书,知识,26.0
书,未来,3.0
书,生活,1.0
书,好看,1.0
书,淘宝,1.0
书,纸,8.0
书,故事,1.0
书,书籍,2.0
书,学习,7.0
书,能力,2.0
书,学校,3.0
书,语言,1.0
书,钱,2.0
书,电脑,2.0
书,网络,1.0
书,文化,3.0
书,学生,1.0
书,喜欢,3.0
书,历史,1.0
书,#Missing,24.0
书,语文,3.0
书本,研究,3.0
书本,知识,30.0
书本,小说,17.0
书本,语文,4.0
书本,数学,3.0
书本,学习,9.0
书本,纸,5.0
书本,上课,4.0
书本,海洋,2.0
书本,书,3.0
书本,快乐,4.0
书本,美好,3.0
书本,书籍,6.0
书本,考试,2.0
书本,爱情,3.0
书本,想法,1.0
书本,教育,2.0
书本,科学,1.0
书本,眼睛,2.0
书本,学校,2.0
书本,美丽,1.0
书本,作业,1.0
书本,笔,3.0
书本,#Missing,22.0
书本,木头,2.0
书本,#Unknown,6.0
书籍,知识,25.0
书籍,自我,2.0
书籍,小说,9.0
书籍,安静,2.0
书籍,学习,3.0
书籍,思考,2.0
书籍,纸,4.0
书籍,阳光,2.0
书籍,重要,2.0
书籍,工作,1.0
书籍,历史,2.0
书籍,书本,21.0
书籍,学生,1.0
书籍,家,2.0
书籍,多,3.0
书籍,#Missing,32.0
书籍,人类,3.0
书籍,游戏,3.0
事件,人物,6.0
事件,车祸,12.0
事件,历史,3.0
事件,事故,7.0
事件,冷漠,2.0
事件,杀人,8.0
事件,新闻,16.0
事件,开心,4.0
事件,律师,2.0
事件,问题,3.0
事件,事情,36.0
事件,好,3.0
事件,人,1.0
事件,1f3965ef5da266bba583fa2e763f425c,1.0
事件,警察,5.0
事件,时间,1.0
事件,什么,2.0
事件,交通,2.0
事件,教育,1.0
事件,故事,2.0
事件,重要,2.0
事件,快乐,2.0
事件,难过,1.0
事件,未来,2.0
事件,打架,3.0
事件,结束,2.0
事情,交通,2.0
事情,事件,8.0
事情,问题,3.0
事情,大,3.0
事情,小,2.0
事情,多,9.0
事情,烦,5.0
事情,工作,6.0
事情,认真,2.0
事情,复杂,7.0
事情,简单,1.0
事情,麻烦,8.0
事情,累,1.0
事情,烦躁,7.0
事情,发展,3.0
事情,未来,2.0
事情,故事,6.0
事情,好的,2.0
事情,时间,2.0
事情,可怕,3.0
事情,#Missing,55.0
事情,任务,2.0
事情,结果,2.0
事情,结束,3.0
事情,安全,3.0
事情,#Unknown,6.0
事故,故事,22.0
事故,事情,6.0
事故,可怕,4.0
事故,害怕,2.0
事故,交通,42.0
事故,车祸,37.0
事故,汽车,9.0
事故,灾难,7.0
事故,家人,2.0
事故,放松,1.0
事故,责任,3.0
事故,工厂,1.0
事故,死亡,4.0
事故,麻烦,1.0
事故,危险,9.0
事故,警察,2.0
事故,事件,3.0
事故,受伤,3.0
事故,悲伤,1.0
事故,伤害,1.0
事故,#Missing,20.0
事故,问题,2.0
交流,说话,20.0
交流,思想,4.0
交流,语言,12.0
交流,英语,3.0
交流,文化,7.0
交流,艺术,2.0
交流,困难,8.0
交流,麻烦,2.0
交流,关系,3.0
交流,信息,1.0
交流,男女,2.0
交流,朋友,2.0
交流,想法,3.0
交流,人,2.0
交流,合作,2.0
交流,疾病,1.0
交流,爱情,3.0
交流,放松,1.0
交流,物理,1.0
交流,微信,3.0
交流,感情,3.0
交流,#Missing,30.0
交流,动作,3.0
交流,情感,2.0
交流,人生,1.0
亲人,家人,10.0
亲人,亲戚,6.0
亲人,关系,5.0
亲人,爸爸,22.0
亲人,妈妈,38.0
亲人,父母,24.0
亲人,爱人,7.0
亲人,猫,2.0
亲人,家,5.0
亲人,爱,9.0
亲人,母亲,3.0
亲人,好,1.0
亲人,帮助,3.0
亲人,温暖,5.0
亲人,朋友,9.0
亲人,家庭,7.0
亲人,孤独,1.0
亲人,责任,2.0
亲人,狗,3.0
亲人,奶奶,8.0
亲人,健康,2.0
亲人,水,2.0
亲人,电话,1.0
亲人,#Missing,32.0
亲人,伤心,3.0
亲人,#Unknown,6.0
亲戚,关系,7.0
亲戚,男女,2.0
亲戚,朋友,18.0
亲戚,奶奶,2.0
亲戚,爸爸,6.0
亲戚,妈妈,8.0
亲戚,麻烦,8.0
亲戚,亲人,14.0
亲戚,可怕,2.0
亲戚,压力,1.0
亲戚,温暖,1.0
亲戚,爱,1.0
亲戚,过年,9.0
亲戚,公司,2.0
亲戚,多,6.0
亲戚,家人,12.0
亲戚,吃饭,3.0
亲戚,父母,5.0
亲戚,讨厌,2.0
亲戚,感情,3.0
亲戚,#Missing,39.0
人,狗,3.0
人,鸡,2.0
人,坏人,5.0
人,生物,1.0
人,人类,34.0
人,生命,6.0
人,社会,3.0
人,人民,9.0
人,我,6.0
人,发展,1.0
人,自然,6.0
人,人生,13.0
人,动物,21.0
人,复杂,2.0
人,简单,1.0
人,性格,3.0
人,理想,1.0
人,动作,1.0
人,环境,1.0
人,女人,7.0
人,男人,4.0
人,地球,3.0
人,心理,1.0
人,垃圾,2.0
