source,target,weight
上海,北京,0.225806451612903
上海,城市,0.161290322580645
上班,工作,0.125
上班,累,0.125
上课,学习,0.121951219512195
上课,老师,0.170731707317073
下雨,伞,0.0810810810810811
不好,好,0.170212765957447
世界,地球,0.170212765957447
世界,大,0.0851063829787234
世界,宇宙,0.0638297872340425
东西,方向,0.0638297872340425
东西,物品,0.0851063829787234
中国,国家,0.0652173913043478
中国,红色,0.0869565217391304
丰富,联想,0.0638297872340425
主义,理想,0.102564102564103
主义,社会,0.153846153846154
乐器,钢琴,0.342105263157895
书,知识,0.136363636363636
书籍,知识,0.146341463414634
事故,危险,0.0666666666666667
事故,故事,0.233333333333333
事故,灾难,0.0666666666666667
五月天,歌手,0.151515151515152
五月天,音乐,0.0606060606060606
亮,光,0.285714285714286
亮,灯,0.122448979591837
亲人,妈妈,0.204081632653061
亲人,朋友,0.0612244897959184
亲人,爱,0.0612244897959184
亲人,父母,0.142857142857143
亲戚,亲人,0.0930232558139535
亲戚,家人,0.0697674418604651
亲戚,朋友,0.0930232558139535
人,人生,0.0666666666666667
人,人类,0.222222222222222
人,动物,0.111111111111111
人民,中国,0.0652173913043478
人民,国家,0.0869565217391304
人生,理想,0.0714285714285714
人类,动物,0.155555555555556
人类,男人,0.0666666666666667
人类,社会,0.0666666666666667
人群,拥挤,0.25
什么,东西,0.176470588235294
什么,鬼,0.0784313725490196
优秀,人,0.106382978723404
优秀,学生,0.127659574468085
优秀,成绩,0.127659574468085
优雅,女性,0.0666666666666667
优雅,美丽,0.111111111111111
会议,无聊,0.0888888888888889
伞,下雨,0.304347826086957
伞,雨,0.130434782608696
伤口,疼,0.102564102564103
伤口,血,0.205128205128205
伤害,伤心,0.13953488372093
伤害,刀,0.0697674418604651
伤心,哭,0.125
伤心,哭泣,0.0833333333333333
伤心,悲伤,0.0625
伤心,难过,0.333333333333333
体重,胖,0.205882352941176
佛教,宗教,0.138888888888889
作业,老师,0.08
你,我,0.693877551020408
便宜,贵,0.0697674418604651
保护,动物,0.108695652173913
保护,环境,0.0652173913043478
信息,时代,0.0909090909090909
信息,爆炸,0.0681818181818182
健康,身体,0.372549019607843
儿童,可爱,0.0869565217391304
