source,target,weight
上课,老师,7.0
上课,烦,1.0
上课,时间,1.0
上课,学习,5.0
上课,作业,2.0
上课,痛苦,1.0
上课,实验,1.0
上课,学生,1.0
上课,无聊,1.0
上课,知识,1.0
下雨,冷,1.0
下雨,烦,1.0
下雨,烦躁,1.0
不好,烦躁,1.0
不好,人,1.0
不好,心情,1.0
不好,什么,2.0
不好,好,8.0
不好,难过,1.0
不好,吃,1.0
不好,学习,1.0
不好,我,1.0
不好,拒绝,1.0
不好,事情,2.0
世界,大,4.0
世界,宇宙,3.0
世界,地球,8.0
世界,历史,1.0
世界,语言,1.0
世界,家,1.0
世界,梦想,1.0
世界,痛,1.0
世界,山,1.0
东西,物品,4.0
东西,吃饭,1.0
东西,事情,1.0
东西,吃的,2.0
东西,食物,1.0
东西,多,1.0
东西,方向,3.0
严肃,生气,1.0
严肃,认真,6.0
严肃,紧张,1.0
严肃,温柔,1.0
严肃,老师,3.0
严肃,法庭,1.0
严肃,军人,2.0
严肃,尴尬,1.0
严肃,安静,1.0
严肃,爸爸,1.0
严肃,脸,1.0
严肃,害怕,1.0
中国,红色,4.0
中国,人,1.0
中国,爱,1.0
中国,红,1.0
中国,国家,3.0
中国,人民,2.0
中国,日本,1.0
中国,土地,1.0
中国,兔子,1.0
中国,优秀,1.0
中国,梦想,1.0
主义,社会,6.0
主义,理想,4.0
主义,英雄,1.0
主义,a9a16bdb296080515ecbde436016b3ca,2.0
主义,思想,1.0
主义,书本,1.0
主义,#unknown,1.0
乐器,音乐,1.0
乐器,钢琴,13.0
乐器,艺术,1.0
乐器,#missing,1.0
书,书本,1.0
书,知识,6.0
书,纸,2.0
书,学习,2.0
书,学校,1.0
书,文化,1.0
书,喜欢,1.0
书,语文,1.0
书本,研究,1.0
书本,数学,1.0
书本,学习,3.0
书本,上课,1.0
书本,知识,8.0
书本,语文,1.0
书本,书,1.0
书本,美好,1.0
书本,书籍,2.0
书本,小说,3.0
书本,爱情,1.0
书本,快乐,1.0
书本,纸,1.0
书本,笔,1.0
书本,#unknown,1.0
书籍,知识,6.0
书籍,学习,1.0
书籍,纸,1.0
书籍,小说,2.0
书籍,书本,5.0
书籍,多,1.0
书籍,人类,1.0
书籍,很多,1.0
书籍,游戏,1.0
事件,杀人,2.0
事件,问题,1.0
事件,好,1.0
事件,事情,10.0
事件,人物,1.0
事件,新闻,2.0
事件,开心,1.0
事件,警察,1.0
事件,打架,1.0
事实,黑白,1.0
事实,事件,2.0
事实,说话,1.0
事实,结婚,1.0
事实,#unknown,1.0
事情,问题,1.0
事情,大,1.0
