source,target,weight,relation
clean,dirty,2.0,/r/MotivatedByGoal
clean,religion,2.0,/r/HasContext
clean,remove,2.0,/r/MannerOf
clean,change,2.0,/r/MannerOf
clean,be,2.0,/r/MannerOf
clean,clean,2.0,/r/RelatedTo
clean,complete,2.0,/r/SimilarTo
dirty,change,2.0,/r/MannerOf
cold,hot,3.074,/r/DistinctFrom
cold,ice,2.087,/r/RelatedTo
cold,dead,2.0,/r/SimilarTo
hot,cold,2.0,/r/NotHasProperty
hot,heat,2.0,/r/RelatedTo
hot,active,2.0,/r/SimilarTo
hot,good,2.0,/r/SimilarTo
hot,live,2.0,/r/Synonym
decrease,increase,2.0,/r/Antonym
decrease,change,2.0,/r/MannerOf
decrease,process,2.0,/r/IsA
increase,decrease,2.0,/r/Antonym
increase,change,2.0,/r/MannerOf
increase,process,2.0,/r/IsA
die,live,3.464,/r/HasPrerequisite
die,baseball,2.0,/r/HasContext
die,religion,2.0,/r/HasContext
die,play,2.0,/r/MannerOf
die,change,2.0,/r/MannerOf
die,change_state,2.0,/r/MannerOf
die,old,2.0,/r/MotivatedByGoal
die,death,3.224,/r/RelatedTo
live,dead,2.156,/r/DistinctFrom
live,die,4.899,/r/HasLastSubevent
live,eat,2.828,/r/HasPrerequisite
live,active,2.0,/r/RelatedTo
live,be,2.0,/r/Synonym
dog,cat,3.622,/r/RelatedTo
dog,bed,2.0,/r/AtLocation
dog,house,2.672,/r/RelatedTo
dog,park,4.899,/r/AtLocation
dog,table,5.657,/r/AtLocation
dog,run,6.0,/r/CapableOf
dog,bone,5.292,/r/Desires
dog,nose,2.0,/r/HasA
dog,slang,2.0,/r/HasContext
dog,fun,2.828,/r/HasProperty
dog,animal,9.41,/r/RelatedTo
cat,bag,3.464,/r/AtLocation
cat,bed,9.381,/r/AtLocation
cat,chair,4.472,/r/AtLocation
cat,closet,2.828,/r/AtLocation
cat,floor,4.0,/r/AtLocation
cat,heat,2.0,/r/AtLocation
cat,home,3.464,/r/AtLocation
cat,house,2.027,/r/RelatedTo
cat,table,4.472,/r/AtLocation
cat,sleep,3.464,/r/Desires
cat,dog,3.281,/r/DistinctFrom
cat,hair,2.0,/r/HasA
cat,woman,2.0,/r/IsA
cat,wet,4.472,/r/NotDesires
cat,animal,5.881,/r/RelatedTo
drink,eat,3.72,/r/RelatedTo
drink,drink,2.828,/r/HasPrerequisite
drink,liquid,10.85,/r/RelatedTo
drink,action,4.623,/r/RelatedTo
drink,alcohol,2.398,/r/RelatedTo
drink,food,3.47,/r/RelatedTo
drink,glass,4.302,/r/RelatedTo
drink,water,5.872,/r/RelatedTo
eat,cook,2.828,/r/HasPrerequisite
eat,work,2.0,/r/HasPrerequisite
eat,eat,2.0,/r/MannerOf
eat,action,2.966,/r/RelatedTo
eat,food,6.358,/r/RelatedTo
end,beginning,2.672,/r/DistinctFrom
end,end,2.0,/r/Causes
end,football,2.0,/r/HasContext
end,part,2.0,/r/IsA
end,surface,2.0,/r/IsA
end,state,2.0,/r/IsA
end,point,2.0,/r/IsA
end,change,2.0,/r/MannerOf
end,be,2.0,/r/MannerOf
end,line,2.0,/r/RelatedTo
beginning,part,2.0,/r/IsA
beginning,point,2.0,/r/IsA
ground,sky,2.888,/r/Antonym
ground,tree,2.0,/r/AtLocation
ground,art,2.0,/r/HasContext
ground,baseball,2.0,/r/HasContext
ground,football,2.0,/r/HasContext
ground,surface,2.858,/r/RelatedTo
ground,hit,2.0,/r/MannerOf
ground,put,2.0,/r/MannerOf
ground,throw,2.0,/r/MannerOf
ground,earth,2.0,/r/Synonym
ground,floor,7.18,/r/RelatedTo
ground,land,2.0,/r/Synonym
sky,dark,2.828,/r/HasProperty
sky,earth,2.0,/r/PartOf
sky,air,2.986,/r/RelatedTo
sky,fly,2.828,/r/UsedFor
hand,foot,3.828,/r/RelatedTo
hand,hand,2.0,/r/CapableOf
hand,side,2.0,/r/IsA
hand,collection,2.0,/r/IsA
hand,lead,2.0,/r/MannerOf
hand,body,7.03,/r/RelatedTo
hand,body_part,6.138,/r/RelatedTo
hand,finger,3.931,/r/RelatedTo
hand,part,6.86,/r/RelatedTo
hand,pass,2.0,/r/Synonym
foot,desk,2.0,/r/AtLocation
foot,shoe,2.607,/r/RelatedTo
foot,table,2.0,/r/AtLocation
foot,walk,2.0,/r/MannerOf
foot,support,2.0,/r/IsA
foot,body,3.533,/r/RelatedTo
foot,leg,4.599,/r/RelatedTo
foot,body_part,3.199,/r/RelatedTo
foot,part,3.712,/r/RelatedTo
heat,cold,2.659,/r/DistinctFrom
heat,heat,2.0,/r/Causes
heat,change,2.0,/r/MannerOf
heat,change_state,2.0,/r/MannerOf
heat,supply,2.0,/r/MannerOf
heat,fire,4.877,/r/RelatedTo
heat,hot,4.23,/r/RelatedTo
heat,sun,2.977,/r/RelatedTo
long,short,2.293,/r/Antonym
short,close,2.0,/r/SimilarTo
short,light,2.0,/r/Synonym
new,old,2.608,/r/DistinctFrom
new,linguistics,2.0,/r/HasContext
new,young,2.0,/r/Synonym
old,young,3.037,/r/DistinctFrom
old,linguistics,2.0,/r/HasContext
old,past,2.0,/r/RelatedTo
young,old,2.0,/r/Antonym
young,animal,2.0,/r/IsA
young,new,2.0,/r/SimilarTo
play,work,2.903,/r/DistinctFrom
play,music,2.0,/r/HasContext
play,play,2.828,/r/HasPrerequisite
play,relax,2.0,/r/HasPrerequisite
play,fun,2.0,/r/Synonym
play,action,3.883,/r/RelatedTo
play,use,2.0,/r/MannerOf
play,show,2.156,/r/RelatedTo
play,act,2.0,/r/Synonym
play,hit,2.0,/r/MannerOf
play,discharge,2.0,/r/MannerOf
play,sound,2.0,/r/MannerOf
play,move,2.0,/r/MannerOf
play,travel,2.0,/r/MannerOf
play,activity,6.261,/r/RelatedTo
play,child,3.934,/r/RelatedTo
play,game,5.416,/r/RelatedTo
play,having_fun,2.093,/r/RelatedTo
play,turn,2.0,/r/Synonym
play,meet,2.0,/r/Synonym
work,play,2.665,/r/DistinctFrom
work,desk,4.0,/r/AtLocation
work,work,2.0,/r/MannerOf
work,physics,2.0,/r/HasContext
work,activity,3.696,/r/RelatedTo
work,move,2.0,/r/MannerOf
work,use,2.0,/r/MannerOf
work,be,2.0,/r/MannerOf
work,money,2.801,/r/RelatedTo
work,office,3.789,/r/RelatedTo
work,study,2.0,/r/Synonym
work,exercise,2.0,/r/Synonym
work,shape,2.0,/r/Synonym
work,make,2.0,/r/Synonym
run,walk,5.887,/r/RelatedTo
run,crime,2.0,/r/HasContext
run,sport,2.0,/r/HasContext
run,score,2.0,/r/IsA
run,time_period,2.0,/r/IsA
run,process,2.0,/r/MannerOf
run,trade,2.0,/r/MannerOf
run,leave,2.0,/r/MannerOf
run,move,2.0,/r/Synonym
run,pass,2.0,/r/MannerOf
run,travel,2.0,/r/MannerOf
run,free,2.0,/r/MannerOf
run,run,2.0,/r/MannerOf
run,be,2.0,/r/MannerOf
run,action,2.91,/r/RelatedTo
run,activity,2.547,/r/RelatedTo
run,exercise,2.49,/r/RelatedTo
run,fast,9.416,/r/RelatedTo
run,motion,2.078,/r/RelatedTo
run,movement,3.903,/r/RelatedTo
run,discharge,2.0,/r/Synonym
run,play,2.0,/r/Synonym
walk,run,4.211,/r/RelatedTo
walk,baseball,2.0,/r/HasContext
walk,travel,2.0,/r/MannerOf
walk,play,2.0,/r/MannerOf
walk,score,2.0,/r/MannerOf
walk,exercise,4.899,/r/MotivatedByGoal
walk,action,2.954,/r/RelatedTo
walk,foot,2.071,/r/RelatedTo
walk,human,2.047,/r/RelatedTo
walk,move,2.537,/r/RelatedTo
walk,movement,5.742,/r/RelatedTo
wash,dirty,2.735,/r/Antonym
wash,work,2.0,/r/IsA
wash,remove,2.0,/r/MannerOf
wash,clean,7.549,/r/RelatedTo
wash,cover,2.0,/r/MannerOf
wash,separate,2.0,/r/MannerOf
wash,move,2.0,/r/MannerOf
wash,be,2.0,/r/MannerOf
wash,action,3.332,/r/RelatedTo
wash,water,3.72,/r/RelatedTo
air,house,2.0,/r/AtLocation
air,sky,2.112,/r/RelatedTo
air,supermarket,2.828,/r/AtLocation
air,air,2.0,/r/Causes
air,gas,4.284,/r/RelatedTo
air,quality,2.0,/r/IsA
air,dry,2.0,/r/MannerOf
house,city,2.0,/r/AtLocation
house,street,2.0,/r/AtLocation
house,bathroom,2.828,/r/HasA
house,door,4.472,/r/HasA
house,floor,2.0,/r/HasA
house,kitchen,2.828,/r/HasA
house,play,2.0,/r/IsA
house,building,6.724,/r/RelatedTo
house,family,2.0,/r/Synonym
house,wood,2.0,/r/MadeOf
house,home,6.144,/r/RelatedTo
house,live,3.099,/r/RelatedTo
house,place,3.088,/r/RelatedTo
supermarket,city,2.828,/r/AtLocation
airplane,air,4.472,/r/AtLocation
airplane,sky,7.483,/r/AtLocation
airplane,fly,2.0,/r/UsedFor
airplane,transport,2.0,/r/UsedFor
airplane,traveling,5.292,/r/UsedFor
