source,target,weight
wanted,this,2
wanted,could,1
wanted,have,2
wanted,made,2
wanted,through,1
wanted,our,1
wanted,was,1
wanted,give,1
wanted,new,2
wanted,year,2
wanted,last,1
wanted,night,1
wanted,please,1
wanted,don,1
wanted,yourself,1
wanted,into,1
wanted,the,2
wanted,with,2
wanted,better,1
wanted,than,1
wanted,you,1
wanted,were,1
wanted,share,1
wanted,that,1
wanted,helped,1
wanted,time,1
wanted,need,1
wanted,how,2
wanted,done,1
wanted,removed,1
wanted,one,1
wanted,things,1
wanted,each,1
wanted,but,2
wanted,always,1
wanted,been,1
wanted,too,1
wanted,really,1
wanted,try,1
wanted,for,1
wanted,she,2
wanted,who,1
wanted,since,1
wanted,started,1
wanted,job,1
wanted,years,1
wanted,ago,2
wanted,her,1
wanted,and,1
wanted,friends,1
wanted,never,1
wanted,same,1
wanted,social,1
wanted,months,1
this,could,9
this,have,22
this,made,7
this,through,6
this,our,4
this,was,7
this,give,4
this,you,31
this,everything,1
this,for,30
this,your,12
this,the,84
this,like,8
this,first,3
this,use,1
this,that,38
this,able,6
this,has,15
this,not,19
this,why,6
this,and,79
this,want,7
this,meet,1
this,new,11
this,people,9
this,wondering,2
this,anyone,9
this,would,10
this,started,2
this,other,7
this,social,2
this,even,11
this,group,1
this,something,3
this,don,15
this,tell,6
this,idea,4
this,ever,4
this,did,4
this,know,17
this,there,5
this,makes,2
this,year,6
this,off,9
this,little,3
this,book,6
this,down,7
this,https,9
this,account,2
this,now,11
this,but,25
this,way,8
this,all,6
this,things,4
this,didn,2
this,thing,3
this,most,2
this,wish,4
this,they,5
this,wife,1
this,she,11
this,helped,1
this,her,10
this,etc,1
this,get,13
this,house,2
this,very,7
this,with,26
this,least,3
this,enough,3
this,end,3
this,back,6
this,else,2
this,past,1
this,depression,4
this,before,2
this,them,10
this,feeling,7
this,just,18
this,feel,11
this,better,4
this,can,19
this,help,7
this,take,3
this,are,9
this,ask,3
this,please,6
this,post,3
this,thanks,6
this,everyone,7
this,saying,3
this,until,3
this,anxiety,2
this,how,6
this,these,3
this,another,1
this,fake,1
this,money,1
this,only,5
this,had,11
this,some,3
this,because,7
this,trying,2
this,leave,3
this,since,5
this,conversation,2
this,went,3
this,from,7
this,having,3
this,hours,6
this,week,10
this,doesn,2
this,month,5
this,ago,2
this,hell,4
this,does,2
this,work,3
this,what,10
this,actually,4
this,life,12
this,one,6
this,someone,4
this,service,3
this,out,11
this,com,4
this,about,16
this,over,2
this,while,2
this,doing,6
this,next,2
this,couple,1
this,months,4
this,without,2
this,depressed,2
this,might,2
this,talk,7
this,yesterday,5
this,those,2
this,who,6
this,will,9
this,bad,4
this,good,4
this,fact,1
this,lot,2
this,store,4
this,need,8
this,always,3
this,friends,4
this,here,2
this,happy,3
this,years,5
this,part,2
this,live,5
this,see,7
this,much,3
this,more,6
this,than,1
this,world,2
this,mind,3
this,maybe,2
this,when,7
this,love,2
this,think,11
this,dont,1
this,really,8
this,mean,1
this,truly,2
this,alone,1
this,hate,5
this,believe,3
this,job,1
this,shit,2
this,won,1
this,right,4
this,being,7
this,day,6
this,never,2
this,going,3
this,been,5
this,seems,1
this,sorry,2
this,guess,2
this,normal,1
this,anything,3
this,well,4
this,long,5
this,needed,1
this,which,1
this,time,5
this,share,6
this,should,2
this,keep,3
this,his,5
this,last,4
this,few,3
this,close,2
this,still,5
this,say,2
this,bit,3
this,myself,2
this,place,2
this,hard,5
this,later,3
this,easy,2
this,hope,3
this,find,3
this,heart,1
this,two,3
this,okay,1
this,family,1
this,too,2
this,getting,3
this,best,5
this,hey,1
this,come,4
this,car,4
this,make,2
this,its,2
this,around,2
this,many,4
this,stopped,2
this,obviously,2
this,after,4
this,therapist,2
this,taking,4
this,got,2
this,said,2
this,used,3
this,may,4
this,any,2
this,person,3
this,ptsd,3
this,let,1
this,appointment,4
this,building,1
this,away,2
this,sometimes,2
this,anymore,1
this,him,5
this,amp,2
this,today,1
this,kind,3
this,removed,1
this,where,1
this,also,4
this,every,4
this,home,3
this,sister,1
this,real,2
this,pain,1
this,own,2
this,affirmations,2
this,though,2
this,living,1
this,then,1
this,dog,1
this,nice,1
this,name,1
this,call,1
this,times,1
this,nothing,1
this,understand,1
this,url,1
could,have,5
could,made,1
could,through,1
could,our,1
could,was,7
could,give,1
could,you,9
could,everything,5
could,wondering,1
could,anyone,1
could,would,5
could,started,1
could,other,3
could,social,1
could,the,24
could,maybe,2
could,all,10
could,some,2
could,talk,4
could,that,11
could,like,2
could,even,2
could,group,2
could,something,2
could,people,3
could,don,3
could,tell,1
could,thing,1
could,most,1
could,ever,2
could,wish,9
could,they,4
could,today,1
could,what,4
could,been,2
could,didn,2
could,https,3
could,know,4
could,had,4
could,from,3
could,idea,2
could,everyone,2
could,how,3
could,much,4
could,time,2
could,before,2
could,someone,5
could,keep,2
could,were,1
could,off,1
could,and,19
could,again,2
could,needed,2
could,better,2
could,life,4
could,one,5
could,service,1
could,out,4
could,com,2
could,she,6
could,said,2
could,never,1
could,anything,1
could,think,2
could,truly,2
could,because,1
could,now,4
could,feel,4
could,alone,1
could,hate,1
could,way,1
could,just,6
could,end,1
could,let,4
could,their,1
could,else,2
could,get,5
could,cancer,1
could,with,2
could,least,1
could,than,2
could,good,1
could,enough,1
could,for,5
could,really,4
could,believe,1
could,best,3
could,into,2
could,but,4
could,look,1
could,about,1
could,yourself,1
could,are,3
could,doesn,1
could,want,1
could,which,2
could,doing,1
could,has,3
could,her,1
could,help,4
could,any,2
could,sorry,1
could,him,1
could,more,1
could,also,1
could,very,3
could,these,2
could,well,3
could,too,1
could,got,1
could,done,1
could,past,1
could,hope,1
could,dog,1
could,there,2
could,relationship,1
could,can,1
could,house,1
could,take,1
could,did,1
could,when,1
could,see,1
could,every,1
could,person,1
could,not,1
could,being,1
could,depressed,1
have,made,3
have,through,3
have,our,5
have,was,13
have,give,3
have,you,26
have,everything,2
have,for,29
have,these,8
have,own,5
have,and,78
have,wondering,2
have,people,12
have,would,11
have,them,8
have,about,15
have,having,4
have,talk,9
have,being,7
have,most,2
have,from,12
have,the,99
have,though,4
have,always,7
have,try,5
have,but,36
have,some,9
have,out,10
have,url,2
have,name,3
have,ones,3
have,will,14
have,longer,2
have,anyone,8
have,started,2
have,other,10
have,social,3
have,maybe,2
have,all,7
have,that,46
have,like,13
have,even,8
have,group,2
have,something,5
have,dog,4
have,without,3
have,going,5
have,too,6
have,much,6
have,into,6
have,leave,5
have,very,5
have,family,5
have,friends,8
have,able,5
have,take,3
have,think,4
have,may,4
have,who,9
have,are,10
have,her,7
have,when,10
have,been,15
have,can,17
have,tell,3
have,they,10
have,saying,1
have,things,8
have,live,4
have,together,4
have,person,6
have,want,8
have,house,1
have,long,4
have,time,6
have,now,9
have,won,3
have,alone,4
have,his,4
have,say,3
have,wife,2
have,home,4
have,back,4
have,their,4
have,today,1
have,what,6
have,didn,3
have,https,4
have,dont,6
have,because,9
have,then,2
have,fact,2
have,feeling,3
have,down,2
have,your,10
have,seems,2
have,same,4
have,cancer,5
have,not,19
have,get,14
have,feel,9
have,close,1
have,someone,6
have,more,1
have,than,7
have,good,2
have,just,15
have,enough,5
have,off,4
have,care,1
have,therapist,3
have,has,12
have,done,2
have,past,2
have,since,9
have,were,2
have,why,4
have,happy,4
have,new,5
have,year,2
have,living,3
have,know,15
have,job,1
have,month,4
have,later,1
have,around,4
have,don,13
have,did,3
have,one,10
have,day,3
have,him,3
have,talking,2
have,another,2
have,hours,5
have,week,4
have,only,5
have,how,5
have,really,10
have,which,9
have,ago,1
have,had,9
have,hell,1
have,building,2
have,along,3
have,those,1
have,real,2
have,work,5
have,need,12
have,etc,2
have,store,1
have,its,2
have,used,2
have,battery,6
have,car,7
have,use,5
have,pretty,3
have,see,3
have,couple,3
have,once,1
have,look,3
have,better,4
have,here,9
have,years,5
have,everyone,2
have,pain,2
have,anxiety,10
have,ever,4
have,come,3
have,old,4
have,every,4
have,love,4
have,heart,2
have,many,2
have,times,1
have,with,23
have,least,3
have,wonder,1
have,depression,6
have,life,11
have,hard,3
have,never,8
have,bad,1
have,makes,1
have,getting,2
have,guess,1
have,normal,2
have,anymore,2
have,end,3
have,myself,2
have,does,1
have,any,3
have,removed,2
have,sister,2
have,anything,2
have,else,1
have,sorry,1
have,felt,2
have,cry,2
have,should,3
have,she,10
have,post,3
have,before,2
have,relationship,2
have,make,2
have,lot,3
have,there,4
have,others,3
have,again,2
have,stopped,1
have,taking,2
have,appointment,4
have,weeks,1
have,still,2
have,believe,3
have,way,2
have,thought,3
have,also,4
have,thoughts,1
have,idea,2
have,ptsd,3
have,first,2
have,thing,2
have,months,3
have,study,4
have,place,1
have,two,1
have,service,4
have,world,1
have,days,1
have,school,2
have,after,7
have,account,5
have,over,1
have,obviously,1
have,ask,1
have,die,2
have,where,3
have,keep,1
have,hate,2
have,friend,1
have,got,1
have,actually,1
have,doing,2
have,leaders,5
have,affirmations,3
have,amp,2
have,com,2
have,mind,1
have,each,1
have,doesn,2
have,okay,1
have,help,3
have,while,1
have,understand,1
have,nice,1
have,book,1
have,yourself,1
have,until,1
have,depressed,1
have,well,2
have,trying,1
made,through,1
made,our,1
made,was,2
made,give,1
made,you,3
made,everything,1
made,for,3
made,your,1
made,https,1
made,say,2
made,the,6
made,people,1
made,that,3
made,would,1
made,like,1
made,leave,1
made,before,2
made,real,1
made,being,2
made,etc,1
made,they,1
made,will,2
made,more,1
made,take,1
made,name,2
made,off,2
made,had,1
made,really,2
made,with,3
made,few,1
made,close,1
made,still,1
made,but,4
made,think,1
made,year,4
made,and,5
made,bit,1
made,myself,1
made,can,1
made,place,1
made,happy,2
made,new,2
made,everyone,2
made,maybe,1
made,things,2
made,get,2
made,better,1
made,time,2
made,post,3
made,here,1
made,never,1
made,anyone,1
made,who,1
made,back,2
made,together,1
made,years,2
made,until,1
made,about,2
made,months,1
made,ago,1
made,when,2
made,stopped,1
made,obviously,1
made,after,1
made,therapist,1
made,went,1
made,taking,1
made,amp,1
made,one,2
made,all,1
made,said,1
made,today,2
made,another,1
made,each,1
made,always,1
made,been,1
made,call,1
made,him,1
made,book,1
made,just,1
made,day,1
made,did,1
made,there,1
made,much,1
made,world,1
through,our,2
through,was,3
through,give,1
through,you,4
through,everything,2
through,for,3
through,your,1
through,the,11
through,can,4
through,things,1
through,down,1
through,that,4
through,don,1
through,feel,1
through,many,1
through,what,1
through,been,3
through,from,1
through,lot,2
through,last,1
through,months,1
through,though,1
through,someone,1
through,who,1
through,just,2
through,saying,1
through,new,1
through,until,1
through,anxiety,1
through,and,6
through,how,1
through,all,6
through,these,1
through,meet,1
through,now,1
through,pain,2
through,own,1
through,over,1
through,each,3
through,time,2
through,her,1
through,fact,1
through,name,1
through,helped,1
through,out,2
through,bit,1
through,few,1
through,years,1
through,ago,1
through,his,1
through,with,1
through,about,1
through,around,1
through,account,1
through,since,1
through,but,1
through,much,1
through,best,2
through,are,3
through,anyone,1
through,other,2
through,nice,1
through,know,1
through,others,1
through,going,1
through,same,1
through,help,1
through,here,1
through,amp,1
through,not,2
through,more,1
through,also,1
through,has,2
through,appointment,1
through,every,1
through,month,1
through,hate,1
through,home,1
through,leave,1
through,because,1
through,had,1
through,actually,1
our,was,2
our,give,1
our,you,2
our,everything,1
our,for,2
our,your,1
our,the,15
our,wife,4
our,and,16
our,live,4
our,new,4
our,home,5
our,with,3
our,are,4
our,life,3
our,weeks,3
our,ago,3
our,family,3
our,out,2
our,them,4
our,now,1
our,back,2
our,their,1
our,down,2
our,week,1
our,that,4
our,only,1
our,hours,1
our,how,3
our,really,3
our,which,1
our,they,1
our,last,1
our,year,2
our,until,1
our,into,3
our,best,1
our,but,3
our,its,1
our,over,1
our,never,2
our,close,1
our,him,2
our,went,1
our,past,1
our,nice,1
our,having,1
our,before,1
our,can,4
our,next,1
our,https,2
our,talk,1
our,friends,1
our,about,3
our,tell,1
our,think,1
our,dont,1
our,feel,1
our,sometimes,1
our,has,2
our,amp,1
our,some,1
our,things,2
our,these,2
our,days,2
our,all,3
our,just,2
our,little,1
our,bit,1
our,conversation,1
our,what,1
our,anymore,1
our,sister,1
our,time,1
our,should,1
our,had,1
our,her,1
our,since,1
our,she,1
our,going,2
our,same,1
our,help,1
our,each,1
our,other,1
our,here,1
our,everyone,1
our,wondering,1
our,know,1
our,his,2
our,say,1
our,anything,1
our,let,1
our,work,1
our,world,1
our,people,1
our,not,1
our,don,1
was,give,3
was,you,11
was,everything,8
was,for,27
was,your,4
was,the,57
was,going,6
was,let,4
was,keep,5
was,these,1
was,own,6
was,and,48
was,wondering,2
was,people,4
was,would,3
was,them,4
was,about,8
was,having,1
was,talk,2
was,want,3
was,meet,2
was,new,3
was,anyone,1
was,started,3
was,other,2
was,social,1
was,maybe,4
was,with,14
was,ptsd,4
was,after,5
was,when,21
was,but,15
was,never,11
was,really,9
was,felt,4
was,like,8
was,had,13
was,can,3
was,things,7
was,down,2
was,last,1
was,months,2
was,though,2
was,someone,3
was,who,5
was,been,7
was,off,4
was,since,7
was,has,3
was,saying,2
was,from,9
was,need,1
was,know,8
was,what,5
was,family,2
was,house,4
was,some,2
was,very,2
was,long,5
was,time,12
was,now,4
was,days,1
was,later,1
was,didn,3
was,idea,4
was,everyone,2
was,how,1
was,much,5
was,before,4
was,normal,1
was,account,1
was,relationship,2
