source,target,weight
aap,dier,0.13
aap,mens,0.09
aarde,grond,0.1
aarde,rond,0.21
aarde,zand,0.09
afrika,warm,0.13
afrika,zwart,0.14
afval,vuil,0.16
alcohol,bier,0.36
alcohol,drank,0.09
alcohol,drinken,0.08
alleen,rust,0.06
amerika,groot,0.11
angst,bang,0.23
angst,dood,0.06
appel,boom,0.09
appel,fruit,0.18
appel,gezond,0.09
appel,groen,0.18
arm,been,0.14
arm,hand,0.09
arm,rijk,0.15
baas,werk,0.19
babbelen,praten,0.44
baby,kind,0.07
baby,klein,0.23
baby,lief,0.08
bad,water,0.31
bal,rond,0.27
bal,spel,0.08
bal,sport,0.06
bal,voetbal,0.27
bang,angst,0.18
bang,donker,0.11
bank,geld,0.49
bank,zitten,0.21
bed,slapen,0.65
bedrijf,werk,0.12
bedrijf,werken,0.12
beeld,foto,0.06
beeld,kunst,0.14
beeld,televisie,0.08
beeld,tv,0.17
been,arm,0.13
been,hond,0.06
been,voet,0.11
begin,einde,0.43
berg,hoog,0.15
berg,sneeuw,0.17
bergen,sneeuw,0.18
bergen,vakantie,0.06
betalen,geld,0.61
bier,alcohol,0.06
bier,drank,0.12
bier,drinken,0.09
bier,lekker,0.06
bij,insect,0.06
blauw,hemel,0.09
blauw,kleur,0.08
blauw,lucht,0.31
blauw,zee,0.18
blij,lachen,0.11
blij,vrolijk,0.14
bloed,pijn,0.06
bloed,rood,0.4
bloemen,geur,0.07
boek,lezen,0.59
boeken,leren,0.07
boeken,lezen,0.33
boer,boerderij,0.12
boerderij,boer,0.13
boerderij,dieren,0.13
boerderij,koe,0.15
boerderij,varken,0.09
bom,oorlog,0.14
bomen,bos,0.37
bomen,groen,0.25
boom,appel,0.06
boom,groen,0.11
boos,kwaad,0.53
boot,water,0.35
boot,zee,0.21
bord,eten,0.45
borstel,haar,0.3
borstel,kuisen,0.11
borstel,poetsen,0.06
bos,bomen,0.36
bos,boom,0.23
bos,groen,0.09
boterham,brood,0.06
boterham,eten,0.09
boterham,kaas,0.14
brief,post,0.11
brief,schrijven,0.12
bril,glas,0.08
bril,lezen,0.09
bril,ogen,0.07
bril,zien,0.11
broek,rok,0.08
brood,eten,0.17
brood,wit,0.08
bruin,chocolade,0.08
bruin,haar,0.08
bruin,kleur,0.12
bruin,zon,0.15
cadeau,verjaardag,0.15
chaos,orde,0.07
chaos,rommel,0.11
chaos,verkeer,0.07
chinees,eten,0.2
chinees,geel,0.18
chinees,restaurant,0.06
chocolade,bruin,0.12
chocolade,eten,0.07
chocolade,lekker,0.38
cijfers,rekenen,0.1
cijfers,wiskunde,0.2
computer,internet,0.13
computer,muis,0.07
computer,pc,0.09
dag,licht,0.09
dag,nacht,0.29
dans,muziek,0.18
dansen,feest,0.09
dansen,muziek,0.2
dansen,plezier,0.07
deel,stuk,0.33
deel,taart,0.07
denken,doen,0.12
denken,hersenen,0.09
deugniet,kind,0.16
deur,huis,0.08
deur,open,0.14
dief,nacht,0.06
dief,zwart,0.08
dier,hond,0.24
dier,kat,0.16
dieren,hond,0.15
dieren,kat,0.11
dieren,natuur,0.06
dik,vet,0.25
direct,nu,0.24
direct,snel,0.07
doel,voetbal,0.14
doen,maken,0.13
doen,werken,0.11
dokter,pijn,0.1
dokter,ziek,0.21
dom,slim,0.23
dom,stom,0.1
donker,licht,0.15
donker,nacht,0.27
donker,slapen,0.06
donker,zwart,0.17
dood,leven,0.1
dood,verdriet,0.06
dood,zwart,0.1
drank,alcohol,0.13
drank,bier,0.1
drank,water,0.06
drinken,bier,0.23
drinken,water,0.19
droevig,tranen,0.1
droevig,verdriet,0.14
drugs,slecht,0.09
druk,stress,0.24
druk,werk,0.09
duidelijk,klaar,0.39
duur,geld,0.19
duur,tijd,0.1
eerlijk,juist,0.06
ei,geel,0.09
ei,kip,0.55
einde,begin,0.19
einde,dood,0.11
einde,gedaan,0.22
einde,stop,0.11
eng,bang,0.13
eng,vies,0.06
erg,zwaar,0.06
eten,drinken,0.07
eten,lekker,0.24
examen,stress,0.34
familie,ouders,0.12
feest,dansen,0.06
feest,muziek,0.09
file,auto,0.27
file,wachten,0.07
fles,drank,0.23
fles,drinken,0.08
fles,glas,0.08
fles,water,0.1
fles,wijn,0.19
foto,beeld,0.07
foto,vakantie,0.06
fout,rood,0.09
frankrijk,land,0.08
