source,target,weight
music,band,11.0
paper,book,15.0
paper,news,35.0
paper,writing,20.0
mind,brain,118.0
board,wood,66.0
land,home,6.0
land,farm,21.0
glass,window,48.0
wrong,right,162.0
go,away,26.0
sleep,bed,65.0
sleep,night,27.0
church,stone,7.0
good,bad,116.0
good,nice,21.0
like,love,108.0
like,happy,9.0
like,beer,2.0
hold,baby,6.0
hold,hands,9.0
hold,me,22.0
quiet,loud,27.0
quiet,noise,10.0
hospital,sick,73.0
hospital,doctor,55.0
hospital,death,12.0
open,up,11.0
open,round,1.0
road,long,14.0
road,hot,1.0
television,bad,3.0
cut,paper,22.0
office,chair,13.0
office,work,112.0
money,rich,14.0
laugh,funny,51.0
coffee,rich,1.0
same,sex,8.0
travel,world,12.0
travel,ocean,2.0
child,mother,18.0
child,school,7.0
state,country,37.0
story,book,80.0
lie,face,2.0
history,book,21.0
history,old,13.0
paint,wall,44.0
paint,dry,8.0
paint,cheese,1.0
help,me,57.0
help,teeth,2.0
first,race,3.0
cheap,yellow,1.0
doctor,man,3.0
heat,hot,82.0
heat,summer,29.0
head,think,7.0
news,internet,8.0
news,tv,12.0
news,book,1.0
hard,easy,42.0
hard,soft,74.0
family,fun,2.0
family,friends,39.0
number,letter,23.0
number,one,83.0
day,night,157.0
bar,beer,21.0
bar,drink,64.0
fire,leave,3.0
fire,box,2.0
shop,food,11.0
shop,hate,2.0
party,politics,24.0
party,food,9.0
danger,fear,42.0
king,queen,176.0
order,police,3.0
free,happy,9.0
woman,man,136.0
woman,mother,23.0
woman,girl,51.0
girl,female,45.0
girl,pretty,15.0
girl,small,3.0
walk,run,95.0
fight,cry,2.0
sun,bright,48.0
sun,hot,38.0
door,close,26.0
eat,food,131.0
eat,dog,3.0
eat,out,11.0
dress,up,50.0
letter,word,21.0
life,love,22.0
hair,cut,22.0
cold,sick,20.0
nature,green,43.0
mean,nice,14.0
end,over,29.0
nature,tree,31.0
nature,ocean,2.0
nature,desert,1.0
college,school,77.0
college,green,4.0
many,people,29.0
more,over,9.0
more,food,19.0
high,drugs,12.0
high,mountain,21.0
work,play,72.0
strong,weak,68.0
strong,heavy,9.0
country,land,28.0
fall,hit,6.0
city,noise,7.0
give,place,3.0
give,hold,1.0
field,study,21.0
start,end,31.0
start,stop,16.0
short,tall,89.0
short,small,57.0
short,little,31.0
move,box,2.0
move,movement,3.0
bed,room,14.0
bed,sleep,195.0
leave,sick,5.0
leave,go,96.0
fly,plane,63.0
fly,high,11.0
heavy,weight,82.0
heavy,heart,7.0
clear,water,44.0
clear,glass,38.0
old,man,22.0
hit,hard,18.0
hit,blood,2.0
hit,head,1.0
true,good,10.0
true,right,21.0
friend,people,3.0
friend,calm,2.0
friend,happy,8.0
hate,help,1.0
dead,gone,48.0
night,stars,27.0
night,moon,25.0
no,yes,130.0
no,go,4.0
exercise,run,24.0
law,police,46.0
law,court,16.0
big,fat,15.0
play,fun,63.0
jesus,church,17.0
jesus,god,61.0
idea,thought,140.0
idea,word,2.0
idea,brain,7.0
quick,fast,201.0
quick,dog,2.0
quick,run,10.0
train,rain,6.0
house,nice,3.0
young,old,137.0
young,fish,1.0
fish,food,26.0
cake,sugar,14.0
health,life,8.0
nice,nice,3.0
sick,dog,3.0
red,color,70.0
red,blue,71.0
game,over,6.0
game,time,1.0
test,stress,5.0
test,paper,10.0
wind,cold,32.0
wind,rain,5.0
heart,blood,23.0
heart,life,9.0
blood,red,115.0
blood,skin,1.0
talk,mouth,10.0
talk,speak,90.0
one,two,115.0
one,door,2.0
table,top,29.0
jump,high,80.0
new,shoes,9.0
new,shiny,48.0
new,house,5.0
street,road,116.0
time,out,19.0
warm,heart,9.0
warm,feet,4.0
hand,give,22.0
little,short,10.0
little,cute,5.0
little,tea,1.0
garden,green,37.0
smoke,water,11.0
food,eat,100.0
food,happy,3.0
food,wine,4.0
kind,nice,89.0
job,boring,5.0
think,idea,29.0
think,brain,56.0
pretty,good,14.0
pretty,hair,4.0
pretty,face,13.0
future,bright,4.0
down,up,175.0
poor,rich,73.0
poor,tasty,2.0
change,clothes,28.0
problem,question,23.0
small,tiny,132.0
small,little,84.0
fast,speed,26.0
important,day,2.0
god,big,3.0
god,gold,2.0
god,dog,15.0
round,go,2.0
bad,good,123.0
bad,man,8.0
bad,bed,2.0
gas,air,18.0
gas,smell,15.0
round,ball,74.0
round,orange,4.0
red,blood,34.0
heat,red,8.0
heat,sun,30.0
space,stars,23.0
america,beautiful,23.0
hot,summer,26.0
hot,weather,12.0
hot,sun,11.0
power,electricity,51.0
film,movie,196.0
film,fun,1.0
cut,knife,43.0
hard,wood,4.0
beauty,full,2.0
big,one,4.0
history,war,16.0
like,study,1.0
mind,full,3.0
idea,bright,20.0
idea,good,24.0
idea,person,1.0
black,white,168.0
black,dark,67.0
black,color,26.0
sex,people,5.0
short,person,8.0
speed,car,60.0
life,death,89.0
road,travel,26.0
road,down,1.0
language,thought,3.0
language,speak,38.0
bank,money,166.0
bad,woman,3.0
bad,light,2.0
bad,food,1.0
away,run,7.0
farm,horse,14.0
farm,green,6.0
stick,man,2.0
stick,thin,7.0
state,new,3.0
state,america,10.0
head,hair,38.0
head,brain,26.0
shop,store,113.0
shop,dress,1.0
game,boy,6.0
game,board,28.0
game,no,1.0
question,time,6.0
question,word,2.0
question,big,1.0
money,bear,3.0
money,tree,2.0
money,big,1.0
box,brown,4.0
church,god,32.0
law,judge,16.0
