source,target,weight
age,old,0.22
airplane,fly,0.16
airplane,plane,0.07
alcohol,beer,0.09
alcohol,drink,0.15
alcohol,drunk,0.12
alcohol,wine,0.06
alien,space,0.121212121212121
all,together,0.07
alone,forever,0.0612244897959184
alone,sad,0.0918367346938776
amazing,great,0.0606060606060606
america,home,0.0606060606060606
anger,mad,0.224489795918367
anger,red,0.0816326530612245
angry,mad,0.424242424242424
animal,cat,0.06
animal,dog,0.17
animal,vegetable,0.06
animals,dog,0.09
apple,fruit,0.18
apple,green,0.06
apple,orange,0.14
apple,pie,0.06
apple,tree,0.08
area,place,0.0606060606060606
area,space,0.181818181818182
area,square,0.0606060606060606
arm,hand,0.0808080808080808
army,military,0.0707070707070707
army,war,0.0909090909090909
art,paint,0.07
art,painting,0.16
art,picture,0.06
away,go,0.08
baby,child,0.0606060606060606
baby,cry,0.0606060606060606
bad,boy,0.06
bad,evil,0.08
bad,good,0.36
bag,shopping,0.06
ball,game,0.1
ball,play,0.07
ball,round,0.15
band,group,0.0808080808080808
band,music,0.313131313131313
band,rock,0.0707070707070707
bang,big,0.0909090909090909
bang,gun,0.212121212121212
bang,loud,0.0909090909090909
bang,noise,0.0808080808080808
bank,money,0.4
baseball,america,0.06
baseball,game,0.08
baseball,sport,0.09
beach,sun,0.1
beautiful,girl,0.0909090909090909
beautiful,pretty,0.242424242424242
bed,sleep,0.52
bee,insect,0.09
beer,drink,0.14
beer,wine,0.08
bible,book,0.222222222222222
bible,god,0.101010101010101
bible,religion,0.0808080808080808
big,large,0.313131313131313
big,small,0.191919191919192
bird,fly,0.27
birthday,cake,0.17
birthday,happy,0.22
birthday,party,0.19
black,dark,0.111111111111111
black,white,0.535353535353535
blood,red,0.242424242424242
blue,color,0.09
blue,green,0.09
blue,red,0.07
blue,sad,0.1
board,game,0.16
board,room,0.1
board,wood,0.09
boat,ship,0.27
boat,water,0.18
body,mind,0.1
bone,white,0.0606060606060606
books,study,0.06
boss,man,0.0833333333333333
boss,work,0.0729166666666667
box,square,0.13
boy,child,0.06
boy,girl,0.58
brain,head,0.1
brain,mind,0.15
brain,smart,0.1
brain,think,0.07
brave,heart,0.102040816326531
brave,indian,0.0612244897959184
brave,strong,0.0918367346938776
bread,food,0.14
breakfast,eggs,0.0816326530612245
breakfast,food,0.112244897959184
bright,light,0.33
bright,smart,0.07
bright,star,0.08
bright,sun,0.15
broken,fix,0.0707070707070707
broken,glass,0.111111111111111
bug,insect,0.191919191919192
building,house,0.09
building,tall,0.08
business,money,0.09
business,work,0.11
buy,money,0.08
cake,birthday,0.0909090909090909
cake,chocolate,0.0606060606060606
cake,eat,0.0808080808080808
calm,quiet,0.0909090909090909
camera,film,0.0606060606060606
camera,picture,0.171717171717172
cancer,death,0.191919191919192
cancer,disease,0.121212121212121
cancer,sick,0.0606060606060606
candy,sugar,0.0606060606060606
candy,sweet,0.353535353535354
card,birthday,0.09
card,game,0.13
cards,game,0.111111111111111
cards,house,0.111111111111111
cat,dog,0.42
change,money,0.06
cheese,mouse,0.06
chemistry,science,0.25
chicken,egg,0.0808080808080808
chicken,soup,0.0808080808080808
child,baby,0.14
chips,fish,0.19
chips,potato,0.17
chocolate,cake,0.07
chocolate,candy,0.08
chocolate,dark,0.06
chocolate,sweet,0.12
christmas,tree,0.13
church,god,0.0707070707070707
church,religion,0.121212121212121
cigarette,cancer,0.06
cigarette,smoke,0.36
circle,round,0.35
circle,square,0.19
city,state,0.09
clean,dirty,0.161616161616162
clean,house,0.0707070707070707
clear,glass,0.06
clear,water,0.09
close,door,0.1
close,near,0.24
close,open,0.19
cloth,clothes,0.144329896907216
clothes,shirt,0.142857142857143
coffee,drink,0.11
coffee,tea,0.26
cold,hot,0.17
cold,ice,0.06
cold,weather,0.07
college,school,0.21
college,university,0.28
color,blue,0.171717171717172
color,red,0.303030303030303
complete,full,0.07
computer,internet,0.0612244897959184
cook,food,0.19
cooking,food,0.26
cool,cold,0.12
copy,cat,0.06
copy,machine,0.06
copy,paper,0.06
corn,yellow,0.0909090909090909
court,law,0.13
cow,animal,0.06
cow,milk,0.24
crazy,mad,0.0808080808080808
crime,criminal,0.06
crime,jail,0.06
criminal,bad,0.0816326530612245
criminal,jail,0.0612244897959184
criminal,prison,0.0612244897959184
criminal,thief,0.0612244897959184
cry,baby,0.0707070707070707
cry,sad,0.242424242424242
cup,coffee,0.08
cup,drink,0.06
cup,tea,0.24
cut,hair,0.06
cut,knife,0.09
cute,girl,0.0606060606060606
cute,pretty,0.131313131313131
cute,sweet,0.111111111111111
dance,party,0.06
danger,fear,0.12
dark,black,0.15
dark,light,0.22
dark,night,0.3
day,light,0.12
day,night,0.48
death,end,0.122448979591837
death,life,0.163265306122449
deer,animal,0.08
desert,hot,0.07
different,odd,0.14
different,same,0.21
dinner,eat,0.07
dinner,food,0.22
dirt,earth,0.07
dirty,clean,0.111111111111111
disease,death,0.0606060606060606
disease,illness,0.131313131313131
disease,sick,0.141414141414141
doctor,lawyer,0.09
doctor,medicine,0.06
dog,cat,0.454545454545455
door,open,0.19
down,up,0.53
dress,clothes,0.08
dress,up,0.13
drink,water,0.25
drug,medicine,0.111111111111111
drug,store,0.0606060606060606
drugs,alcohol,0.09
drugs,medicine,0.09
drunk,alcohol,0.181818181818182
drunk,beer,0.0909090909090909
drunk,drink,0.0707070707070707
dumb,stupid,0.45
ear,head,0.0612244897959184
ear,nose,0.0714285714285714
earth,blue,0.06
earth,home,0.06
earth,round,0.14
earth,world,0.08
easy,hard,0.31
eat,drink,0.13265306122449
eat,food,0.357142857142857
egg,chicken,0.12
eggs,chicken,0.191919191919192
electricity,light,0.101010101010101
electricity,power,0.262626262626263
empty,full,0.131313131313131
end,stop,0.07
evil,bad,0.23
evil,good,0.1
exercise,healthy,0.06
eye,ball,0.2
eye,glasses,0.07
eye,see,0.15
eyes,blue,0.15
eyes,nose,0.07
eyes,see,0.11
face,eyes,0.07
face,head,0.07
face,nose,0.08
fake,false,0.154639175257732
fall,down,0.204081632653061
false,lie,0.102040816326531
false,true,0.377551020408163
false,wrong,0.0918367346938776
family,love,0.12
farm,animal,0.13
farm,animals,0.08
farm,house,0.07
fast,quick,0.32
