source,target,weight
paper,book,3.0
mind,brain,22.0
all,together,7.0
wrong,right,50.0
go,away,5.0
sleep,bed,15.0
good,bad,36.0
like,love,24.0
hold,baby,1.0
open,up,3.0
road,long,1.0
television,bad,1.0
get,want,1.0
travel,world,3.0
child,mother,4.0
state,country,9.0
story,book,17.0
paint,wall,7.0
help,me,16.0
doctor,man,1.0
take,steal,13.0
news,internet,1.0
hard,easy,9.0
number,letter,6.0
day,night,48.0
bar,beer,4.0
fire,leave,1.0
party,politics,4.0
danger,fear,12.0
king,queen,53.0
free,happy,1.0
woman,man,38.0
girl,female,8.0
walk,run,24.0
sun,bright,13.0
door,close,3.0
eat,food,35.0
letter,word,6.0
life,love,4.0
end,over,4.0
college,school,21.0
more,over,2.0
work,play,22.0
fall,hit,2.0
give,place,1.0
start,end,5.0
short,tall,24.0
bed,room,3.0
old,man,5.0
copy,paper,6.0
hit,hard,4.0
true,good,3.0
friend,people,1.0
dead,gone,11.0
no,yes,39.0
law,police,5.0
big,fat,1.0
jesus,church,2.0
idea,thought,39.0
quick,fast,58.0
train,rain,2.0
young,old,43.0
fish,food,5.0
health,life,1.0
nice,spice,1.0
sick,dog,1.0
red,color,20.0
arm,strong,2.0
game,over,2.0
blood,red,24.0
talk,mouth,2.0
one,two,32.0
table,top,7.0
jump,high,22.0
new,shoes,3.0
warm,heart,1.0
little,short,1.0
smoke,water,3.0
food,eat,26.0
kind,nice,21.0
think,idea,7.0
pretty,good,3.0
down,up,53.0
poor,rich,20.0
small,tiny,29.0
god,big,1.0
bad,good,36.0
gas,smell,4.0
round,ball,17.0
red,blood,6.0
film,movie,51.0
copy,same,1.0
big,one,1.0
father,mother,39.0
mind,full,1.0
idea,bright,4.0
black,white,53.0
sex,people,1.0
short,small,11.0
language,thought,1.0
bank,money,40.0
bad,woman,1.0
away,run,1.0
point,me,1.0
state,new,1.0
game,boy,2.0
question,time,2.0
money,bear,1.0
law,court,1.0
glass,eye,5.0
garden,flowers,22.0
boat,ship,27.0
new,old,29.0
break,window,1.0
run,away,10.0
clean,dirty,16.0
want,more,3.0
true,false,40.0
up,down,56.0
wind,water,2.0
fall,down,20.0
business,work,11.0
hate,black,1.0
house,home,58.0
slow,down,7.0
bar,drink,14.0
safe,dark,1.0
laugh,cry,12.0
little,big,15.0
hair,head,7.0
large,big,50.0
same,different,20.0
you,me,61.0
white,black,37.0
milk,white,14.0
girl,boy,47.0
play,fun,13.0
pretty,pink,2.0
stop,go,35.0
cold,out,2.0
change,good,3.0
back,hand,1.0
dog,cat,45.0
strong,weak,17.0
lie,down,11.0
wood,brown,1.0
wood,hard,6.0
cake,death,1.0
long,short,36.0
hate,love,34.0
stupid,smart,7.0
cake,eat,8.0
name,loud,1.0
law,books,1.0
ring,wedding,8.0
fast,slow,20.0
head,bed,1.0
street,road,27.0
arm,hand,8.0
glass,house,3.0
court,night,1.0
board,room,10.0
over,easy,1.0
warm,hot,16.0
people,group,3.0
life,kind,1.0
red,win,1.0
coffee,tea,26.0
girl,woman,11.0
big,little,16.0
eat,big,1.0
woman,girl,7.0
many,lots,23.0
bed,sleep,52.0
area,space,18.0
wall,paper,4.0
day,one,2.0
work,job,9.0
boy,girl,58.0
top,up,3.0
happy,face,3.0
high,drugs,2.0
study,school,5.0
power,strength,8.0
cold,sick,4.0
kill,murder,33.0
white,trash,1.0
need,want,46.0
table,chair,25.0
ball,play,7.0
school,high,3.0
cat,dog,42.0
give,take,25.0
small,penis,2.0
night,dark,20.0
slow,fast,30.0
baby,boy,5.0
see,look,19.0
green,color,10.0
fly,time,1.0
milk,cow,27.0
together,forever,7.0
heart,love,25.0
strong,out,1.0
sun,moon,23.0
air,plane,4.0
right,wrong,35.0
hair,play,2.0
safe,sound,8.0
little,small,38.0
christmas,tree,13.0
quiet,tired,1.0
game,board,4.0
smoke,dirty,2.0
home,house,34.0
tea,ice,1.0
take,give,33.0
art,paint,7.0
look,up,3.0
police,car,6.0
state,america,2.0
road,car,4.0
body,heart,1.0
paper,white,5.0
place,area,1.0
difficult,hard,74.0
play,kids,3.0
paper,cut,5.0
clear,window,2.0
health,good,12.0
bag,money,2.0
coffee,hot,1.0
boat,rock,1.0
tea,bag,7.0
picture,art,3.0
room,space,20.0
away,home,4.0
safe,happy,1.0
maybe,no,1.0
school,day,1.0
game,play,31.0
top,down,2.0
law,lawyer,9.0
clean,empty,1.0
difficult,easy,8.0
speak,talk,44.0
sex,penis,1.0
first,top,2.0
fast,quick,32.0
music,dance,4.0
party,animal,7.0
talk,loud,2.0
heavy,light,12.0
mean,person,2.0
night,day,23.0
want,need,41.0
science,study,9.0
child,baby,14.0
doctor,health,4.0
blue,sky,26.0
court,judge,11.0
garden,beer,1.0
food,court,1.0
machine,gun,8.0
new,shiny,11.0
close,open,19.0
board,ship,1.0
area,square,6.0
man,boy,2.0
laugh,smile,13.0
danger,run,1.0
wife,woman,7.0
air,magic,1.0
war,death,7.0
honest,true,18.0
hit,ball,6.0
drink,water,25.0
free,open,3.0
number,one,20.0
small,big,7.0
start,stop,2.0
hot,cold,29.0
jump,run,1.0
dress,girl,5.0
walk,talk,10.0
green,blue,7.0
film,television,1.0
black,red,1.0
water,drink,9.0
television,news,3.0
big,small,19.0
yes,no,52.0
look,book,3.0
window,light,2.0
church,god,7.0
point,pen,2.0
cheap,bird,1.0
strong,box,1.0
little,man,1.0
like,family,1.0
fun,sport,1.0
state,police,1.0
field,area,10.0
stop,light,2.0
together,group,5.0
look,see,56.0
eat,drink,13.0
blue,red,7.0
hard,difficult,29.0
food,dinner,2.0
laugh,happy,6.0
cut,out,2.0
glass,full,4.0
window,look,1.0
country,australia,4.0
point,sharp,7.0
time,table,1.0
move,dance,3.0
boat,water,18.0
strong,man,8.0
friend,girl,3.0
letter,box,6.0
big,large,31.0
box,square,13.0
paper,news,8.0
clear,mind,2.0
state,mind,3.0
speed,fast,34.0
school,kids,1.0
power,politics,2.0
give,get,4.0
change,clothes,4.0
mean,life,1.0
same,old,3.0
easy,hard,31.0
white,color,4.0
chair,table,14.0
stop,quick,1.0
see,light,1.0
baby,cute,3.0
card,game,13.0
man,woman,57.0
pretty,girl,12.0
world,government,1.0
god,jesus,4.0
woman,female,22.0
full,food,5.0
think,brain,9.0
bear,wood,1.0
small,little,17.0
run,walk,12.0
young,new,1.0
fire,hot,15.0
study,books,8.0
wife,love,4.0
kill,dead,8.0
heavy,big,3.0
free,money,1.0
happy,smile,10.0
family,friends,12.0
television,tv,14.0
sun,star,5.0
person,one,1.0
space,race,2.0
good,time,1.0
bar,line,1.0
show,play,3.0
glass,clear,9.0
street,home,2.0
god,fake,1.0
love,heart,17.0
church,religion,12.0
blue,color,9.0
pretty,flower,1.0
exercise,science,1.0
board,game,16.0
dinner,food,22.0
important,more,1.0
easy,fast,2.0
slow,boring,1.0
smoke,fire,22.0
tree,green,9.0
