source,target,weight
abrigo,ropa,9.0
abrigo,amigo,1.0
abrigo,frío,77.0
abrigo,invierno,45.0
abrigo,calor,44.0
abrigo,agua,1.0
abrigo,lluvia,5.0
abrigo,caliente,7.0
abrigo,casa,4.0
abrigo,cuidado,3.0
abrigo,gente,1.0
abrigo,enfermedad,2.0
abrigo,necesidad,3.0
abrigo,cariño,2.0
abrigo,protección,3.0
abrigo,mamá,3.0
abrigo,hogar,1.0
abrigo,negro,1.0
abrigo,viento,2.0
abrigo,campo,1.0
abrigo,piel,3.0
abuela,río,1.0
abuela,madre,23.0
abuela,conocimiento,2.0
abuela,amor,28.0
abuela,cariño,16.0
abuela,respeto,1.0
abuela,comida,14.0
abuela,cuidado,5.0
abuela,familia,6.0
abuela,protección,2.0
abuela,niños,1.0
abuela,mamá,5.0
abuela,mujer,3.0
abuela,cocina,3.0
abuela,mate,4.0
abuela,casa,4.0
abuela,libro,2.0
abuela,abuela,3.0
abuela,saber,2.0
abuela,linda,2.0
abuela,todo,3.0
abuela,felicidad,2.0
abuela,pueblo,3.0
abuela,verano,2.0
abuela,infancia,2.0
abuela,odio,2.0
abuela,historia,1.0
abuela,flores,1.0
abuela,tiempo,2.0
abuela,árbol,3.0
abuela,paz,2.0
abuela,muerte,3.0
abuela,pelo,1.0
aburrido,yo,6.0
aburrido,tonto,7.0
aburrido,lento,7.0
aburrido,cansancio,7.0
aburrido,televisión,2.0
aburrido,largo,4.0
aburrido,feo,3.0
aburrido,nada,6.0
aburrido,pesado,1.0
aburrido,triste,13.0
aburrido,sueño,12.0
aburrido,quieto,2.0
aburrido,cansado,14.0
aburrido,fiesta,1.0
aburrido,soledad,9.0
aburrido,tiempo,7.0
aburrido,cama,1.0
aburrido,divertido,6.0
aburrido,juego,3.0
aburrido,niños,1.0
aburrido,trabajo,2.0
aburrido,cine,3.0
aburrido,gris,2.0
aburrido,oportunidad,3.0
aburrido,noche,3.0
aburrido,solo,6.0
aburrido,tristeza,2.0
aburrido,dormir,3.0
aburrido,reunión,1.0
aburrido,vacío,1.0
aburrido,libre,3.0
aburrido,leer,3.0
aburrido,mamá,1.0
accidente,auto,52.0
accidente,dolor,16.0
accidente,angustia,1.0
accidente,calle,4.0
accidente,alcohol,3.0
accidente,miedo,3.0
accidente,rojo,1.0
accidente,muerte,17.0
accidente,autos,2.0
accidente,error,17.0
accidente,falta,1.0
accidente,avión,1.0
accidente,gente,6.0
accidente,caída,2.0
accidente,seguro,3.0
accidente,triste,1.0
accidente,problema,5.0
accidente,cuidado,3.0
accidente,sangre,4.0
accidente,ruido,1.0
accidente,arma,2.0
accidente,café,2.0
accidente,naturaleza,2.0
accidente,golpe,3.0
accidente,sorpresa,1.0
accidente,peligro,1.0
accidente,fuego,2.0
accidente,caca,1.0
accidente,herida,1.0
accidente,hospital,2.0
accidente,tristeza,1.0
acción,movimiento,42.0
acción,cambiar,1.0
acción,hacer,40.0
acción,película,16.0
acción,muerte,1.0
acción,ejercicio,4.0
acción,cine,7.0
acción,diario,3.0
acción,hecho,6.0
acción,falta,2.0
acción,energía,5.0
acción,libre,1.0
acción,correr,16.0
acción,golpe,1.0
acción,crear,2.0
acción,valor,2.0
acción,rápido,5.0
acción,ya,2.0
acción,sangre,2.0
acción,canción,2.0
acción,sexo,1.0
acción,cambio,1.0
acción,fin,3.0
acuerdo,paz,10.0
acuerdo,negocio,3.0
acuerdo,manos,10.0
acuerdo,palabra,3.0
acuerdo,compromiso,11.0
acuerdo,no,1.0
acuerdo,dos,3.0
acuerdo,bueno,2.0
acuerdo,palabras,2.0
acuerdo,trabajo,2.0
acuerdo,común,2.0
acuerdo,construcción,2.0
acuerdo,relación,3.0
acuerdo,política,1.0
acuerdo,sociedad,1.0
agarrar,mano,31.0
agarrar,tomar,113.0
agarrar,acción,1.0
agarrar,cuerpo,3.0
agarrar,tener,8.0
agarrar,mucho,3.0
agarrar,fuerza,1.0
agarrar,fuerte,2.0
agarrar,viento,2.0
agarrar,nuevo,1.0
agarrar,cuidar,1.0
agarrar,rico,2.0
agarrar,grande,1.0
agarrar,sacar,1.0
agarrar,manos,4.0
agarrar,ver,1.0
agarrar,cosas,3.0
agarrar,pelota,2.0
agradable,bueno,37.0
agradable,dulce,8.0
agradable,lindo,72.0
agradable,amable,12.0
agradable,persona,7.0
agradable,día,2.0
agradable,vida,1.0
agradable,amigos,3.0
agradable,verano,3.0
agradable,viento,6.0
agradable,suave,6.0
agradable,feliz,9.0
agradable,desagradable,5.0
agradable,sol,2.0
agradable,rico,2.0
agradable,sabor,3.0
agradable,amigo,1.0
agradable,flores,1.0
agradable,linda,3.0
agradable,paz,1.0
agradable,sentimiento,2.0
agua,líquido,20.0
agua,azul,15.0
agua,vida,46.0
agua,naturaleza,4.0
agua,necesidad,1.0
agua,mar,22.0
agua,tomar,5.0
agua,limpieza,3.0
agua,lluvia,10.0
agua,paz,2.0
agua,río,16.0
agua,ser,1.0
agua,salud,3.0
agua,luz,3.0
agua,dulce,2.0
agua,cara,1.0
agua,playa,2.0
agua,hielo,2.0
agua,mate,2.0
agua,baño,1.0
ahora,ya,132.0
ahora,rápido,6.0
ahora,reloj,2.0
ahora,todo,1.0
ahora,agua,1.0
ahora,siempre,3.0
ahora,hecho,2.0
ahora,comer,2.0
ahora,ir,1.0
ahora,hacer,3.0
ahora,tiempo,7.0
ahora,niñez,1.0
ahora,no,3.0
ahora,sí,2.0
ahora,lugar,1.0
ahora,vivir,1.0
ahora,futuro,1.0
ahora,cielo,3.0
ahora,vida,2.0
ahora,día,2.0
ahora,yo,1.0
ahora,palabra,1.0
aire,espacio,6.0
aire,libre,27.0
aire,viento,20.0
aire,salud,1.0
aire,vida,25.0
aire,rico,3.0
aire,árbol,1.0
aire,volar,3.0
aire,río,3.0
aire,libertad,12.0
aire,cielo,4.0
aire,química,3.0
aire,necesario,3.0
aire,agua,11.0
aire,limpio,13.0
aire,campo,1.0
aire,paz,1.0
aire,dar,3.0
aire,verano,2.0
aire,tierra,3.0
aire,luz,2.0
aire,pájaro,1.0
alcohol,droga,20.0
alcohol,malo,1.0
alcohol,hospital,4.0
alcohol,fuego,3.0
alcohol,vino,20.0
alcohol,enfermedad,1.0
alcohol,bebida,43.0
alcohol,fiesta,11.0
alcohol,reunión,1.0
alcohol,noche,4.0
alcohol,locura,1.0
alcohol,vidrio,2.0
alcohol,limpieza,3.0
alcohol,protección,1.0
alcohol,dolor,1.0
alcohol,salud,5.0
alcohol,accidente,2.0
alcohol,cuidado,3.0
alcohol,diversión,1.0
alcohol,herida,9.0
alcohol,líquido,4.0
alcohol,médico,2.0
alcohol,química,1.0
alcohol,sexo,2.0
alcohol,rico,4.0
alcohol,ver,3.0
alcohol,loco,1.0
alcohol,horrible,3.0
alegre,feliz,120.0
alegre,risa,26.0
alegre,rojo,1.0
alegre,yo,3.0
alegre,alegría,6.0
alegre,triste,13.0
alegre,flor,3.0
alegre,fiesta,6.0
alegre,cumpleaños,1.0
alegre,felicidad,3.0
alegre,luz,1.0
alegre,niño,2.0
alegre,diversión,3.0
alegre,mamá,1.0
alegre,verde,3.0
alegre,canción,2.0
alegre,hijos,1.0
alegre,duro,3.0
alegre,persona,3.0
alegre,música,1.0
alegre,amor,3.0
alegre,divertido,7.0
alegre,sol,1.0
alegre,colores,1.0
alegre,boca,3.0
alegre,paz,1.0
alegre,infancia,3.0
alegre,juego,2.0
alegre,amigos,1.0
alegre,fútbol,2.0
alegría,sentimiento,6.0
alegría,felicidad,112.0
alegría,estado,1.0
alegría,feliz,18.0
alegría,amigos,4.0
alegría,paz,3.0
alegría,pelo,1.0
alegría,tristeza,14.0
alegría,emoción,22.0
alegría,libertad,6.0
alegría,colores,5.0
alegría,música,1.0
alegría,cumpleaños,2.0
alegría,niños,4.0
alegría,flores,3.0
alegría,sorpresa,2.0
alegría,amor,12.0
alegría,alegre,2.0
alegría,luz,1.0
alegría,familia,2.0
alegría,playa,3.0
alegría,animales,1.0
alegría,risa,9.0
alegría,diversión,2.0
alegría,placer,3.0
