source,target,weight
abogado,ley,0.202898550724638
abogado,leyes,0.101449275362319
abrigo,calor,0.128571428571429
abrigo,frío,0.3
accidente,auto,0.217391304347826
aceptar,querer,0.104477611940299
aceptar,sí,0.134328358208955
afuera,frío,0.0714285714285714
agarrar,mano,0.0714285714285714
agarrar,tomar,0.471428571428571
agradable,bueno,0.142857142857143
agradable,lindo,0.285714285714286
agua,líquido,0.072463768115942
agua,vida,0.130434782608696
aguja,coser,0.188405797101449
aguja,hilo,0.260869565217391
agujero,oscuro,0.285714285714286
agujero,pozo,0.1
aire,libre,0.1
aire,vida,0.0714285714285714
alcohol,bebida,0.147058823529412
alcohol,droga,0.0882352941176471
alegre,feliz,0.5
alegre,risa,0.0714285714285714
alegría,felicidad,0.442857142857143
alegría,feliz,0.0714285714285714
alimento,comida,0.550724637681159
amable,bueno,0.214285714285714
amarillo,color,0.231884057971014
amarillo,sol,0.304347826086957
amor,cariño,0.072463768115942
amor,corazón,0.072463768115942
amor,pareja,0.0869565217391304
animal,perro,0.257142857142857
animales,gato,0.159420289855072
antes,pasado,0.144927536231884
antiguo,viejo,0.6
argentina,país,0.492753623188406
arma,fuego,0.0714285714285714
arma,muerte,0.142857142857143
arreglar,romper,0.0714285714285714
arte,pintura,0.257142857142857
asado,amigos,0.0714285714285714
asado,carne,0.5
asado,comida,0.114285714285714
asco,feo,0.1
asqueroso,feo,0.142857142857143
atar,unir,0.130434782608696
auto,transporte,0.0714285714285714
ave,pájaro,0.485294117647059
avión,viaje,0.130434782608696
avión,volar,0.188405797101449
ayudar,dar,0.0882352941176471
años,tiempo,0.246376811594203
años,vejez,0.072463768115942
años,vida,0.0869565217391304
baile,diversión,0.0746268656716418
baile,fiesta,0.0746268656716418
baile,música,0.104477611940299
banco,dinero,0.171428571428571
banco,plata,0.157142857142857
barco,agua,0.2
barco,mar,0.171428571428571
barco,viaje,0.0714285714285714
barrio,calle,0.114285714285714
barrio,casa,0.1
barrio,ciudad,0.0714285714285714
baño,limpieza,0.0714285714285714
bebida,agua,0.115942028985507
bebida,alcohol,0.130434782608696
bebida,líquido,0.0869565217391304
bebé,niño,0.257142857142857
bicho,animal,0.142857142857143
bicho,feo,0.0857142857142857
bicho,insecto,0.442857142857143
blanco,color,0.202898550724638
blanco,negro,0.304347826086957
boca,cara,0.0714285714285714
boca,comer,0.0606060606060606
boca,dientes,0.114285714285714
boca,lengua,0.0857142857142857
brillante,inteligente,0.0869565217391304
brillante,luz,0.130434782608696
bueno,malo,0.426470588235294
caballo,animal,0.142857142857143
caballo,campo,0.0714285714285714
caballo,libertad,0.1
cabello,cabeza,0.0714285714285714
cabello,largo,0.114285714285714
cabello,pelo,0.471428571428571
cabeza,cerebro,0.115942028985507
cabeza,mente,0.0869565217391304
cabeza,pelo,0.144927536231884
cabeza,pensar,0.072463768115942
caca,asco,0.102941176470588
caca,olor,0.102941176470588
caliente,calor,0.072463768115942
caliente,frío,0.130434782608696
calor,frío,0.188405797101449
calor,sol,0.144927536231884
calor,verano,0.202898550724638
cama,descanso,0.157142857142857
cama,dormir,0.371428571428571
cama,sueño,0.0857142857142857
cambio,dinero,0.173913043478261
camino,largo,0.128571428571429
campo,pasto,0.0714285714285714
campo,vaca,0.0714285714285714
campo,verde,0.285714285714286
cansado,sueño,0.1
cansado,trabajo,0.1
cansancio,dormir,0.0857142857142857
cansancio,sueño,0.0857142857142857
cantidad,mucho,0.285714285714286
cantidad,número,0.0857142857142857
cara,ojos,0.0857142857142857
cariño,amor,0.542857142857143
carne,asado,0.0714285714285714
carne,comida,0.171428571428571
carne,vaca,0.214285714285714
casa,hogar,0.462686567164179
casamiento,amor,0.1
casamiento,unión,0.0714285714285714
caída,dolor,0.0882352941176471
caída,golpe,0.191176470588235
caída,libre,0.147058823529412
celular,comunicación,0.128571428571429
celular,teléfono,0.314285714285714
cerca,lejos,0.352941176470588
cerebro,cabeza,0.072463768115942
cerebro,mente,0.202898550724638
cerebro,pensar,0.115942028985507
cerebro,órgano,0.072463768115942
chico,grande,0.217391304347826
chico,niño,0.101449275362319
chico,pequeño,0.391304347826087
ciencia,estudio,0.115942028985507
cine,película,0.314285714285714
claro,celular,0.072463768115942
claro,luz,0.0869565217391304
claro,oscuro,0.173913043478261
cocina,comida,0.314285714285714
color,rojo,0.3
color,verde,0.0714285714285714
colores,rojo,0.0857142857142857
comer,comida,0.132352941176471
comer,hambre,0.0735294117647059
comida,alimento,0.188405797101449
comida,hambre,0.101449275362319
computadora,internet,0.0869565217391304
computadora,trabajo,0.072463768115942
comunicación,hablar,0.171428571428571
construcción,casa,0.115942028985507
construcción,edificio,0.217391304347826
corazón,amor,0.159420289855072
corazón,órgano,0.159420289855072
correr,caminar,0.0714285714285714
correr,deporte,0.114285714285714
correr,ejercicio,0.1
correr,rápido,0.0857142857142857
cortar,cuchillo,0.0714285714285714
cortar,terminar,0.128571428571429
corte,pelo,0.188405797101449
coser,aguja,0.128571428571429
coser,hilo,0.2
coser,ropa,0.128571428571429
crear,hacer,0.2
cuadrado,círculo,0.0857142857142857
cuadrado,forma,0.0714285714285714
cuchillo,cortar,0.115942028985507
cuento,historia,0.318840579710145
cuento,libro,0.159420289855072
cuento,niño,0.0869565217391304
cuidar,niños,0.1
cuidar,querer,0.0714285714285714
cumpleaños,feliz,0.242857142857143
cumpleaños,fiesta,0.142857142857143
cumpleaños,torta,0.114285714285714
cura,enfermedad,0.0857142857142857
cura,iglesia,0.1
cura,religión,0.0714285714285714
cárcel,preso,0.142857142857143
círculo,geometría,0.101449275362319
decir,hablar,0.5
decir,hacer,0.0714285714285714
deporte,fútbol,0.171428571428571
deporte,salud,0.171428571428571
derecho,abogado,0.072463768115942
descanso,cama,0.0869565217391304
descanso,dormir,0.130434782608696
descanso,vacaciones,0.0869565217391304
deseo,amor,0.0869565217391304
deseo,placer,0.072463768115942
deseo,querer,0.115942028985507
deseo,sexo,0.072463768115942
diario,papel,0.128571428571429
dibujo,arte,0.128571428571429
dibujo,lápiz,0.114285714285714
dientes,boca,0.147058823529412
diferente,distinto,0.352941176470588
diferente,igual,0.117647058823529
diferente,otro,0.0735294117647059
difícil,fácil,0.188405797101449
dinero,plata,0.367647058823529
dios,religión,0.1
distancia,lejos,0.228571428571429
distinto,diferente,0.557142857142857
diversión,alegría,0.2
diversión,amigos,0.0714285714285714
diversión,fiesta,0.114285714285714
dolor,herida,0.0869565217391304
dormir,cama,0.0857142857142857
dormir,descanso,0.1
dos,número,0.173913043478261
dos,pareja,0.130434782608696
duda,pregunta,0.173913043478261
dulce,rico,0.101449275362319
dulces,rico,0.0857142857142857
duro,piedra,0.072463768115942
débil,enfermo,0.0615384615384615
débil,fuerte,0.153846153846154
día,luz,0.101449275362319
día,noche,0.405797101449275
día,sol,0.173913043478261
edificio,alto,0.144927536231884
edificio,casa,0.072463768115942
educación,escuela,0.130434782608696
ejercicio,correr,0.0882352941176471
ejercicio,deporte,0.102941176470588
ejercicio,salud,0.0882352941176471
embarazo,bebé,0.191176470588235
energía,fuerza,0.115942028985507
energía,luz,0.072463768115942
enfermedad,dolor,0.150943396226415
enfermedad,hospital,0.0754716981132075
enfermedad,salud,0.0943396226415094
enfermo,hospital,0.173913043478261
enfermo,salud,0.072463768115942
enojado,rojo,0.0857142857142857
enorme,grande,0.507246376811594
escribir,lápiz,0.130434782608696
escuela,educación,0.115942028985507
escuela,niños,0.0869565217391304
espacio,lugar,0.217391304347826
espacio,tiempo,0.101449275362319
estrellas,cielo,0.463768115942029
estrellas,noche,0.101449275362319
examen,prueba,0.428571428571429
falso,mentira,0.220588235294118
falta,error,0.0857142857142857
familia,amor,0.208955223880597
fe,dios,0.185714285714286
fe,religión,0.1
felicidad,alegría,0.391304347826087
felicidad,amor,0.072463768115942
feliz,alegría,0.0857142857142857
feo,horrible,0.171428571428571
feo,lindo,0.171428571428571
fiesta,alegría,0.171428571428571
fiesta,diversión,0.128571428571429
fiesta,música,0.0714285714285714
fin,final,0.0909090909090909
fin,terminar,0.106060606060606
final,fin,0.0857142857142857
final,terminar,0.0857142857142857
flor,planta,0.0857142857142857
flor,primavera,0.1
flores,colores,0.117647058823529
flores,primavera,0.102941176470588
forma,cuadrado,0.0857142857142857
fruta,dulce,0.0714285714285714
fruto,fruta,0.0909090909090909
fruto,árbol,0.106060606060606
frío,abrigo,0.0869565217391304
frío,calor,0.159420289855072
frío,hielo,0.072463768115942
fuego,asado,0.0714285714285714
fuego,calor,0.3
fuerte,duro,0.0615384615384615
fuerte,débil,0.123076923076923
fuerza,poder,0.0714285714285714
futuro,mañana,0.0857142857142857
futuro,pasado,0.114285714285714
fácil,difícil,0.285714285714286
fácil,rápido,0.157142857142857
fútbol,deporte,0.285714285714286
fútbol,pelota,0.257142857142857
ganador,primero,0.0857142857142857
gato,animal,0.2
gato,perro,0.214285714285714
genial,bueno,0.0869565217391304
gente,personas,0.347826086956522
geometría,matemática,0.171428571428571
geometría,matemáticas,0.1
golpe,dolor,0.159420289855072
golpe,duro,0.072463768115942
grande,chico,0.164179104477612
grande,enorme,0.194029850746269
grupo,amigos,0.114285714285714
grupo,gente,0.0857142857142857
grupo,personas,0.0714285714285714
guardar,ordenar,0.0714285714285714
guerra,muerte,0.147058823529412
guerra,paz,0.25
guitarra,instrumento,0.072463768115942
guitarra,música,0.492753623188406
hablar,decir,0.147058823529412
hacer,crear,0.0857142857142857
hambre,comida,0.3
hambre,dolor,0.0714285714285714
herida,dolor,0.235294117647059
herida,sangre,0.205882352941176
herramienta,trabajo,0.228571428571429
hielo,agua,0.0857142857142857
hielo,frío,0.685714285714286
hierro,metal,0.2
hijos,amor,0.134328358208955
hijos,familia,0.0746268656716418
hilo,aguja,0.271428571428571
hilo,coser,0.157142857142857
historia,pasado,0.185714285714286
hogar,casa,0.5
hogar,familia,0.2
hojas,papel,0.114285714285714
hojas,árbol,0.257142857142857
hombre,mujer,0.347826086956522
horrible,feo,0.550724637681159
hospital,enfermedad,0.185714285714286
hospital,enfermo,0.1
hueso,carne,0.0857142857142857
hueso,cuerpo,0.1
hueso,duro,0.0857142857142857
huevo,comida,0.101449275362319
idioma,lengua,0.257142857142857
iglesia,cura,0.0714285714285714
iglesia,religión,0.2
imposible,difícil,0.169230769230769
imposible,nada,0.0615384615384615
infinito,espacio,0.0869565217391304
insecto,bicho,0.485714285714286
instrumento,guitarra,0.0857142857142857
instrumento,música,0.3
internet,computadora,0.0714285714285714
inútil,persona,0.0615384615384615
irse,volver,0.072463768115942
jefe,trabajo,0.0735294117647059
joven,viejo,0.173913043478261
juego,diversión,0.285714285714286
juego,mesa,0.0714285714285714
juez,ley,0.2
juicio,abogado,0.0714285714285714
juicio,juez,0.128571428571429
juntar,amigos,0.0714285714285714
juntar,unir,0.3
ladrón,robar,0.0714285714285714
ladrón,robo,0.157142857142857
leche,blanco,0.0735294117647059
leche,vaca,0.441176470588235
lejos,cerca,0.27536231884058
lejos,distancia,0.260869565217391
lengua,boca,0.0857142857142857
lengua,idioma,0.2
lengua,órgano,0.0714285714285714
lento,rápido,0.2
lento,tranquilo,0.0714285714285714
letra,palabra,0.188405797101449
letras,palabras,0.214285714285714
ley,orden,0.220588235294118
leyes,derecho,0.0869565217391304
leyes,orden,0.072463768115942
libertad,cárcel,0.0714285714285714
libertad,libre,0.0714285714285714
libre,aire,0.0869565217391304
libre,libertad,0.202898550724638
libre,pájaro,0.0869565217391304
libros,estudio,0.0857142857142857
libros,hojas,0.0857142857142857
limpiar,casa,0.072463768115942
limpiar,ordenar,0.072463768115942
limpieza,orden,0.128571428571429
limpio,sucio,0.142857142857143
linda,mujer,0.173913043478261
lindo,feo,0.144927536231884
llanto,llorar,0.0857142857142857
llanto,tristeza,0.257142857142857
llegar,casa,0.0882352941176471
llegar,ir,0.0735294117647059
lleno,comida,0.0714285714285714
lleno,vacío,0.214285714285714
llorar,tristeza,0.238805970149254
lluvia,agua,0.391304347826087
loco,enfermo,0.0857142857142857
locura,enfermedad,0.101449275362319
locura,loco,0.0869565217391304
lugar,casa,0.114285714285714
lugar,espacio,0.128571428571429
luna,cielo,0.1
luna,noche,0.171428571428571
luna,sol,0.2
luz,sol,0.128571428571429
lápiz,escribir,0.2
lápiz,papel,0.1
líder,jefe,0.188405797101449
límite,línea,0.101449275362319
lío,problema,0.264705882352941
líquido,agua,0.558823529411765
madera,mesa,0.072463768115942
madera,árbol,0.217391304347826
madre,amor,0.144927536231884
madre,mamá,0.159420289855072
maestro,escuela,0.0714285714285714
mala,persona,0.0895522388059701
maldad,feo,0.101449275362319
maldad,malo,0.0869565217391304
malo,bueno,0.260869565217391
malo,feo,0.101449275362319
malvado,malo,0.420289855072464
mamá,amor,0.260869565217391
mamá,madre,0.101449275362319
mar,agua,0.231884057971014
mar,paz,0.0869565217391304
mar,playa,0.101449275362319
matemática,números,0.36231884057971
matemáticas,números,0.313432835820896
mañana,día,0.0882352941176471
mañana,futuro,0.205882352941176
mañana,sol,0.117647058823529
mente,cerebro,0.358208955223881
mente,cuerpo,0.104477611940299
mente,pensamiento,0.0746268656716418
mentira,verdad,0.3
mentiroso,falso,0.130434782608696
mes,día,0.0857142857142857
mes,tiempo,0.142857142857143
mesa,comida,0.0746268656716418
mesa,madera,0.0746268656716418
metal,frío,0.115942028985507
metal,hierro,0.115942028985507
militar,policía,0.0857142857142857
militar,verde,0.171428571428571
mirar,ojos,0.130434782608696
mirar,ver,0.420289855072464
moda,ropa,0.314285714285714
molesto,enojado,0.217391304347826
molesto,pesado,0.101449275362319
mostrar,ver,0.176470588235294
movimiento,correr,0.0735294117647059
mucho,cantidad,0.217391304347826
mucho,poco,0.318840579710145
muchos,amigos,0.0714285714285714
muchos,cantidad,0.157142857142857
muerte,dolor,0.101449275362319
muerte,fin,0.173913043478261
muerte,vida,0.188405797101449
mujer,hombre,0.132352941176471
mujer,madre,0.0735294117647059
más,cantidad,0.0882352941176471
más,mucho,0.132352941176471
médico,enfermedad,0.115942028985507
música,arte,0.114285714285714
música,guitarra,0.0714285714285714
música,sonido,0.114285714285714
nada,todo,0.185714285714286
nada,vacío,0.342857142857143
navidad,familia,0.115942028985507
navidad,fiesta,0.0869565217391304
negro,blanco,0.285714285714286
negro,color,0.228571428571429
negro,oscuro,0.228571428571429
niño,chico,0.072463768115942
niño,pequeño,0.173913043478261
no,sí,0.246376811594203
noche,día,0.130434782608696
noche,luna,0.173913043478261
noche,oscuridad,0.144927536231884
nombre,persona,0.117647058823529
nota,examen,0.0606060606060606
nota,música,0.0909090909090909
nuevo,viejo,0.231884057971014
número,matemática,0.0869565217391304
número,uno,0.0869565217391304
números,letras,0.142857142857143
números,matemática,0.128571428571429
números,matemáticas,0.128571428571429
ojo,ver,0.102941176470588
ojos,ver,0.159420289855072
olor,feo,0.161764705882353
orden,limpieza,0.128571428571429
ordenar,limpiar,0.104477611940299
oro,metal,0.114285714285714
oro,plata,0.3
oscuridad,luz,0.2
oscuridad,miedo,0.0857142857142857
oscuridad,negro,0.3
oscuridad,noche,0.142857142857143
oscuro,claro,0.106060606060606
oscuro,negro,0.454545454545455
oscuro,noche,0.0909090909090909
otro,diferente,0.072463768115942
otro,distinto,0.0869565217391304
otro,más,0.072463768115942
otro,persona,0.0869565217391304
oído,música,0.130434782608696
palabra,letras,0.171428571428571
palabras,letras,0.228571428571429
pan,alimento,0.114285714285714
pan,comida,0.328571428571429
pantalón,ropa,0.157142857142857
papa,comida,0.104477611940299
papa,verdura,0.119402985074627
papel,blanco,0.0714285714285714
papel,escribir,0.0857142857142857
papel,lápiz,0.0714285714285714
pareja,amor,0.260869565217391
pareja,dos,0.115942028985507
parte,todo,0.0857142857142857
pasado,antes,0.0714285714285714
pasado,futuro,0.0714285714285714
pasado,historia,0.114285714285714
pasar,caminar,0.2
pasto,verde,0.492753623188406
paz,amor,0.173913043478261
paz,guerra,0.072463768115942
paz,tranquilidad,0.246376811594203
país,argentina,0.173913043478261
país,lugar,0.072463768115942
pedir,ayuda,0.072463768115942
pedir,dar,0.130434782608696
pelo,cabello,0.26865671641791
pelo,largo,0.164179104477612
pelota,fútbol,0.373134328358209
pelota,juego,0.119402985074627
película,cine,0.3
pene,hombre,0.257142857142857
pene,sexo,0.0857142857142857
pensamiento,cerebro,0.0714285714285714
pensamiento,mente,0.142857142857143
pensar,mente,0.0735294117647059
pequeño,chico,0.246376811594203
pequeño,grande,0.130434782608696
pequeño,niño,0.115942028985507
perro,animal,0.142857142857143
perro,gato,0.171428571428571
persona,gente,0.147058823529412
persona,ser,0.176470588235294
personas,gente,0.4
pesado,gordo,0.117647058823529
pescado,comida,0.0857142857142857
pescado,mar,0.128571428571429
pescado,pez,0.128571428571429
peso,dinero,0.0857142857142857
peso,pesado,0.0714285714285714
peso,plata,0.0714285714285714
pez,agua,0.382352941176471
pez,mar,0.0882352941176471
pez,pescado,0.0735294117647059
piedra,duro,0.0869565217391304
piedra,papel,0.115942028985507
piel,suave,0.0735294117647059
piel,órgano,0.117647058823529
pintura,arte,0.257142857142857
pintura,color,0.0857142857142857
placer,amor,0.142857142857143
placer,sexo,0.228571428571429
planta,verde,0.314285714285714
plantas,verde,0.242857142857143
plata,dinero,0.285714285714286
plata,metal,0.1
plata,oro,0.2
playa,mar,0.128571428571429
playa,sol,0.214285714285714
playa,vacaciones,0.0714285714285714
pobre,rico,0.228571428571429
pobreza,hambre,0.102941176470588
poco,mucho,0.228571428571429
poco,nada,0.1
poder,política,0.0714285714285714
podrido,feo,0.101449275362319
podrido,fruta,0.072463768115942
podrido,olor,0.130434782608696
policía,ley,0.0869565217391304
policía,seguridad,0.0869565217391304
política,mentira,0.0746268656716418
político,mentiroso,0.101449275362319
pozo,agua,0.159420289855072
pozo,agujero,0.072463768115942
pregunta,duda,0.0735294117647059
premio,ganador,0.072463768115942
premio,ganar,0.115942028985507
preso,cárcel,0.271428571428571
primavera,flor,0.072463768115942
primavera,flores,0.188405797101449
primavera,verano,0.115942028985507
primero,uno,0.0882352941176471
prohibido,no,0.164179104477612
propiedad,casa,0.391304347826087
propiedad,mío,0.101449275362319
prueba,examen,0.289855072463768
puerta,casa,0.171428571428571
pájaro,animal,0.0714285714285714
pájaro,ave,0.385714285714286
pájaro,libre,0.0857142857142857
pájaro,volar,0.114285714285714
quieto,tranquilo,0.0735294117647059
química,ciencia,0.176470588235294
raro,diferente,0.101449275362319
real,verdad,0.0735294117647059
regalo,cumpleaños,0.173913043478261
religión,dios,0.142857142857143
religión,iglesia,0.128571428571429
reloj,tiempo,0.304347826086957
remedio,cura,0.171428571428571
remedio,enfermedad,0.0857142857142857
rico,comida,0.115942028985507
rico,dinero,0.0869565217391304
rico,pobre,0.188405797101449
risa,alegría,0.231884057971014
risa,felicidad,0.0869565217391304
robar,ladrón,0.1
robar,malo,0.0714285714285714
robo,ladrón,0.414285714285714
rojo,color,0.328571428571429
rojo,sangre,0.142857142857143
ropa,abrigo,0.1
ropa,pantalón,0.0857142857142857
ruido,molesto,0.161764705882353
ruido,música,0.0882352941176471
ruido,sonido,0.220588235294118
rápido,lento,0.142857142857143
río,agua,0.470588235294118
río,mar,0.0735294117647059
sacar,afuera,0.0735294117647059
