source,target,weight
abrigo,ropa,2.0
abrigo,frío,21.0
abrigo,naranja,1.0
abrigo,calor,9.0
abrigo,cuidado,1.0
abrigo,protección,1.0
abrigo,mamá,1.0
abrigo,caliente,1.0
abrigo,piel,1.0
aburrido,yo,2.0
aburrido,tonto,1.0
aburrido,cansancio,1.0
aburrido,feo,1.0
aburrido,sueño,4.0
aburrido,cansado,3.0
aburrido,soledad,3.0
aburrido,triste,2.0
aburrido,divertido,2.0
aburrido,tiempo,1.0
aburrido,cine,1.0
aburrido,oportunidad,1.0
aburrido,noche,1.0
aburrido,dormir,1.0
aburrido,largo,1.0
aburrido,nada,1.0
accidente,auto,15.0
accidente,muerte,4.0
accidente,error,4.0
accidente,gente,1.0
accidente,seguro,1.0
accidente,cuidado,1.0
accidente,sangre,1.0
accidente,dolor,3.0
acción,hacer,9.0
acción,movimiento,10.0
acción,diario,1.0
acción,hecho,2.0
acción,cine,1.0
acción,película,3.0
acción,rápido,1.0
acción,correr,3.0
acción,ejercicio,1.0
acción,fin,1.0
acuerdo,paz,2.0
acuerdo,manos,2.0
acuerdo,dos,1.0
agarrar,mano,5.0
agarrar,tomar,33.0
agarrar,cuerpo,1.0
agarrar,tener,1.0
agarrar,manos,1.0
agarrar,cosas,1.0
agradable,bueno,10.0
agradable,lindo,20.0
agradable,persona,1.0
agradable,amigos,1.0
agradable,viento,2.0
agradable,amable,1.0
agradable,desagradable,1.0
agradable,linda,1.0
agradable,feliz,1.0
agradable,suave,1.0
agradable,dulce,1.0
agua,líquido,5.0
agua,naturaleza,1.0
agua,mar,4.0
agua,vida,9.0
agua,lluvia,2.0
agua,río,4.0
agua,salud,1.0
agua,azul,1.0
agua,luz,1.0
agua,tomar,1.0
ahora,ya,41.0
ahora,no,1.0
ahora,cielo,1.0
aire,libre,7.0
aire,viento,4.0
aire,vida,5.0
aire,rico,1.0
aire,río,1.0
aire,química,1.0
aire,agua,3.0
aire,libertad,2.0
aire,limpio,3.0
aire,dar,1.0
aire,espacio,1.0
alcohol,droga,6.0
alcohol,hospital,1.0
alcohol,vino,4.0
alcohol,bebida,10.0
alcohol,noche,1.0
alcohol,limpieza,1.0
alcohol,cuidado,1.0
alcohol,herida,2.0
alcohol,fiesta,2.0
alcohol,salud,1.0
alcohol,líquido,1.0
alcohol,ver,1.0
alcohol,horrible,1.0
alcohol,rico,1.0
alegre,feliz,35.0
alegre,yo,1.0
alegre,alegría,2.0
alegre,flor,1.0
alegre,risa,5.0
alegre,diversión,1.0
alegre,verde,1.0
alegre,triste,2.0
alegre,persona,1.0
alegre,divertido,2.0
alegre,fiesta,1.0
alegre,boca,1.0
alegría,sentimiento,2.0
alegría,felicidad,31.0
alegría,feliz,5.0
alegría,paz,1.0
alegría,tristeza,3.0
alegría,libertad,2.0
alegría,flores,1.0
alegría,simple,1.0
alegría,amor,1.0
alegría,amarillo,1.0
alimento,comida,38.0
alimento,rico,2.0
alimento,verde,1.0
alimento,perro,2.0
alimento,animales,1.0
alimento,comer,2.0
alimento,hambre,2.0
alimento,carne,1.0
alimento,bueno,1.0
alto,infinito,1.0
alto,cielo,1.0
alto,grande,4.0
alto,altura,2.0
alto,persona,2.0
alto,árbol,3.0
alto,policía,1.0
alto,largo,4.0
alto,lindo,1.0
alto,arriba,1.0
altura,montaña,2.0
altura,grande,1.0
altura,edificio,4.0
altura,peso,4.0
altura,medida,2.0
altura,alto,4.0
altura,libertad,1.0
altura,persona,1.0
altura,caer,1.0
altura,lejos,1.0
altura,cielo,1.0
altura,aire,1.0
altura,largo,1.0
altura,frío,1.0
altura,arriba,1.0
altura,miedo,1.0
amable,agradable,2.0
amable,bueno,15.0
amable,bien,1.0
amable,dulce,2.0
amable,amigo,1.0
amable,feliz,2.0
amable,mamá,2.0
amable,correcto,1.0
amable,persona,2.0
amable,lindo,1.0
amarillo,sol,22.0
amarillo,color,16.0
amarillo,verano,1.0
amarillo,energía,1.0
amarillo,rojo,2.0
amarillo,blanco,2.0
amarillo,verde,1.0
amarillo,vida,1.0
amarillo,azul,2.0
amarillo,claro,1.0
amarillo,feo,2.0
amarillo,inteligencia,1.0
amarillo,naranja,1.0
amarillo,colores,1.0
amarillo,luz,1.0
amarillo,fuego,1.0
amigo,calor,1.0
amigo,mío,2.0
amigo,amistad,3.0
amigo,verde,1.0
amigo,amor,4.0
amigo,persona,2.0
amigo,hombre,1.0
amigo,cariño,1.0
amigo,luz,1.0
amigo,felicidad,1.0
amigo,muchos,1.0
amigo,real,1.0
amigo,alegría,1.0
amigos,felicidad,4.0
amigos,amistad,3.0
amigos,gente,2.0
amigos,fiesta,2.0
amigos,vacaciones,1.0
amigos,alegría,2.0
amigos,amor,4.0
amigos,vida,2.0
amigos,cariño,1.0
amigos,muchos,2.0
amigos,siempre,1.0
amigos,ayuda,1.0
amigos,familia,2.0
amistad,amor,11.0
amistad,amigos,9.0
amistad,valor,1.0
amistad,amigo,7.0
amistad,placer,1.0
amistad,unión,4.0
amistad,mate,1.0
amistad,tristeza,1.0
amistad,mujeres,1.0
amistad,alegría,2.0
amistad,felicidad,1.0
amistad,gente,1.0
amor,dar,2.0
amor,sexo,2.0
amor,infinito,1.0
amor,familia,3.0
amor,corazón,5.0
amor,paz,2.0
amor,pareja,6.0
amor,hijos,3.0
amor,odio,1.0
amor,placer,2.0
amor,dolor,1.0
amor,hijo,2.0
amor,vida,3.0
amor,sentimiento,3.0
amor,todo,1.0
amor,amigos,2.0
amor,feliz,1.0
amor,más,1.0
amor,amistad,1.0
amor,cariño,5.0
amor,calor,1.0
amor,rojo,1.0
amor,libre,1.0
amor,querer,1.0
amor,felicidad,3.0
amor,energía,1.0
animal,ser,2.0
animal,perro,18.0
animal,amor,1.0
animal,vaca,2.0
animal,naturaleza,1.0
animal,grande,1.0
animal,insecto,1.0
animal,vida,2.0
animal,gato,4.0
animal,libre,1.0
animal,bicho,1.0
animal,planta,1.0
animal,mono,1.0
animal,pelo,1.0
animales,gato,13.0
animales,naturaleza,1.0
animales,perro,1.0
animales,amor,3.0
animales,amigos,1.0
animales,caballo,1.0
animales,plantas,1.0
animales,vaca,1.0
antiguo,viejo,42.0
antiguo,nuevo,1.0
antiguo,sucio,1.0
antiguo,madera,1.0
antiguo,joven,1.0
antiguo,aburrido,1.0
antiguo,olor,1.0
antiguo,historia,1.0
antiguo,pasado,1.0
antiguo,importante,1.0
años,muchos,3.0
años,cumpleaños,2.0
años,viejo,4.0
años,tiempo,17.0
años,vida,6.0
árbol,naturaleza,4.0
árbol,planta,8.0
árbol,vida,5.0
árbol,alto,1.0
árbol,ser,1.0
árbol,libertad,1.0
árbol,verde,7.0
árbol,perro,1.0
árbol,hojas,4.0
árbol,madera,2.0
árbol,grande,1.0
árbol,protección,1.0
árbol,lindo,1.0
árbol,aire,1.0
árbol,fruta,1.0
árboles,verde,8.0
árboles,campo,1.0
árboles,naturaleza,3.0
árboles,plantas,5.0
árboles,libertad,1.0
árboles,hojas,6.0
árboles,comida,1.0
árboles,tierra,1.0
árboles,vida,3.0
árboles,luz,1.0
árboles,planta,1.0
árboles,libre,1.0
árboles,aire,1.0
argentina,país,34.0
argentina,tierra,2.0
argentina,tristeza,1.0
argentina,plata,3.0
argentina,mate,1.0
argentina,grande,1.0
argentina,estado,1.0
argentina,casa,1.0
arma,herramienta,1.0
arma,fuego,5.0
arma,matar,1.0
arma,muerte,10.0
arma,maldad,1.0
arma,vida,1.0
arma,peligro,1.0
arma,mal,1.0
arma,negro,1.0
arma,violencia,2.0
arma,dolor,2.0
arma,miedo,1.0
arma,guerra,2.0
arreglar,roto,1.0
arreglar,romper,5.0
arreglar,cosas,1.0
arreglar,cuidar,1.0
arreglar,fútbol,1.0
arreglar,madera,1.0
arreglar,herramienta,1.0
arriba,alto,7.0
arriba,cielo,5.0
arriba,subir,3.0
arriba,yo,1.0
arriba,dios,1.0
arte,pintura,18.0
arte,vida,2.0
arte,cultura,3.0
arte,parte,1.0
arte,felicidad,1.0
arte,dibujo,1.0
arte,música,1.0
arte,amor,1.0
arte,color,2.0
arte,colores,1.0
arte,lindo,1.0
arte,mirar,1.0
arte,belleza,1.0
arte,libre,1.0
asado,carne,35.0
asado,comida,8.0
asado,rico,4.0
asado,familia,2.0
asado,amigos,5.0
asado,vino,1.0
asco,feo,7.0
asco,poco,1.0
asco,desagradable,6.0
asco,olor,4.0
asco,violencia,1.0
asco,caca,2.0
asco,odio,1.0
asco,horrible,1.0
asco,comida,2.0
asqueroso,desagradable,7.0
asqueroso,sucio,1.0
asqueroso,feo,10.0
asqueroso,olor,1.0
asqueroso,horrible,2.0
asqueroso,asco,2.0
asqueroso,vago,1.0
asqueroso,político,1.0
asqueroso,malo,1.0
asqueroso,caca,1.0
atención,inteligencia,2.0
atención,alto,1.0
atención,importante,1.0
atención,ver,1.0
atención,mirar,2.0
atención,cuidado,2.0
atención,niños,1.0
atención,ojo,2.0
atención,peligro,3.0
atención,ojos,1.0
atención,bebé,1.0
auto,rápido,1.0
auto,transporte,5.0
auto,movimiento,1.0
auto,viaje,1.0
auto,blanco,2.0
auto,rojo,2.0
auto,verde,1.0
auto,tren,1.0
autos,transporte,2.0
autos,calle,4.0
autos,rojo,2.0
autos,tiempo,1.0
autos,viaje,2.0
autos,placer,1.0
autos,movimiento,1.0
ave,pez,1.0
ave,pájaro,33.0
ave,cielo,1.0
ave,volar,3.0
ave,libre,2.0
ave,viento,1.0
ave,animal,1.0
ave,libertad,1.0
ave,naturaleza,1.0
avión,volar,13.0
avión,viaje,9.0
avión,aire,4.0
avión,sueño,1.0
avión,cielo,3.0
avión,grande,1.0
avión,transporte,1.0
avión,libertad,1.0
avión,rápido,1.0
avión,alto,1.0
ayuda,perdón,1.0
ayuda,amigo,2.0
ayuda,médico,1.0
ayuda,niño,1.0
ayuda,problemas,1.0
ayuda,peligro,1.0
ayuda,gente,1.0
ayuda,grupo,1.0
ayuda,dar,1.0
ayuda,amigos,1.0
ayuda,amistad,1.0
ayuda,amor,1.0
ayuda,niños,1.0
ayuda,pedir,1.0
ayuda,protección,1.0
ayudar,gente,1.0
ayudar,dar,6.0
ayudar,bueno,3.0
ayudar,calle,1.0
ayudar,cuidar,1.0
ayudar,mano,2.0
ayudar,personas,2.0
ayudar,bien,1.0
ayudar,amigo,1.0
ayudar,ver,1.0
azul,mar,11.0
azul,color,20.0
azul,cielo,18.0
azul,perro,1.0
azul,pintura,1.0
azul,agua,1.0
azul,paz,1.0
azul,verde,1.0
azul,noche,1.0
azul,policía,1.0
azul,suave,1.0
baile,movimiento,4.0
baile,diversión,5.0
baile,alegre,1.0
baile,música,7.0
baile,alegría,3.0
baile,fiesta,5.0
baile,cuerpo,1.0
baile,felicidad,1.0
baile,divertido,2.0
baile,noche,1.0
baño,limpieza,5.0
baño,casa,3.0
baño,limpio,3.0
baño,caca,1.0
baño,agua,2.0
baño,blanco,1.0
baño,papel,1.0
baño,playa,1.0
baño,sucio,1.0
baño,papa,1.0
barco,agua,14.0
barco,viaje,5.0
barco,mar,12.0
barco,miedo,1.0
barco,fuerte,1.0
basura,calle,1.0
basura,sucio,3.0
basura,muerte,1.0
basura,horrible,1.0
basura,olor,3.0
basura,asco,1.0
basura,yo,1.0
basura,cocina,1.0
basura,malo,1.0
bebé,niño,18.0
bebé,chico,1.0
bebé,madre,1.0
bebé,hijos,1.0
bebé,vida,3.0
bebé,pequeño,3.0
bebé,mamá,3.0
bebé,hijo,3.0
bebé,llanto,2.0
bebé,amor,1.0
bebé,gordo,1.0
bebé,persona,1.0
bebé,bueno,1.0
bebé,lindo,2.0
bebé,piel,1.0
bebida,agua,8.0
bebida,líquido,6.0
bebida,alcohol,9.0
bebida,vida,1.0
bebida,rico,1.0
bebida,vino,1.0
bebida,alimento,1.0
bebida,placer,1.0
bebida,río,1.0
bebida,dulce,1.0
belleza,flor,1.0
belleza,naturaleza,1.0
belleza,lindo,8.0
belleza,ojos,1.0
belleza,linda,3.0
belleza,mujer,9.0
belleza,cara,2.0
belleza,color,1.0
belleza,felicidad,1.0
belleza,flores,2.0
belleza,mujeres,1.0
belleza,simple,1.0
belleza,baño,1.0
belleza,yo,1.0
belleza,cielo,1.0
belleza,horrible,1.0
belleza,amor,1.0
bicho,insecto,31.0
bicho,animal,10.0
bicho,feo,6.0
bicho,flores,1.0
bicho,lindo,1.0
bicho,naturaleza,1.0
bien,mal,20.0
bien,correcto,9.0
bien,ayudar,1.0
bien,sí,1.0
bien,bueno,6.0
bien,amor,1.0
bien,genial,1.0
bien,feliz,2.0
bien,día,1.0
bien,alegre,1.0
bien,agradable,1.0
bien,lindo,1.0
blanco,color,14.0
blanco,papel,1.0
blanco,claro,4.0
blanco,negro,21.0
blanco,atención,1.0
blanco,paz,2.0
blanco,luz,1.0
blanco,azul,2.0
blanco,limpio,1.0
blanco,libre,1.0
boca,dientes,12.0
boca,cara,7.0
boca,alimento,1.0
boca,comida,2.0
boca,cuerpo,2.0
boca,lengua,9.0
boca,comer,5.0
boca,linda,1.0
boca,palabras,1.0
boca,grande,1.0
boca,fútbol,1.0
boca,negro,1.0
brillante,fuerte,2.0
brillante,inteligente,6.0
brillante,luz,9.0
brillante,sol,1.0
brillante,mente,1.0
brillante,fuego,1.0
brillante,metal,1.0
brillante,oro,4.0
brillante,limpio,1.0
brillante,estrellas,1.0
brillante,amigo,1.0
bueno,malo,29.0
bueno,lindo,1.0
bueno,día,1.0
bueno,felicidad,1.0
bueno,agradable,2.0
bueno,amistad,1.0
bueno,dios,1.0
bueno,amable,2.0
bueno,persona,1.0
bueno,familia,1.0
bueno,hijo,1.0
bueno,paz,1.0
caballo,campo,5.0
caballo,libertad,7.0
caballo,blanco,2.0
caballo,rápido,2.0
caballo,animal,10.0
caballo,lindo,1.0
caballo,fuerza,4.0
caballo,pelo,3.0
caballo,viento,1.0
caballo,libre,1.0
caballo,belleza,1.0
cabello,pelo,33.0
cabello,plata,1.0
cabello,corto,1.0
cabello,largo,8.0
cabello,cabeza,5.0
cabello,caballo,1.0
cabello,negro,1.0
cabello,rojo,1.0
cabello,belleza,1.0
cabeza,arriba,4.0
cabeza,cerebro,8.0
cabeza,pensar,5.0
cabeza,pelo,10.0
cabeza,perro,1.0
cabeza,mente,6.0
cabeza,dolor,2.0
cabeza,vaca,1.0
cabeza,grande,1.0
cabeza,cabello,1.0
cabeza,cielo,1.0
cabeza,cuerpo,1.0
caca,olor,7.0
caca,baño,1.0
caca,perro,2.0
caca,asco,7.0
caca,sucio,1.0
caca,feo,1.0
caca,papel,1.0
caer,viento,1.0
caer,vacío,3.0
caer,pobreza,1.0
caer,noche,1.0
caer,romper,1.0
caer,caída,1.0
caer,escuela,1.0
caer,golpe,4.0
caer,piso,4.0
caer,miedo,1.0
caer,herida,1.0
caer,volar,1.0
caída,libre,10.0
caída,golpe,13.0
caída,caer,1.0
caída,altura,2.0
caída,piso,1.0
caída,edificio,1.0
caída,vacío,1.0
caída,dolor,6.0
caída,error,1.0
caída,cielo,1.0
caliente,frío,9.0
caliente,sol,2.0
caliente,fuego,3.0
caliente,calor,5.0
caliente,dolor,1.0
caliente,sexo,2.0
caliente,agua,4.0
caliente,comida,1.0
caliente,verano,2.0
caliente,rojo,1.0
caliente,enojado,1.0
caliente,bebida,1.0
calle,peligro,2.0
calle,autos,1.0
calle,gente,2.0
calle,ciudad,1.0
calle,escuela,1.0
calle,casa,1.0
calle,camino,4.0
calle,vida,1.0
calle,soledad,1.0
calle,lluvia,1.0
calle,auto,1.0
calle,largo,1.0
calle,árboles,1.0
calor,frío,13.0
calor,verano,14.0
calor,olor,1.0
calor,playa,2.0
calor,amarillo,1.0
calor,sol,10.0
calor,molesto,1.0
calor,aire,1.0
calor,insoportable,1.0
calor,fuego,3.0
calor,rojo,2.0
cama,dormir,26.0
cama,sueño,6.0
cama,descanso,11.0
cama,amor,1.0
cama,lindo,1.0
cama,importante,1.0
cama,mesa,1.0
cambiar,oportunidad,1.0
cambiar,dinero,1.0
cambiar,nuevo,2.0
cambiar,distinto,1.0
cambiar,crecer,1.0
cambiar,elegir,1.0
cambiar,ropa,1.0
cambiar,cambio,2.0
cambiar,cosas,1.0
cambio,dinero,12.0
cambio,alegría,1.0
cambio,nuevo,4.0
cambio,libre,1.0
cambio,grande,1.0
cambio,plata,4.0
cambio,mujer,1.0
cambio,camino,1.0
cambio,tiempo,1.0
cambio,futuro,1.0
cambio,fútbol,1.0
cambio,política,1.0
cambio,oportunidad,1.0
caminar,salud,3.0
caminar,cansancio,1.0
caminar,ir,3.0
caminar,ejercicio,4.0
caminar,volar,1.0
caminar,casa,1.0
caminar,juntos,1.0
caminar,correr,4.0
caminar,parar,1.0
caminar,camino,2.0
caminar,movimiento,2.0
caminar,playa,1.0
caminar,rápido,1.0
caminar,deporte,1.0
camino,largo,9.0
camino,vida,1.0
camino,tierra,4.0
camino,línea,1.0
camino,viaje,1.0
camino,naturaleza,1.0
camino,árboles,3.0
camino,lugar,1.0
camino,árbol,1.0
camino,auto,1.0
camino,distinto,1.0
camino,calle,1.0
campo,salud,1.0
campo,verde,20.0
campo,pasto,5.0
campo,paz,4.0
campo,trabajo,1.0
campo,caballo,3.0
campo,tranquilidad,2.0
campo,aire,2.0
campo,libertad,1.0
campo,ciudad,2.0
campo,vaca,5.0
campo,fútbol,1.0
campo,grande,1.0
campo,espacio,1.0
cansado,sueño,7.0
cansado,yo,2.0
cansado,triste,1.0
cansado,cama,4.0
cansado,dormir,2.0
cansado,tarde,1.0
cansado,dolor,1.0
cansado,caminar,1.0
cansado,siempre,2.0
cansado,trabajo,7.0
cansado,molesto,1.0
cansado,aburrido,1.0
cansado,caballo,1.0
cansancio,dormir,6.0
cansancio,sueño,6.0
cansancio,dolor,1.0
cansancio,trabajo,3.0
cansancio,largo,1.0
cansancio,vida,1.0
cansancio,cama,1.0
cansancio,descanso,1.0
cansancio,energía,1.0
cansancio,siempre,1.0
cantidad,mucho,20.0
cantidad,dinero,3.0
cantidad,agua,1.0
cantidad,número,6.0
cantidad,plata,2.0
cantidad,muchos,3.0
cantidad,números,1.0
cantidad,química,1.0
cantidad,líquido,1.0
cantidad,cosas,1.0
cantidad,matemática,1.0
cara,persona,2.0
cara,boca,2.0
cara,mostrar,1.0
cara,ojos,6.0
cara,linda,3.0
cara,cabeza,1.0
cara,feliz,2.0
cara,juego,1.0
cara,belleza,1.0
cara,cuerpo,1.0
cara,mentira,1.0
cárcel,malo,1.0
cárcel,preso,10.0
cárcel,libertad,1.0
cárcel,hombre,1.0
cárcel,lejos,1.0
cárcel,justo,1.0
cariño,amor,38.0
cariño,amistad,1.0
cariño,sentimiento,2.0
cariño,hogar,1.0
cariño,mamá,1.0
cariño,hijos,2.0
cariño,niño,1.0
carne,vaca,15.0
carne,comida,12.0
carne,alimento,1.0
carne,comer,3.0
carne,cine,1.0
carne,dolor,1.0
carne,asado,5.0
carne,rojo,2.0
carne,hambre,1.0
carne,animal,1.0
caro,oro,2.0
caro,ropa,3.0
caro,dinero,8.0
caro,plata,3.0
caro,bueno,1.0
caro,nombre,2.0
caro,mujer,1.0
caro,tristeza,1.0
carrera,rápido,5.0
carrera,correr,5.0
carrera,autos,5.0
carrera,cansancio,1.0
carrera,largo,1.0
carrera,auto,2.0
carrera,fin,1.0
carrera,estudio,1.0
carrera,trabajo,1.0
carrera,caballo,1.0
carrera,aburrido,1.0
carta,juego,2.0
carta,lejos,1.0
carta,letras,2.0
carta,viejo,1.0
carta,papel,3.0
carta,libro,1.0
carta,amor,3.0
carta,letra,3.0
carta,libre,1.0
carta,verde,1.0
carta,amigo,1.0
carta,amistad,1.0
carta,poder,1.0
carta,palabras,1.0
cartas,juego,18.0
cartas,papel,4.0
cartas,amor,4.0
cartas,letras,4.0
cartas,información,1.0
cartas,comunicación,1.0
cartas,escribir,1.0
casa,calor,1.0
casa,familia,3.0
casa,edificio,1.0
casa,hogar,31.0
casa,espacio,1.0
casa,grande,2.0
casa,seguridad,1.0
casa,música,1.0
celular,teléfono,22.0
celular,comunicación,9.0
celular,química,1.0
celular,roto,1.0
celular,odio,1.0
cerca,nada,1.0
cerca,calor,1.0
