node,word,matched_warriner,valence_raw,valence_centered,arousal_raw,dominance_raw
age,age,True,5.78,0.19500000000000006,3.71,4.67
air,air,True,6.71,0.4275,3.25,5.72
airplane,airplane,True,5.25,0.0625,5.62,4.12
alcohol,alcohol,True,4.11,-0.22249999999999992,5.17,4.0
alien,alien,True,4.45,-0.13749999999999996,4.86,3.56
all,,False,5.0,0.0,5.0,5.0
alone,alone,True,3.85,-0.2875,4.0,4.5
amazing,amazing,True,7.72,0.6799999999999999,6.05,6.83
america,,False,5.0,0.0,5.0,5.0
anger,anger,True,2.5,-0.625,5.93,5.14
angry,angry,True,2.53,-0.6175,6.2,4.11
animal,animal,True,7.06,0.5149999999999999,4.3,5.72
animals,,False,5.0,0.0,5.0,5.0
apple,apple,True,6.62,0.405,3.52,6.44
area,area,True,5.56,0.1399999999999999,2.19,5.06
arm,arm,True,5.44,0.1100000000000001,3.44,6.02
army,army,True,4.65,-0.08749999999999991,4.49,4.65
art,art,True,6.85,0.4624999999999999,4.48,6.02
away,,False,5.0,0.0,5.0,5.0
baby,baby,True,6.67,0.4175,4.97,4.94
bad,bad,True,3.24,-0.43999999999999995,4.86,3.56
bag,bag,True,5.05,0.012499999999999956,3.43,5.62
ball,ball,True,6.14,0.2849999999999999,3.48,5.47
band,band,True,6.44,0.3600000000000001,4.52,5.56
bang,bang,True,5.1,0.02499999999999991,6.09,4.89
bank,bank,True,6.0,0.25,4.19,4.78
baseball,baseball,True,5.79,0.1975,3.15,6.05
beach,beach,True,7.21,0.5525,5.1,5.7
beautiful,beautiful,True,7.61,0.6525000000000001,5.71,6.17
bed,bed,True,7.16,0.54,3.0,6.73
bee,bee,True,3.68,-0.32999999999999996,5.65,5.32
beer,beer,True,5.67,0.16749999999999998,4.3,5.33
bible,bible,True,5.74,0.18500000000000005,3.65,5.0
big,big,True,5.64,0.15999999999999992,4.33,5.61
bird,bird,True,6.75,0.4375,3.83,5.88
birthday,birthday,True,6.37,0.3425,4.6,6.07
