source,target,weight,relation
character.n.03,trait.n.01,1.0,hypernym
character.n.03,thoughtfulness.n.03,1.0,meronym
character.n.03,personality.n.01,1.0,holonym
ability.n.01,quality.n.01,1.0,hypernym
ice_mass.n.01,geological_formation.n.01,1.0,hypernym
ice_mass.n.01,iceberg.n.01,1.0,hyponym
disentangler.n.01,person.n.01,1.0,hypernym
subject.n.06,person.n.01,1.0,hypernym
reading.n.04,written_communication.n.01,1.0,hypernym
eutrophication.n.01,organic_process.n.01,1.0,hypernym
modern.n.01,person.n.01,1.0,hypernym
artwork.n.01,visual_communication.n.01,1.0,hypernym
damned.n.01,people.n.01,1.0,hypernym
harbinger.n.01,indication.n.01,1.0,hypernym
originality.n.02,quality.n.01,1.0,hypernym
content.n.01,collection.n.01,1.0,hypernym
business_people.n.01,people.n.01,1.0,hypernym
vascularization.n.01,organic_process.n.01,1.0,hypernym
couple.n.05,unit.n.05,1.0,hypernym
cripple.n.01,person.n.01,1.0,hypernym
sounding_board.n.01,person.n.01,1.0,hypernym
community.n.02,ownership.n.01,1.0,hypernym
bodybuilder.n.01,person.n.01,1.0,hypernym
unnaturalness.n.01,quality.n.01,1.0,hypernym
nativeness.n.01,quality.n.01,1.0,hypernym
folk.n.01,people.n.01,1.0,hypernym
prescription.n.04,written_communication.n.01,1.0,hypernym
somewhere.n.01,location.n.01,1.0,hypernym
here.n.01,location.n.01,1.0,hypernym
pisser.n.01,person.n.01,1.0,hypernym
sort.n.03,person.n.01,1.0,hypernym
distillation.n.01,natural_process.n.01,1.0,hypernym
centrality.n.01,position.n.07,1.0,hypernym
sagittarius.n.01,person.n.01,1.0,hypernym
involution.n.01,organic_process.n.01,1.0,hypernym
uncheerfulness.n.02,attribute.n.02,1.0,hypernym
uncheerfulness.n.02,gloominess.n.03,1.0,hyponym
limit.n.05,indefinite_quantity.n.01,1.0,hypernym
inverse.n.01,opposition.n.02,1.0,hypernym
eloquence.n.01,expressive_style.n.01,1.0,hypernym
irrational_motive.n.01,motivation.n.01,1.0,hypernym
quality.n.01,attribute.n.02,1.0,hypernym
quality.n.01,woodiness.n.01,1.0,hyponym
quality.n.01,ultimate.n.01,1.0,hyponym
quality.n.01,extraordinariness.n.01,1.0,hyponym
quality.n.01,ordinariness.n.01,1.0,hyponym
quality.n.01,ideality.n.01,1.0,hyponym
quality.n.01,air.n.03,1.0,hyponym
quality.n.01,asset.n.01,1.0,hyponym
quality.n.01,fruitfulness.n.01,1.0,hyponym
quality.n.01,unpleasantness.n.02,1.0,hyponym
quality.n.01,unwholesomeness.n.01,1.0,hyponym
quality.n.01,distinction.n.03,1.0,hyponym
quality.n.01,sameness.n.01,1.0,hyponym
quality.n.01,unlawfulness.n.01,1.0,hyponym
quality.n.01,soapiness.n.01,1.0,hyponym
quality.n.01,memorability.n.01,1.0,hyponym
quality.n.01,opacity.n.03,1.0,hyponym
quality.n.01,worthlessness.n.01,1.0,hyponym
quality.n.01,changelessness.n.02,1.0,hyponym
quality.n.01,probability.n.02,1.0,hyponym
quality.n.01,incomprehensibility.n.01,1.0,hyponym
