source,target,weight,relation
abelian_group.n.01,group.n.03,1.0,hypernym
connection.n.01,relation.n.01,1.0,hypernym
connection.n.01,involvement.n.02,1.0,hyponym
connection.n.01,alliance.n.02,1.0,hyponym
connection.n.01,bridge.n.03,1.0,hyponym
connection.n.01,concatenation.n.02,1.0,hyponym
connection.n.01,relevance.n.01,1.0,hyponym
connection.n.01,relatedness.n.01,1.0,hyponym
connection.n.01,linkage.n.01,1.0,hyponym
connection.n.01,communication.n.03,1.0,hyponym
connection.n.01,series.n.05,1.0,hyponym
precipitation.n.01,indefinite_quantity.n.01,1.0,hypernym
midterm.n.02,point.n.06,1.0,hypernym
document.n.03,communication.n.02,1.0,hypernym
grass_roots.n.01,foundation.n.01,1.0,hypernym
quire.n.01,definite_quantity.n.01,1.0,hypernym
quire.n.01,ream.n.02,1.0,holonym
curio.n.01,object.n.01,1.0,hypernym
series.n.05,connection.n.01,1.0,hypernym
run-time.n.01,point.n.06,1.0,hypernym
written_communication.n.01,communication.n.02,1.0,hypernym
probability.n.01,measure.n.02,1.0,hypernym
probability.n.01,risk.n.04,1.0,hyponym
probability.n.01,risk.n.03,1.0,hyponym
probability.n.01,cross_section.n.03,1.0,hyponym
probability.n.01,fat_chance.n.01,1.0,hyponym
probability.n.01,joint_probability.n.01,1.0,hyponym
probability.n.01,exceedance.n.01,1.0,hyponym
probability.n.01,conditional_probability.n.01,1.0,hyponym
probability.n.01,fair_chance.n.01,1.0,hyponym
social_relation.n.01,relation.n.01,1.0,hypernym
social_relation.n.01,politics.n.01,1.0,hyponym
social_relation.n.01,chemistry.n.03,1.0,hyponym
social_relation.n.01,relations.n.01,1.0,hyponym
social_relation.n.01,professional_relation.n.01,1.0,hyponym
time_unit.n.01,measure.n.02,1.0,hypernym
time_unit.n.01,hour.n.01,1.0,hyponym
time_unit.n.01,quarter-hour.n.01,1.0,hyponym
time_unit.n.01,quarter.n.04,1.0,hyponym
time_unit.n.01,attosecond.n.01,1.0,hyponym
time_unit.n.01,day.n.01,1.0,hyponym
time_unit.n.01,sidereal_day.n.01,1.0,hyponym
time_unit.n.01,nanosecond.n.01,1.0,hyponym
time_unit.n.01,night.n.04,1.0,hyponym
time_unit.n.01,mean_time.n.01,1.0,hyponym
time_unit.n.01,half-hour.n.01,1.0,hyponym
time_unit.n.01,minute.n.01,1.0,hyponym
time_unit.n.01,picosecond.n.01,1.0,hyponym
time_unit.n.01,millisecond.n.01,1.0,hyponym
time_unit.n.01,month.n.02,1.0,hyponym
time_unit.n.01,microsecond.n.01,1.0,hyponym
time_unit.n.01,second.n.01,1.0,hyponym
time_unit.n.01,femtosecond.n.01,1.0,hyponym
time_unit.n.01,bell.n.04,1.0,hyponym
time_unit.n.01,terrestrial_time.n.01,1.0,hyponym
community.n.06,group.n.01,1.0,hypernym
group.n.01,abstraction.n.06,1.0,hypernym
group.n.01,subgroup.n.01,1.0,hyponym
group.n.01,edition.n.02,1.0,hyponym
group.n.01,series.n.06,1.0,hyponym
group.n.01,biological_group.n.01,1.0,hyponym
group.n.01,association.n.08,1.0,hyponym
group.n.01,circuit.n.05,1.0,hyponym
group.n.01,rare_earth.n.01,1.0,hyponym
group.n.01,people.n.01,1.0,hyponym
group.n.01,citizenry.n.01,1.0,hyponym
group.n.01,swarm.n.02,1.0,hyponym
group.n.01,social_group.n.01,1.0,hyponym
group.n.01,straggle.n.01,1.0,hyponym
group.n.01,varna.n.02,1.0,hyponym
group.n.01,ethnic_group.n.01,1.0,hyponym
group.n.01,world.n.08,1.0,hyponym
group.n.01,halogen.n.01,1.0,hyponym
group.n.01,sainthood.n.01,1.0,hyponym
group.n.01,actinoid.n.01,1.0,hyponym
group.n.01,race.n.03,1.0,hyponym
group.n.01,kingdom.n.06,1.0,hyponym
group.n.01,arrangement.n.02,1.0,hyponym
group.n.01,population.n.02,1.0,hyponym
group.n.01,electron_shell.n.01,1.0,hyponym
group.n.01,community.n.06,1.0,hyponym
group.n.01,multitude.n.03,1.0,hyponym
group.n.01,system.n.02,1.0,hyponym
group.n.01,collection.n.01,1.0,hyponym
day.n.01,time_unit.n.01,1.0,hypernym
day.n.01,hour.n.01,1.0,meronym
competition.n.01,business_relation.n.01,1.0,hypernym
message.n.01,communication.n.02,1.0,hypernym
involvement.n.02,connection.n.01,1.0,hypernym
inverse.n.01,opposition.n.02,1.0,hypernym
magnetic_flux.n.01,magnetization.n.01,1.0,hypernym
snake.n.05,object.n.01,1.0,hypernym
eternity.n.03,time_interval.n.01,1.0,hypernym
playing_period.n.01,measure.n.02,1.0,hypernym
playing_period.n.01,hole.n.03,1.0,hyponym
playing_period.n.01,set.n.08,1.0,hyponym
remains.n.01,object.n.01,1.0,hypernym
unrelatedness.n.01,unconnectedness.n.01,1.0,hypernym
depth.n.06,attribute.n.02,1.0,hypernym
degeneration.n.01,process.n.06,1.0,hypernym
attribute.n.02,abstraction.n.06,1.0,hypernym
attribute.n.02,quality.n.01,1.0,hyponym
attribute.n.02,inheritance.n.04,1.0,hyponym
attribute.n.02,thing.n.09,1.0,hyponym
attribute.n.02,ballast.n.03,1.0,hyponym
attribute.n.02,common_denominator.n.02,1.0,hyponym
attribute.n.02,trait.n.01,1.0,hyponym
attribute.n.02,uncheerfulness.n.02,1.0,hyponym
attribute.n.02,character.n.09,1.0,hyponym
attribute.n.02,property.n.02,1.0,hyponym
attribute.n.02,state.n.02,1.0,hyponym
attribute.n.02,human_nature.n.01,1.0,hyponym
attribute.n.02,depth.n.06,1.0,hyponym
attribute.n.02,eidos.n.01,1.0,hyponym
attribute.n.02,personality.n.01,1.0,hyponym
attribute.n.02,shape.n.02,1.0,hyponym
attribute.n.02,ethos.n.01,1.0,hyponym
attribute.n.02,time.n.05,1.0,hyponym
attribute.n.02,cheerfulness.n.01,1.0,hyponym
attribute.n.02,space.n.01,1.0,hyponym
sludge.n.02,matter.n.03,1.0,hypernym
horror.n.02,thing.n.08,1.0,hypernym
nanosecond.n.01,time_unit.n.01,1.0,hypernym
nanosecond.n.01,picosecond.n.01,1.0,meronym
nanosecond.n.01,microsecond.n.01,1.0,holonym
theurgy.n.01,causal_agent.n.01,1.0,hypernym
theurgy.n.01,supernatural.n.01,1.0,holonym
unit.n.05,thing.n.12,1.0,hypernym
unit.n.05,part.n.03,1.0,meronym
universal_set.n.01,set.n.02,1.0,hypernym
cycle.n.01,time_interval.n.01,1.0,hypernym
cycle.n.01,phase.n.03,1.0,meronym
basis.n.03,part.n.01,1.0,hypernym
residue.n.01,matter.n.03,1.0,hypernym
time_period.n.01,fundamental_quantity.n.01,1.0,hypernym
direction.n.02,position.n.07,1.0,hypernym
fair_chance.n.01,probability.n.01,1.0,hypernym
solution.n.04,set.n.02,1.0,hypernym
linguistic_relation.n.01,relation.n.01,1.0,hypernym
linguistic_relation.n.01,grammatical_relation.n.01,1.0,hyponym
linguistic_relation.n.01,semantic_relation.n.01,1.0,hyponym
linguistic_relation.n.01,homonymy.n.01,1.0,hyponym
