words,type,token,indegree_unw,outdegree_unw,degree_unw,indegree_wei,outdegree_wei,cc_unw,cc_wei,pageRank_unw,pageRank_wei,hubs_unw,hubs_wei,authorities_unw,authorities_wei,incloseness_unw,outcloseness_unw,incloseness_wei,outcloseness_wei,betweenness_unw,betweenness_wei
T恤,9,11,9,15,24,0.242969968877513,1,0.112727272727273,0.00679029862666083,3.72192214943808e-05,2.68558654702055e-05,7.55153098756568e-05,9.62905337954383e-05,3.79039019094264e-05,1.21091541887532e-05,2.58491443933206e-05,2.62123197903014e-05,2.74566478423026e-05,2.83815857479958e-05,2937.99900344879,2300.5
一,44,79,44,15,59,1.96430957618067,1,0.0377855887521968,0.00222035056102227,0.000156902337435058,0.000120034640895149,3.66161595199286e-05,4.44625250510777e-05,0.000194535105056886,0.000345791608479331,3.07078151389529e-05,2.68607805742835e-05,3.2970644802618e-05,2.90598217800598e-05,45580.5482207348,49854.5
一下,15,26,15,23,38,0.666878710120972,1,0.0178062678062678,0.000724913279426456,4.52678641759925e-05,4.97708550355165e-05,8.58221034484731e-05,3.63232320784743e-05,7.46546263458162e-05,1.94432791819298e-05,2.66339956320247e-05,2.77600421952641e-05,2.87090320891976e-05,2.97329826093081e-05,21272.9700088549,26073
一丝不苟,4,4,4,17,21,0.0925327812284334,1,0.0817307692307692,0.004577520079371,4.84171015934582e-05,2.98054248545107e-05,0.000187624036128235,3.35754097712736e-05,3.22401502713009e-05,4.8469134493726e-06,2.73695158332649e-05,2.69643531251685e-05,2.91675444463541e-05,2.92107197293664e-05,6901.69614238483,4264
一个,46,68,46,17,63,1.66298826929702,1,0.0187275525910723,0.00110538592861027,0.000193936022407522,0.000130519100826168,0.000167491321276194,0.00019125442633337,0.000235506851866738,0.000100867760295223,3.25224404839339e-05,2.71024744559178e-05,3.49474982097058e-05,2.92591383801581e-05,57075.6940898494,57237
一个人,47,90,47,28,75,2.03493009325066,1,0.0509393063583815,0.00269979017021074,0.000223091714375585,0.000197101433269977,0.000306076842522116,5.84849249524491e-05,0.000330579763745205,7.69854195605503e-05,3.30185564287129e-05,2.81444372519771e-05,3.53589146422132e-05,2.99225508646426e-05,71104.3055853696,62493.3333333333
一些,8,13,8,27,35,0.291117271820597,1,0.0768581081081081,0.00334688386747744,4.10349570187112e-05,2.71594503192486e-05,0.000285710272410288,0.00040329228575051,5.78721000878563e-05,7.21266211755334e-05,2.66844563042028e-05,2.8366380166227e-05,2.83388619320298e-05,3.02365908008036e-05,12488.6342818313,8773
一人,5,10,5,18,23,0.226042803550402,1,0.109561752988048,0.00740851523538379,3.0677208450021e-05,3.26063825590706e-05,5.82636512500529e-05,1.83536281408885e-05,3.99161841555437e-05,6.87333870752427e-06,2.47549262303198e-05,2.69869113479962e-05,2.67610597344529e-05,2.89909573517736e-05,6155.11306590078,6254
一切,14,44,14,19,33,1.03767211508672,1,0.0294117647058824,0.00169779096828563,4.26033839696865e-05,5.77783166181255e-05,8.82117546881273e-05,2.52115747147974e-05,6.73656673103675e-05,5.53120419339515e-05,2.64501282831222e-05,2.7833444667112e-05,2.83839795418212e-05,2.98122170480975e-05,11827.4360268919,14850
一双,5,15,5,9,14,0.373292426979063,1,0.0965909090909091,0.00733022538709999,4.16593827935733e-05,5.16545954116779e-05,2.50213432249529e-05,1.23168838650531e-05,3.07065498214975e-05,2.87676403561817e-05,2.65216814746055e-05,2.52270433905146e-05,2.86425724969592e-05,2.75985126032185e-05,2851.51277044894,5947
一天,6,7,6,25,31,0.164888062926009,1,0.0689655172413793,0.00284671276235729,3.24658735139577e-05,2.39422306324981e-05,0.000126422576444922,6.61342063381087e-05,3.56034392104076e-05,2.12005183253203e-05,2.59511081123164e-05,2.73448181569593e-05,2.76677464528426e-05,2.91846784935986e-05,6524.18029387103,4834
