Cues,Coverage,Unknown,R1missing
T恤,0.648148148148148,0.0181818181818182,0.0181818181818182
一,0.890909090909091,0,0
一下,0.527272727272727,0,0
一丝不苟,0.6,0,0
一个,0.909090909090909,0,0
一个人,0.872727272727273,0,0
一些,0.833333333333333,0,0.0181818181818182
一人,0.690909090909091,0,0
一切,0.796296296296296,0.0363636363636364,0.0181818181818182
一双,0.745454545454545,0,0
一天,0.627450980392157,0,0.0727272727272727
一定,0.763636363636364,0.0181818181818182,0
一家人,0.8,0,0
一对,0.709090909090909,0,0
一成不变,0.636363636363636,0,0
一打,0.725490196078431,0.0363636363636364,0.0727272727272727
一望无际,0.818181818181818,0,0
一样,0.685185185185185,0.0363636363636364,0.0181818181818182
一次,0.763636363636364,0.0363636363636364,0
一流,0.690909090909091,0.0363636363636364,0
一点,0.648148148148148,0,0.0181818181818182
一点点,0.763636363636364,0.0181818181818182,0
一片,0.872727272727273,0,0
一生,0.527272727272727,0,0
一百,0.574074074074074,0,0.0181818181818182
一百分,0.851851851851852,0.0181818181818182,0.0181818181818182
一直,0.6,0.0363636363636364,0
一笑,0.333333333333333,0,0.0181818181818182
一群人,0.781818181818182,0,0
一致,0.836363636363636,0.0181818181818182,0
一般,0.87037037037037,0,0.0181818181818182
一起,0.8,0,0
一辈子,0.907407407407407,0,0.0181818181818182
丁克,0.745454545454545,0.0545454545454545,0
七,0.727272727272727,0,0
七彩,0.745454545454545,0,0
七星,0.290909090909091,0.0363636363636364,0
万千,0.690909090909091,0,0
万圣节,0.8,0,0
万有引力,0.981818181818182,0,0
万物,0.709090909090909,0,0
万能,0.745454545454545,0,0
万里,0.636363636363636,0,0
丈夫,0.925925925925926,0,0.0181818181818182
三,0.818181818181818,0,0
三体,0.6,0.0363636363636364,0
三国,0.254545454545455,0,0
三峡,0.836363636363636,0,0
三文鱼,0.745454545454545,0,0
三明治,0.754716981132076,0,0.0363636363636364
三月,0.592592592592593,0,0.0181818181818182
三次,0.490909090909091,0.0363636363636364,0
三维,0.8,0,0
三脚架,0.854545454545454,0.0363636363636364,0
三观,0.818181818181818,0,0
三角,0.618181818181818,0,0
三角形,0.745454545454545,0,0
三轮车,0.509090909090909,0,0
上,0.945454545454545,0,0
上下,0.87037037037037,0.0181818181818182,0.0181818181818182
上下文,0.618181818181818,0.0181818181818182,0
