Cues,Coverage,Unknown,R1missing,R2missing,R3missing
T恤,0.659863945578231,0.0181818181818182,0.0181818181818182,0.109090909090909,0.2
一,0.762237762237762,0,0,0.127272727272727,0.272727272727273
一下,0.535211267605634,0,0,0.127272727272727,0.290909090909091
一丝不苟,0.636986301369863,0,0,0.109090909090909,0.236363636363636
一个,0.787234042553192,0,0,0.163636363636364,0.272727272727273
一个人,0.859060402684564,0,0,0.0909090909090909,0.2
一些,0.782608695652174,0,0.0181818181818182,0.163636363636364,0.309090909090909
一人,0.743055555555556,0,0,0.145454545454545,0.236363636363636
一切,0.785714285714286,0.0363636363636364,0.0181818181818182,0.254545454545455,0.436363636363636
一双,0.781954887218045,0,0,0.181818181818182,0.4
一天,0.63768115942029,0,0.0727272727272727,0.181818181818182,0.236363636363636
一定,0.787234042553192,0.0181818181818182,0,0.163636363636364,0.272727272727273
一家人,0.783582089552239,0,0,0.254545454545455,0.309090909090909
一对,0.704545454545455,0,0,0.236363636363636,0.363636363636364
一成不变,0.671641791044776,0,0,0.218181818181818,0.345454545454545
一打,0.636363636363636,0.0363636363636364,0.0727272727272727,0.163636363636364,0.363636363636364
一望无际,0.823529411764706,0,0,0.0545454545454545,0.163636363636364
一样,0.704347826086957,0.0363636363636364,0.0181818181818182,0.363636363636364,0.527272727272727
一次,0.724409448818898,0.0363636363636364,0,0.272727272727273,0.418181818181818
一流,0.678571428571429,0.0363636363636364,0,0.127272727272727,0.327272727272727
一点,0.582089552238806,0,0.0181818181818182,0.218181818181818,0.327272727272727
一点点,0.647058823529412,0.0181818181818182,0,0.327272727272727,0.509090909090909
一片,0.82962962962963,0,0,0.2,0.345454545454545
一生,0.684848484848485,0,0,0,0
一百,0.6,0,0.0181818181818182,0.181818181818182,0.254545454545455
一百分,0.759124087591241,0.0181818181818182,0.0181818181818182,0.181818181818182,0.309090909090909
一直,0.656488549618321,0.0363636363636364,0,0.254545454545455,0.363636363636364
一笑,0.401574803149606,0,0.0181818181818182,0.254545454545455,0.418181818181818
一群人,0.702127659574468,0,0,0.181818181818182,0.254545454545455
一致,0.844444444444444,0.0181818181818182,0,0.218181818181818,0.327272727272727
一般,0.777777777777778,0,0.0181818181818182,0.254545454545455,0.436363636363636
一起,0.764285714285714,0,0,0.109090909090909,0.345454545454545
一辈子,0.836601307189543,0,0.0181818181818182,0.0363636363636364,0.163636363636364
丁克,0.654676258992806,0.0545454545454545,0,0.181818181818182,0.290909090909091
七,0.692307692307692,0,0,0.145454545454545,0.254545454545455
七彩,0.688741721854305,0,0,0.0363636363636364,0.218181818181818
七情六欲,0.562091503267974,0.0181818181818182,0,0.0909090909090909,0.127272727272727
七星,0.412587412587413,0.0363636363636364,0,0.127272727272727,0.272727272727273
万千,0.709677419354839,0,0,0.0363636363636364,0.145454545454545
万圣节,0.80794701986755,0,0,0.0727272727272727,0.181818181818182
万岁,0.656716417910448,0,0,0.218181818181818,0.345454545454545
万有引力,0.947019867549669,0,0,0.0545454545454545,0.2
万物,0.676470588235294,0,0,0.181818181818182,0.345454545454545
万能,0.695364238410596,0,0,0.0909090909090909,0.163636363636364
万里,0.513698630136986,0,0,0.127272727272727,0.218181818181818
丈夫,0.891891891891892,0,0.0181818181818182,0.0545454545454545,0.236363636363636
三,0.737226277372263,0,0,0.181818181818182,0.327272727272727
三体,0.605442176870748,0.0363636363636364,0,0.163636363636364,0.163636363636364
三国,0.309677419354839,0,0,0.0545454545454545,0.127272727272727
三峡,0.8,0,0,0.127272727272727,0.236363636363636
三文鱼,0.72463768115942,0,0,0.181818181818182,0.309090909090909
三明治,0.723076923076923,0,0.0363636363636364,0.218181818181818,0.381818181818182
三月,0.62589928057554,0,0.0181818181818182,0.2,0.254545454545455
三次,0.519083969465649,0.0363636363636364,0,0.236363636363636,0.381818181818182
三维,0.744525547445255,0,0,0.145454545454545,0.363636363636364
三脚架,0.786666666666667,0.0363636363636364,0,0.0909090909090909,0.181818181818182
三观,0.777027027027027,0,0,0.0909090909090909,0.218181818181818
三角,0.692307692307692,0,0,0.0181818181818182,0.145454545454545
三角形,0.636363636363636,0,0,0,0
