network,domain,N,kappa_mean,kappa_std,frac_spherical,geometry,eta
SWOW-English,semantic,438,-0.137147,0.312363,0.2859,HYPERBOLIC,0.019498338594933346
SWOW-Spanish,semantic,422,-0.068341,0.319316,0.3433,HYPERBOLIC,0.01735381066775985
SWOW-Chinese,semantic,465,-0.143997,0.297742,0.2874,HYPERBOLIC,0.023099951887035234
SWOW-Dutch,semantic,500,0.098695,0.046421,0.9818,SPHERICAL,7.557613568000001
SWOW-Arg. Spanish,semantic,489,-0.263919,0.256502,0.1374,HYPERBOLIC,0.0396793747899227
Depression-Minimum,clinical,1634,-0.130267,0.209346,0.1847,HYPERBOLIC,0.1181956829812238
Depression-Mild,clinical,3089,-0.07422,0.113419,0.1478,HYPERBOLIC,0.21539961659287826
Depression-Moderate,clinical,2238,-0.08715,0.130406,0.1326,HYPERBOLIC,0.20741403423512997
Depression-Severe,clinical,2685,-0.078283,0.118634,0.1362,HYPERBOLIC,0.2138332522990197
ABIDE fMRI (N=60),brain,200,0.0,0.0,1.0,SPHERICAL,2.7162
ConceptNet-EN,semantic,467,-0.23321,0.13075,0.0361,HYPERBOLIC,0.2230269957465747
ConceptNet-PT,semantic,489,-0.236173,0.206474,0.1128,HYPERBOLIC,0.085181917422868
WordNet-EN,semantic,500,-0.001532,0.284309,0.8197,EUCLIDEAN/TRANSITION,0.008887328
EAT-EN,semantic,500,-0.045628,0.066625,0.1999,EUCLIDEAN/TRANSITION,1.8507528000000002
USF-EN,semantic,498,-0.320666,0.234467,0.083,HYPERBOLIC,0.06221547534309104
