regime,subspace,occupancy
normative,H123,0.0115
normative,H145,0.4275
normative,H167,0.29425
normative,H246,0.05875
normative,H257,0.0295
normative,H347,0.17575
normative,H356,0.00275
anxious,H123,0.1185
anxious,H145,0.25375
anxious,H167,0.38775
anxious,H246,0.01675
anxious,H257,0.0155
anxious,H347,0.1275
anxious,H356,0.08025
ruminative,H123,0.119
ruminative,H145,0.19775
ruminative,H167,0.3995
ruminative,H246,0.0155
ruminative,H257,0.004
ruminative,H347,0.119
ruminative,H356,0.14525
psychotic,H123,0.0075
psychotic,H145,0.4365
psychotic,H167,0.51875
psychotic,H246,0.025
psychotic,H257,0.0075
psychotic,H347,0.00475
psychotic,H356,0.0
