name,entropy,curvature,community,coherence
上课,3.3322045101752034,0.0,0,5119.1067918277195
认真,3.5263605246161616,0.0,0,5119.1067918277195
老师,4.127134385045091,0.0,0,5119.1067918277195
同学,3.5263605246161616,0.0,6,5119.1067918277195
书本,3.4965075614664802,0.0,0,5119.1067918277195
考试,4.189654742026424,0.0,0,5119.1067918277195
烦,4.1108738641733105,0.0,4,5119.1067918277195
作业,3.9120230054281455,0.0,0,5119.1067918277195
时间,4.0943445622220995,0.0,0,5119.1067918277195
睡觉,3.9702919135521206,0.0,6,5119.1067918277195
学习,4.262679877041316,0.0,0,5119.1067918277195
学生,3.850147601710058,0.0,0,5119.1067918277195
手机,3.610917912644225,0.0,0,5119.1067918277195
学校,3.9318256327243253,0.0,0,5119.1067918277195
痛苦,4.304065093204169,0.0,4,5119.1067918277195
实验,4.1108738641733105,0.0,0,5119.1067918277195
知识,3.9702919135521206,0.0,0,5119.1067918277195
精神,3.5263605246161616,0.0,5,5119.1067918277195
无聊,4.025351690735149,0.0,4,5119.1067918277195
累,4.0943445622220995,0.0,0,5119.1067918277195
#Missing,5.874930730852029,0.0,2,5119.1067918277195
书,3.784189633918262,0.0,0,5119.1067918277195
下雨,3.091042453358315,0.0,5,5119.1067918277195
恋爱,3.828641396489094,0.0,6,5119.1067918277195
童年,3.610917912644225,0.0,6,5119.1067918277195
冷,3.6635616461296445,0.0,5,5119.1067918277195
音乐,3.5263605246161616,0.0,1,5119.1067918277195
爱情,4.304065093204169,0.0,6,5119.1067918277195
烦躁,3.7612001156935624,0.0,4,5119.1067918277195
美好,4.406719247264253,0.0,6,5119.1067918277195
浪漫,3.4339872044851463,0.0,6,5119.1067918277195
阳光,4.2484952420493585,0.0,5,5119.1067918277195
不好,3.850147601710058,0.0,4,5119.1067918277195
拒绝,3.6375861597263857,0.0,4,5119.1067918277195
人,5.093750200806762,0.0,3,5119.1067918277195
伤心,3.784189633918262,0.0,4,5119.1067918277195
心情,3.8066624897703196,0.0,4,5119.1067918277195
什么,2.8903717578961645,0.0,0,5119.1067918277195
好,4.406719247264253,0.0,0,5119.1067918277195
难过,3.9120230054281455,0.0,4,5119.1067918277195
自杀,3.4657359027997265,0.0,4,5119.1067918277195
