name,entropy,curvature,community,coherence
music,4.276666119016054,0.0,1,5542.120859577621
band,3.6888794541139363,0.0,1,5542.120859577621
paper,4.204692619390965,0.0,1,5542.120859577621
book,4.343805421853686,0.0,1,5542.120859577621
news,3.737669618283368,0.0,1,5542.120859577621
writing,3.5835189384561104,0.0,1,5542.120859577621
mind,4.29045944114839,0.0,2,5542.120859577621
brain,3.8918202981106265,0.0,1,5542.120859577621
board,3.828641396489094,0.0,0,5542.120859577621
wood,4.077537443905719,0.0,0,5542.120859577621
land,4.007333185232471,0.0,0,5542.120859577621
home,4.532599493153255,0.0,0,5542.120859577621
farm,3.6375861597263857,0.0,0,5542.120859577621
glass,3.828641396489094,0.0,0,5542.120859577621
window,3.828641396489094,0.0,0,5542.120859577621
wrong,3.951243718581428,0.0,2,5542.120859577621
right,3.713572066704308,0.0,1,5542.120859577621
go,4.1431347263915335,0.0,0,5542.120859577621
away,3.610917912644225,0.0,0,5542.120859577621
sleep,3.951243718581428,0.0,0,5542.120859577621
bed,3.9318256327243253,0.0,0,5542.120859577621
night,4.0943445622220995,0.0,0,5542.120859577621
church,3.6635616461296445,0.0,0,5542.120859577621
stone,3.8712010109078907,0.0,0,5542.120859577621
good,4.9344739331306915,0.0,4,5542.120859577621
bad,4.72738781871234,0.0,2,5542.120859577621
nice,4.532599493153255,0.0,4,5542.120859577621
like,4.060443010546419,0.0,4,5542.120859577621
love,5.003946305945458,0.0,4,5542.120859577621
happy,4.812184355372416,0.0,4,5542.120859577621
beer,3.828641396489094,0.0,4,5542.120859577621
hold,3.8066624897703196,0.0,0,5542.120859577621
baby,4.477336814478207,0.0,3,5542.120859577621
hands,4.025351690735149,0.0,0,5542.120859577621
me,4.7957905455967405,0.0,2,5542.120859577621
quiet,4.04305126783455,0.0,0,5542.120859577621
loud,4.1108738641733105,0.0,1,5542.120859577621
noise,4.025351690735149,0.0,1,5542.120859577621
hospital,3.610917912644225,0.0,2,5542.120859577621
sick,4.219507705176109,0.0,2,5542.120859577621
doctor,3.8712010109078907,0.0,2,5542.120859577621
death,4.33073334028633,0.0,2,5542.120859577621
open,4.025351690735149,0.0,0,5542.120859577621
up,4.317488113536309,0.0,0,5542.120859577621
round,4.007333185232471,0.0,3,5542.120859577621
road,3.828641396489094,0.0,0,5542.120859577621
long,4.204692619390965,0.0,3,5542.120859577621
hot,4.394449154672438,0.0,0,5542.120859577621
television,3.8066624897703196,0.0,1,5542.120859577621
cut,3.5553480614894135,0.0,0,5542.120859577621
office,3.7612001156935624,0.0,1,5542.120859577621
chair,3.737669618283368,0.0,0,5542.120859577621
work,4.72738781871234,0.0,1,5542.120859577621
money,4.7957905455967405,0.0,2,5542.120859577621
rich,3.8712010109078907,0.0,4,5542.120859577621
laugh,3.6375861597263857,0.0,1,5542.120859577621
funny,3.850147601710058,0.0,2,5542.120859577621
coffee,3.828641396489094,0.0,4,5542.120859577621
same,3.2188758248682,0.0,1,5542.120859577621
sex,4.2484952420493585,0.0,3,5542.120859577621
travel,3.8918202981106265,0.0,0,5542.120859577621
world,4.189654742026424,0.0,1,5542.120859577621
ocean,3.9120230054281455,0.0,0,5542.120859577621
child,4.356708826689594,0.0,4,5542.120859577621
mother,3.9120230054281455,0.0,4,5542.120859577621
school,4.5849674786705705,0.0,1,5542.120859577621
state,3.5553480614894135,0.0,1,5542.120859577621
country,3.713572066704308,0.0,0,5542.120859577621
story,3.9120230054281455,0.0,1,5542.120859577621
lie,3.5835189384561104,0.0,2,5542.120859577621
face,4.477336814478207,0.0,3,5542.120859577621
history,3.713572066704308,0.0,1,5542.120859577621
old,4.276666119016054,0.0,2,5542.120859577621
paint,3.5263605246161616,0.0,1,5542.120859577621
wall,3.9702919135521206,0.0,0,5542.120859577621
dry,3.8712010109078907,0.0,0,5542.120859577621
