name,entropy,curvature,community,coherence
abrigo,3.2188758248682,0.0,0,5407.711090573013
ropa,3.737669618283368,0.0,3,5407.711090573013
amigo,4.317488113536309,0.0,1,5407.711090573013
frío,4.219507705176109,0.0,0,5407.711090573013
invierno,3.4965075614664802,0.0,0,5407.711090573013
calor,4.262679877041316,0.0,0,5407.711090573013
agua,4.317488113536309,0.0,5,5407.711090573013
lluvia,3.7612001156935624,0.0,0,5407.711090573013
caliente,3.401197381662155,0.0,5,5407.711090573013
casa,4.700480365792412,0.0,0,5407.711090573013
cuidado,4.262679877041316,0.0,1,5407.711090573013
gente,4.442651256490314,0.0,1,5407.711090573013
enfermedad,3.828641396489094,0.0,2,5407.711090573013
necesidad,4.174387269895637,0.0,3,5407.711090573013
cariño,3.784189633918262,0.0,1,5407.711090573013
protección,3.737669618283368,0.0,1,5407.711090573013
mamá,4.077537443905719,0.0,1,5407.711090573013
hogar,4.04305126783455,0.0,0,5407.711090573013
negro,4.276666119016054,0.0,2,5407.711090573013
viento,3.8712010109078907,0.0,0,5407.711090573013
campo,4.025351690735149,0.0,0,5407.711090573013
piel,3.4339872044851463,0.0,1,5407.711090573013
abuela,3.7612001156935624,0.0,1,5407.711090573013
río,3.951243718581428,0.0,0,5407.711090573013
madre,4.04305126783455,0.0,1,5407.711090573013
conocimiento,3.988984046564275,0.0,4,5407.711090573013
amor,5.111987788356544,0.0,1,5407.711090573013
respeto,3.9702919135521206,0.0,1,5407.711090573013
comida,4.394449154672438,0.0,5,5407.711090573013
familia,4.663439094112068,0.0,1,5407.711090573013
niños,4.204692619390965,0.0,1,5407.711090573013
mujer,4.077537443905719,0.0,1,5407.711090573013
cocina,3.8066624897703196,0.0,5,5407.711090573013
mate,3.8066624897703196,0.0,5,5407.711090573013
libro,4.189654742026424,0.0,4,5407.711090573013
saber,4.189654742026424,0.0,4,5407.711090573013
linda,3.8918202981106265,0.0,1,5407.711090573013
todo,4.127134385045091,0.0,3,5407.711090573013
felicidad,4.804021044733256,0.0,1,5407.711090573013
pueblo,3.713572066704308,0.0,0,5407.711090573013
verano,3.737669618283368,0.0,0,5407.711090573013
infancia,3.784189633918262,0.0,1,5407.711090573013
odio,3.8712010109078907,0.0,2,5407.711090573013
historia,3.7612001156935624,0.0,4,5407.711090573013
flores,3.5835189384561104,0.0,1,5407.711090573013
tiempo,4.5217885770490405,0.0,3,5407.711090573013
árbol,3.9120230054281455,0.0,0,5407.711090573013
paz,4.5538768916005425,0.0,0,5407.711090573013
muerte,4.276666119016054,0.0,2,5407.711090573013
pelo,3.6635616461296445,0.0,1,5407.711090573013
aburrido,4.174387269895637,0.0,4,5407.711090573013
yo,4.4188406077966,0.0,1,5407.711090573013
tonto,2.995732273553991,0.0,4,5407.711090573013
lento,3.6375861597263857,0.0,0,5407.711090573013
cansancio,3.9318256327243253,0.0,0,5407.711090573013
televisión,3.4339872044851463,0.0,4,5407.711090573013
largo,3.5263605246161616,0.0,0,5407.711090573013
feo,4.234106504597258,0.0,2,5407.711090573013
nada,3.9318256327243253,0.0,2,5407.711090573013
pesado,3.713572066704308,0.0,0,5407.711090573013
triste,4.219507705176109,0.0,2,5407.711090573013
sueño,3.6635616461296445,0.0,0,5407.711090573013
quieto,3.044522437723422,0.0,0,5407.711090573013
cansado,3.5263605246161616,0.0,0,5407.711090573013
fiesta,3.784189633918262,0.0,1,5407.711090573013
soledad,4.304065093204169,0.0,2,5407.711090573013
cama,3.737669618283368,0.0,0,5407.711090573013
divertido,3.9702919135521206,0.0,1,5407.711090573013
juego,4.060443010546419,0.0,1,5407.711090573013
trabajo,4.753590191106363,0.0,3,5407.711090573013
cine,3.610917912644225,0.0,4,5407.711090573013
gris,3.8712010109078907,0.0,2,5407.711090573013
oportunidad,3.828641396489094,0.0,3,5407.711090573013
noche,4.077537443905719,0.0,0,5407.711090573013
solo,3.951243718581428,0.0,2,5407.711090573013
tristeza,4.356708826689594,0.0,2,5407.711090573013
dormir,3.6888794541139363,0.0,0,5407.711090573013
reunión,3.610917912644225,0.0,1,5407.711090573013
vacío,3.828641396489094,0.0,2,5407.711090573013
libre,4.442651256490314,0.0,0,5407.711090573013
leer,3.8712010109078907,0.0,4,5407.711090573013
accidente,3.5263605246161616,0.0,2,5407.711090573013
auto,3.8712010109078907,0.0,0,5407.711090573013
dolor,4.60517018598809,0.0,2,5407.711090573013
angustia,3.828641396489094,0.0,2,5407.711090573013
calle,4.04305126783455,0.0,0,5407.711090573013
alcohol,3.5263605246161616,0.0,2,5407.711090573013
miedo,4.5538768916005425,0.0,2,5407.711090573013
rojo,4.317488113536309,0.0,2,5407.711090573013
autos,3.1780538303479453,0.0,0,5407.711090573013
error,3.295836866004329,0.0,2,5407.711090573013
falta,3.8712010109078907,0.0,2,5407.711090573013
avión,3.4965075614664802,0.0,0,5407.711090573013
caída,3.091042453358315,0.0,2,5407.711090573013
seguro,3.8066624897703196,0.0,3,5407.711090573013
problema,3.9702919135521206,0.0,2,5407.711090573013
sangre,3.713572066704308,0.0,2,5407.711090573013
ruido,3.784189633918262,0.0,0,5407.711090573013
arma,3.2188758248682,0.0,2,5407.711090573013
café,3.5835189384561104,0.0,5,5407.711090573013
naturaleza,4.204692619390965,0.0,0,5407.711090573013
golpe,3.3322045101752034,0.0,2,5407.711090573013
sorpresa,3.3322045101752034,0.0,1,5407.711090573013
peligro,3.8066624897703196,0.0,2,5407.711090573013
fuego,3.7612001156935624,0.0,0,5407.711090573013
caca,3.258096538021482,0.0,2,5407.711090573013
herida,3.091042453358315,0.0,2,5407.711090573013
hospital,3.5835189384561104,0.0,2,5407.711090573013
acción,3.951243718581428,0.0,3,5407.711090573013
movimiento,3.988984046564275,0.0,0,5407.711090573013
cambiar,3.367295829986473,0.0,3,5407.711090573013
hacer,4.007333185232471,0.0,3,5407.711090573013
película,3.401197381662155,0.0,4,5407.711090573013
ejercicio,3.610917912644225,0.0,3,5407.711090573013
diario,3.044522437723422,0.0,4,5407.711090573013
hecho,2.995732273553991,0.0,3,5407.711090573013
energía,3.9120230054281455,0.0,5,5407.711090573013
correr,3.737669618283368,0.0,0,5407.711090573013
crear,3.713572066704308,0.0,4,5407.711090573013
valor,3.9702919135521206,0.0,3,5407.711090573013
rápido,3.6635616461296445,0.0,0,5407.711090573013
ya,2.8903717578961645,0.0,3,5407.711090573013
canción,3.6375861597263857,0.0,1,5407.711090573013
sexo,4.04305126783455,0.0,1,5407.711090573013
cambio,4.0943445622220995,0.0,3,5407.711090573013
fin,3.713572066704308,0.0,4,5407.711090573013
acuerdo,2.94443897916644,0.0,1,5407.711090573013
negocio,2.833213344056216,0.0,3,5407.711090573013
manos,3.713572066704308,0.0,1,5407.711090573013
palabra,3.6888794541139363,0.0,4,5407.711090573013
compromiso,3.4657359027997265,0.0,1,5407.711090573013
no,4.025351690735149,0.0,2,5407.711090573013
