scaling,n,window,clustering,in_sweet_spot
linear,100,3,0.053202349610085395,True
linear,250,5,0.03354870427595189,True
linear,500,10,0.014205356641383164,False
linear,1000,20,0.00790462335730198,False
linear,2000,40,0.0037817376679315485,False
sqrt,100,3,0.053202349610085395,True
sqrt,250,5,0.03354870427595189,True
sqrt,500,7,0.01517115563872149,False
sqrt,1000,10,0.010472897818729834,False
sqrt,2000,14,0.006761437863417969,False
log,100,6,0.06379034091030109,True
log,250,8,0.02400288724522735,True
log,500,10,0.014205356641383164,False
log,1000,13,0.009293664192872444,False
log,2000,15,0.006274161646810477,False
